"Rank","Player","Year","Pos","Team","BaseSalary","Payroll Salary","Adj Salary",""
"","Clayton Kershaw","2018","SP","LAD","$33,000,000","$35,571,428","$35,571,428",""
"","Mike Trout","2018","CF","LAA","$33,250,000","$34,083,333","$34,083,333",""
"","Zack Greinke","2018","SP","ARI","$31,000,000","$34,000,000","$34,000,000",""
"","Jake Arrieta","2018","SP","PHI","$30,000,000","$30,000,000","$30,000,000",""
"","David Price","2018","SP","BOS","$30,000,000","$30,000,000","$30,000,000",""
"","Miguel Cabrera","2018","1B","DET","$30,000,000","$30,000,000","$30,000,000",""
"","Albert Pujols","2018","DH","LAA","$27,000,000","$30,000,000","$30,000,000",""
"","Yoenis Cespedes","2018","CF","NYM","$29,000,000","$29,000,000","$29,000,000",""
"","Jason Heyward","2018","RF","CHC","$21,500,000","$28,166,667","$28,166,667",""
"","Justin Verlander","2018","SP","HOU","$28,000,000","$28,100,000","$20,000,000",""
"","Jon Lester","2018","SP","CHC","$22,500,000","$27,500,000","$27,500,000",""
"","Felix Hernandez","2018","SP","SEA","$26,000,000","$26,857,142","$26,857,142",""
"","Joey Votto","2018","1B","CIN","$25,000,000","$25,075,000","$25,075,000",""
"","Giancarlo Stanton","2018","DH","NYY","$25,000,000","$25,000,000","$25,000,000",""
"","Yu Darvish","2018","SP","CHC","$25,000,000","$25,000,000","$25,000,000",""
"","Robinson Cano","2018","2B","SEA","$24,000,000","$24,000,000","$13,677,440",""
"","Jordan Zimmermann","2018","SP","DET","$24,000,000","$24,000,000","$24,000,000",""
"","J.D. Martinez","2018","DH","BOS","$23,750,000","$23,750,000","$23,750,000",""
"","Joe Mauer","2018","1B","MIN","$23,000,000","$23,000,000","$23,000,000",""
"","Cole Hamels","2018","SP","CHC","$22,500,000","$22,500,000","$2,096,774",""
"","Max Scherzer","2018","SP","WSH","$15,000,000","$22,242,857","$22,242,857",""
"","Buster Posey","2018","C","SF","$21,400,000","$22,202,777","$22,202,777",""
"","Masahiro Tanaka","2018","SP","NYY","$22,000,000","$22,000,000","$22,000,000",""
"","Ian Desmond","2018","1B","COL","$22,000,000","$22,000,000","$22,000,000",""
"","Bryce Harper","2018","CF","WSH","$21,625,000","$21,725,000","$21,725,000",""
"","Freddie Freeman","2018","1B","ATL","$21,000,000","$21,609,375","$21,609,375",""
"","Matt Kemp","2018","RF","LAD","$21,500,000","$21,500,000","$18,000,000",""
"","Jacoby Ellsbury","2018","CF","NYY","$21,142,857","$21,142,857","$21,142,857",""
"","Rick Porcello","2018","SP","BOS","$21,000,000","$21,125,000","$21,125,000",""
"","Chris Davis","2018","1B","BAL","$17,000,000","$21,065,362","$21,065,362",""
"","Johnny Cueto","2018","SP","SF","$21,000,000","$21,000,000","$21,000,000",""
"","Homer Bailey","2018","SP","CIN","$21,000,000","$21,000,000","$21,000,000",""
"","Eric Hosmer","2018","1B","SD","$20,000,000","$21,000,000","$21,000,000",""
"","James Shields","2018","SP","CHW","$21,000,000","$21,000,000","$10,000,000",""
"","Shin-Soo Choo","2018","DH","TEX","$20,000,000","$20,100,000","$20,100,000",""
"","Alex Gordon","2018","LF","KC","$20,000,000","$20,000,000","$20,000,000",""
"","Russell Martin","2018","C","TOR","$20,000,000","$20,000,000","$20,000,000",""
"","Troy Tulowitzki","2018","SS","TOR","$20,000,000","$20,000,000","$20,000,000",""
"","Ryan Braun","2018","LF","MIL","$19,000,000","$20,000,000","$20,000,000",""
"","Mark Melancon","2018","RP/CL","SF","$10,000,000","$20,000,000","$20,000,000",""
"","David Wright","2018","3B","NYM","$20,000,000","$20,000,000","$20,000,000",""
"","Yadier Molina","2018","C","STL","$20,000,000","$20,000,000","$20,000,000",""
"","Jeff Samardzija","2018","SP","SF","$18,000,000","$19,800,000","$19,800,000",""
"","Adam Wainwright","2018","SP","STL","$19,500,000","$19,500,000","$19,500,000",""
"","Kyle Seager","2018","3B","SEA","$18,500,000","$19,000,000","$19,000,000",""
"","Hunter Pence","2018","RF","SF","$18,500,000","$18,500,000","$18,500,000",""
"","Carlos Santana","2018","1B","PHI","$15,000,000","$18,333,333","$9,814,814",""
"","Stephen Strasburg","2018","SP","WSH","$15,000,000","$18,333,333","$18,333,333",""
"","Adrian Beltre","2018","3B","TEX","$18,000,000","$18,000,000","$18,000,000",""
"","Victor Martinez","2018","DH","DET","$18,000,000","$18,000,000","$18,000,000",""
"","Nolan Arenado","2018","3B","COL","$17,750,000","$17,750,000","$17,750,000",""
"","Daniel Murphy","2018","2B","CHC","$17,500,000","$17,500,000","$3,857,526",""
"","Adam Jones","2018","CF","BAL","$17,000,000","$17,333,333","$17,333,333",""
"","Brandon Belt","2018","1B","SF","$16,000,000","$17,200,000","$17,200,000",""
"","Aroldis Chapman","2018","RP/CL","NYY","$15,000,000","$17,200,000","$17,200,000",""
"","Mike Leake","2018","SP","SEA","$17,000,000","$17,000,000","$11,000,000",""
"","Brian McCann","2018","C","HOU","$17,000,000","$17,000,000","$11,500,000",""
"","Rich Hill","2018","SP","LAD","$16,000,000","$16,666,666","$16,666,666",""
"","Dexter Fowler","2018","CF","STL","$14,500,000","$16,500,000","$16,500,000",""
"","Ben Zobrist","2018","2B","CHC","$16,000,000","$16,500,000","$16,500,000",""
"","Dustin Pedroia","2018","2B","BOS","$16,000,000","$16,125,000","$16,125,000",""
"","Ian Kennedy","2018","SP","KC","$16,000,000","$16,000,000","$16,000,000",""
"","Manny Machado","2018","3B","LAD","$16,000,000","$16,000,000","$6,365,591",""
