"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age","Weight","Height",""
"","Alex Rodriguez","2011","DH","NYY","$31,000,000","$1,000,000","$32,000,000","$32,000,000","10","$275,000,000","$287,290,700","2018","2008","32","36","230","0'0""",""
"","Vernon Wells","2011","LF","LAA","$23,000,000","$3,187,500","$26,187,500","$18,000,000","7","$126,000,000","$81,521,000","2015","2008","29","32","0","0'0""",""
"","C.C. Sabathia","2011","SP","NYY","$24,285,714","$1,285,714","$25,571,428","$25,571,428","7","$161,000,000","$104,285,714","2016","2009","28","30","300","6'6""",""
"","Mark Teixeira","2011","1B","NYY","$22,500,000","$625,000","$23,125,000","$23,125,000","8","$180,000,000","$105,150,000","2017","2009","28","31","225","6'3""",""
"","Johan Santana","2011","SP","NYM","$22,500,000","$0","$22,500,000","$22,500,000","6","$137,500,000","$124,560,000","2014","2008","28","32","155","6'0""",""
"","Carlos Beltran","2011","DH","SF","$18,500,000","$1,571,428","$20,171,428","$2,368,852","7","$119,000,000","$139,774,996","2012","2005","27","34","213","6'1""",""
"","Ryan Howard","2011","1B","PHI","$20,000,000","$0","$20,000,000","$20,000,000","3","$54,000,000","$65,771,780","0","2009","29","31","250","6'4""",""
"","Miguel Cabrera","2011","1B","DET","$20,000,000","$0","$20,000,000","$20,000,000","8","$152,300,000","$77,327,573","0","2008","24","28","249","6'4""",""
"","Torii Hunter","2011","RF","LAA","$18,500,000","$500,000","$19,000,000","$19,000,000","5","$90,000,000","$117,550,000","2013","2008","32","35","205","6'2""",""
"","Carlos Lee","2011","1B","HOU","$18,500,000","$500,000","$19,000,000","$19,000,000","6","$100,000,000","$111,575,000","2013","2007","30","35","0","0'0""",""
"","Alfonso Soriano","2011","DH","CHC","$18,000,000","$1,000,000","$19,000,000","$19,000,000","8","$136,000,000","$111,950,000","2015","2007","30","35","0","0'0""",""
"","Carlos Zambrano","2011","SP","CHC","$17,875,000","$1,000,000","$18,875,000","$18,875,000","5","$91,500,000","$96,150,000","2013","2008","26","30","0","0'0""",""
"","Barry Zito","2011","SP","SF","$18,500,000","$0","$18,500,000","$18,500,000","7","$126,000,000","$100,540,000","2014","2007","28","33","208","6'4""",""
"","Jason Bay","2011","RF","NYM","$16,000,000","$2,125,000","$18,125,000","$18,125,000","4","$66,000,000","$49,910,000","2013","2010","31","32","0","0'0""",""
"","Ichiro Suzuki","2011","RF","SEA","$17,000,000","$1,000,000","$18,000,000","$18,000,000","5","$90,000,000","$130,000,000","2013","2008","34","37","175","6'0""",""
"","Matt Holliday","2011","DH","STL","$17,000,000","$0","$17,050,000","$17,050,000","7","$120,000,000","$65,458,500","2017","2010","29","31","250","6'4""",""
"","A.J. Burnett","2011","SP","NYY","$16,500,000","$0","$16,500,000","$16,500,000","5","$82,500,000","$89,617,500","2014","2009","31","34","230","6'5""",""
"","Jake Peavy","2011","RP","CHW","$16,000,000","$0","$16,000,000","$16,000,000","3","$52,000,000","$57,530,000","2014","2010","28","30","180","6'1""",""
"","Michael Young","2011","3B","TEX","$16,000,000","$0","$16,000,000","$16,000,000","5","$80,000,000","$63,665,000","2014","2009","32","34","0","0'0""",""
"","Albert Pujols","2011","DH","STL","$16,000,000","$0","$16,000,000","$16,000,000","7","$100,000,000","$114,420,000","2012","2004","23","31","235","6'3""",""
"","Roy Oswalt","2011","SP","PHI","$16,000,000","$0","$16,000,000","$9,000,000","5","$73,000,000","$91,950,000","2012","2007","29","33","0","0'0""",""
"","John Lackey","2011","SP","BOS","$15,250,000","$700,000","$15,950,000","$15,950,000","5","$82,500,000","$64,985,000","2016","2010","31","32","235","6'6""",""
"","Chase Utley","2011","2B","PHI","$15,000,000","$285,714","$15,285,714","$15,285,714","7","$85,000,000","$58,278,257","0","2007","28","32","195","6'1""",""
