Jugador,Valor_contrato_2014,Valor_promedio_contrato_2014,Juegos_2014,Wins_2014,Saves_2014,WHIP_2014,ERA_2014,Equipo_2014,Sueldo_2014
Matt Garza,50000000,12500000,27,8,0,1.18,3.64,MIL,12500000
Ricky Nolasco,49000000,12250000,27,6,0,1.52,5.38,MIN,12000000
Jason Vargas,32000000,8000000,30,11,0,1.27,3.71,KC,7000000
Scott Feldman,30000000,10000000,29,8,0,1.3,3.74,HOU,12000000
Tim Hudson,28000000,9333333,31,9,0,1.23,3.57,SF,11025000
Phil Hughes,24000000,8000000,32,16,0,1.13,3.52,MIN,8500000
Bronson Arroyo,23500000,11750000,15,7,0,1.29,4.08,ARI,9500000
Scott Kazmir,22000000,11000000,32,15,0,1.16,3.55,OAK,9050000
Joe Nathan,20000000,10000000,62,5,35,1.53,4.81,DET,9000000
Bartolo Colon,20000000,10000000,31,15,0,1.23,4.09,NYM,9000000
Brian Wilson,19000000,9500000,61,2,1,1.61,4.66,LAD,10000000
Boone Logan,16500000,5500000,35,2,0,1.68,6.84,COL,4750000
Hiroki Kuroda,16000000,16000000,32,11,0,1.14,3.71,NYY,16000000
A.J. Burnett,16000000,16000000,34,8,0,1.41,4.59,PHI,11250000
Joe Smith,15750000,5250000,76,7,15,0.8,1.81,LAA,5250000
Joaquin Benoit,15500000,7750000,53,4,11,0.77,1.49,SD,6000000
Ervin Santana,14100000,14100000,31,14,0,1.31,3.95,ATL,14100000
Fernando Rodney,14000000,7000000,69,1,48,1.34,2.85,SEA,7050000
Javier Lopez,13000000,4333333,65,1,0,1.33,3.11,SF,4000000
J.P. Howell,11250000,5625000,68,3,0,1.14,2.39,LAD,5500000
Mike Pelfrey,11000000,5500000,5,0,0,1.99,7.99,MIN,5500000
Brad Ziegler,10500000,5250000,68,5,1,1.25,3.49,ARI,4500000
Dan Haren,10000000,10000000,32,13,0,1.18,4.02,LAD,11000000
Edward Mujica,9500000,4750000,64,2,8,1.38,3.9,BOS,4750000
Chris Young,7250000,7250000,30,12,0,1.23,3.66,SEA,4725000
Chris Young,7250000,7250000,30,12,0,1.23,3.66,NYY,500000
Eric O'Flaherty,7000000,3500000,21,1,1,0.95,2.25,OAK,1500000
Matt Thornton,7000000,3500000,64,1,0,1.14,1.75,WSH,3500000
Chad Qualls,6000000,3000000,58,1,19,1.15,3.33,HOU,2750000
Jason Hammel,6000000,6000000,30,10,0,1.12,3.47,OAK,6000000
Manny Parra,5500000,2750000,53,0,1,1.55,4.66,CIN,2000000
Skip Schumaker,5000000,2500000,83,0,0,1.0,0.0,CIN,2000000
Ryan Vogelsong,5000000,5000000,32,8,0,1.28,4.0,SF,5000000
Edinson Volquez,5000000,5000000,32,13,0,1.23,3.04,PIT,5000000
Oliver Perez,4250000,2125000,68,3,0,1.26,2.92,ARI,1750000
Scott Downs,4000000,4000000,55,0,1,1.47,4.97,KC,500000
Gavin Floyd,4000000,4000000,9,2,0,1.25,2.65,ATL,4000000
Francisco Rodriguez,3250000,3250000,69,5,44,0.99,3.04,MIL,3250000
Ronald Belisario,3000000,3000000,62,4,8,1.45,5.56,CHW,3000000
Joba Chamberlain,2500000,2500000,69,2,2,1.29,3.57,DET,3000000
Matt Albers,2450000,2450000,8,0,0,1.3,0.9,HOU,2250000
LaTroy Hawkins,2250000,2250000,57,4,23,1.2,3.31,COL,2250000
Chris Capuano,2250000,2250000,40,3,0,1.39,4.35,NYY,500000
Colby Lewis,2000000,2000000,29,10,0,1.52,5.18,TEX,2000000
J.P. Arencibia,1800000,1800000,63,0,0,1.0,0.0,TEX,1800000
Jamey Wright,1800000,1800000,61,5,1,1.41,4.35,LAD,1800000
Felipe Paulino,1750000,1750000,4,0,0,2.56,11.29,CHW,1500000
Lyle Overbay,1500000,1500000,121,0,0,0.0,0.0,MIL,1500000
Daisuke Matsuzaka,1500000,1500000,34,3,1,1.34,3.89,NYM,1500000
Paul Maholm,1500000,1500000,30,1,0,1.56,4.84,LAD,1500000
Wesley Wright,1425000,1425000,58,0,0,1.39,3.17,CHC,1425000
Kevin Gregg,1286387,1286387,12,0,0,1.78,10.0,MIA,1286387
Pat Neshek,1000000,1000000,71,7,6,0.79,1.87,STL,1000000
Scott Baker,1000000,1000000,25,3,0,1.19,5.47,TEX,1000000
John Baker,875000,875000,68,1,0,1.0,0.0,CHC,875000
Zach Duke,850000,850000,74,5,0,1.13,2.46,MIL,850000
Rich Hill,840000,840000,16,0,0,2.44,3.38,NYY,500000
Daniel Hudson,700000,700000,3,0,0,1.5,13.5,ARI,700000
Tony Sipp,500000,500000,56,4,4,0.89,3.38,HOU,500000
Dylan Axelrod,500000,500000,5,2,0,0.98,2.95,CIN,500000
Zach Putnam,500000,500000,49,5,6,1.08,1.98,CHW,500000
Nick Massett,0,0,51,2,0,1.78,5.8,COL,1200000
Tsuyoshi Wada,0,0,13,4,0,1.24,3.25,CHC,500000
Heath Bell,0,0,13,1,0,1.85,7.27,TB,10000000
Wade LeBlanc,0,0,11,1,0,1.15,3.94,LAA,500000
Jim Johnson,0,0,54,5,2,1.95,7.09,DET,500000
Jose Veras,0,0,46,4,1,1.39,4.5,HOU,500000
Jeremy Jeffress,0,0,32,1,0,1.41,2.81,MIL,507600
