Jugador,Porcetnaje_juegos_2011,RBI_2011,Porcentaje_bateo_2011,OPS_2011,Equipo_2011,Sueldo_2011
Adrian Gonzalez,0.982,117,0.338,0.957,BOS,6375000
Jacoby Ellsbury,0.975,105,0.321,0.928,BOS,2500000
Starlin Castro,0.975,66,0.307,0.773,CHC,440000
Melky Cabrera,0.957,87,0.306,0.809,KC,1250000
Miguel Cabrera,0.994,105,0.344,1.033,DET,20000000
Dustin Pedroia,0.982,91,0.307,0.861,BOS,5750000
Matt Kemp,1.0,126,0.324,0.986,LAD,7100000
Michael Bourn,0.975,50,0.294,0.734,ATL,4400000
Hunter Pence,0.951,97,0.314,0.871,HOU,6900000
Robinson Cano,0.982,118,0.302,0.882,NYY,10000000
Ryan Braun,0.926,111,0.332,0.994,MIL,5000000
Joey Votto,0.994,103,0.309,0.947,CIN,7600000
Alex Gordon,0.932,87,0.303,0.879,KC,1400000
Ichiro Suzuki,0.994,47,0.272,0.645,SEA,18000000
Brandon Phillips,0.926,82,0.3,0.81,CIN,11437500
Nick Markakis,0.988,73,0.284,0.756,BAL,10675000
Jose Reyes,0.778,44,0.337,0.877,NYM,11050000
Victor Martinez,0.895,103,0.33,0.85,DET,12000000
Billy Butler,0.982,95,0.292,0.822,KC,3500000
Aramis Ramirez,0.92,93,0.306,0.871,CHC,14675000
Albert Pujols,0.907,99,0.299,0.906,STL,16000000
Jeff Francoeur,0.944,87,0.285,0.805,KC,2500000
Justin Upton,0.982,88,0.289,0.898,ARI,4458333
Prince Fielder,1.0,120,0.299,0.981,MIL,15500000
Alexei Ramirez,0.975,70,0.269,0.727,CHW,2875000
Elvis Andrus,0.926,60,0.279,0.708,TEX,452180
Paul Konerko,0.92,105,0.3,0.906,CHW,12000000
Neil Walker,0.982,83,0.274,0.742,PIT,437000
David Ortiz,0.901,96,0.309,0.953,BOS,12650000
Troy Tulowitzki,0.883,105,0.302,0.916,COL,5575000
Derek Jeter,0.809,61,0.297,0.743,NYY,15000000
Freddie Freeman,0.969,76,0.282,0.795,ATL,414500
Adam Jones,0.932,83,0.28,0.785,BAL,3250000
Ben Zobrist,0.963,91,0.269,0.822,TB,4640475
Ian Kinsler,0.957,77,0.255,0.832,TEX,6200000
Mike Morse,0.907,95,0.303,0.91,WSH,1050000
Jhonny Peralta,0.901,86,0.299,0.824,DET,5250000
Carlos Beltran,0.877,84,0.3,0.91,SF,20171428
Erick Aybar,0.883,59,0.279,0.743,LAA,3075000
Jose Bautista,0.92,103,0.302,1.056,TOR,8000000
Howie Kendrick,0.864,63,0.285,0.802,LAA,3350000
James Loney,0.981,65,0.288,0.755,LAD,4875000
Curtis Granderson,0.963,119,0.262,0.916,NYY,8325000
Eric Hosmer,0.79,78,0.293,0.799,KC,414000
Torii Hunter,0.963,82,0.262,0.765,LAA,19000000
Jimmy Rollins,0.877,63,0.268,0.736,PHI,8500000
Michael Cuddyer,0.858,70,0.284,0.805,MIN,10525000
Jay Bruce,0.969,97,0.256,0.814,CIN,2791666
Yunel Escobar,0.821,48,0.29,0.782,TOR,2900000
Andrew McCutchen,0.975,89,0.259,0.82,PIT,452500
Ian Desmond,0.957,49,0.253,0.656,WSH,441500
Drew Stubbs,0.975,44,0.243,0.686,CIN,450000
Austin Jackson,0.944,45,0.249,0.69,DET,440000
Mark Teixeira,0.963,111,0.248,0.835,NYY,23125000
Darwin Barney,0.883,43,0.276,0.666,CHC,417000
Shane Victorino,0.815,61,0.279,0.847,PHI,7550000
Yadier Molina,0.858,65,0.305,0.814,STL,5412500
Josh Hamilton,0.747,94,0.298,0.882,TEX,8750000
Adrian Beltre,0.765,105,0.296,0.892,TEX,14200000
Martin Prado,0.796,57,0.26,0.687,ATL,3100000
Andre Ethier,0.839,62,0.292,0.789,LAD,9500000
J.J. Hardy,0.796,80,0.269,0.801,BAL,5850000
Carlos Gonzalez,0.784,92,0.295,0.889,COL,1428571
Ryan Howard,0.938,116,0.253,0.835,PHI,20000000
Coco Crisp,0.84,54,0.264,0.693,OAK,5750000
Dan Uggla,0.994,82,0.233,0.764,ATL,9200000
Corey Hart,0.803,63,0.285,0.866,MIL,6833333
Miguel Montero,0.864,86,0.282,0.82,ARI,3200000
Alcides Escobar,0.975,46,0.254,0.633,KC,428000
Danny Valencia,0.951,72,0.247,0.677,MIN,437500
Nick Swisher,0.926,85,0.261,0.822,NYY,9100000
Alberto Callaspo,0.87,46,0.288,0.74,LAA,2000000
Mark Trumbo,0.92,87,0.254,0.768,LAA,414000
Alex Avila,0.87,82,0.295,0.895,DET,425000
Alex Gonzalez,0.92,56,0.241,0.642,ATL,2500000
