Jugador,Valor_contrato_2017,Valor_promedio_contrato_2017,Porcetnaje_juegos_2017,RBI_2017,Porcentaje_bateo_2017,OPS_2017,Equipo_2017,Sueldo_2017
Yoenis Cespedes,110000000,27500000,0.5,42,0.292,0.892,NYM,22500000
Dexter Fowler,82500000,16500000,0.728,64,0.264,0.851,STL,16500000
Kenley Jansen,80000000,16000000,0.401,1,0.5,1.25,LAD,11333333
Ian Desmond,70000000,14000000,0.586,40,0.274,0.701,COL,8000000
Justin Turner,64000000,16000000,0.803,71,0.322,0.945,LAD,13000000
Josh Reddick,52000000,13000000,0.827,82,0.315,0.847,HOU,13000000
Rich Hill,48000000,16000000,0.154,4,0.111,0.279,LAD,12666666
Mark Trumbo,37500000,12500000,0.901,65,0.236,0.689,BAL,11500000
Kendrys Morales,33000000,11000000,0.926,85,0.25,0.753,TOR,10000000
Brett Cecil,30500000,7625000,0.451,0,0.0,0.0,STL,7750000
Ivan Nova,26000000,8666667,0.191,0,0.02,0.039,PIT,8416666
Jason Castro,24500000,8166667,0.679,47,0.242,0.72,MIN,8500000
Edinson Volquez,22000000,11000000,0.105,1,0.192,0.407,MIA,9000000
Jose Bautista,18500000,18500000,0.969,65,0.204,0.677,TOR,18000000
Jason Hammel,16000000,8000000,0.198,0,0.0,0.0,KC,5000000
Carlos Beltran,16000000,16000000,0.796,51,0.231,0.666,HOU,16000000
Luis Valbuena,15000000,7500000,0.722,65,0.199,0.727,LAA,6500000
Charlie Morton,14000000,7000000,0.154,0,0.0,0.0,HOU,8875000
Welington Castillo,13000000,6500000,0.593,54,0.282,0.813,BAL,6000000
Matt Holliday,13000000,13000000,0.648,64,0.231,0.748,NYY,13000000
Bartolo Colon,12500000,12500000,0.173,0,0.0,0.0,MIN,535000
Wilson Ramos,12500000,6250000,0.395,35,0.26,0.737,TB,4000000
Steven Pearce,12500000,6250000,0.568,39,0.256,0.763,TOR,6250000
Brandon Moss,12000000,6000000,0.728,50,0.207,0.707,KC,3750000
Junichi Tazawa,12000000,6000000,0.34,0,0.0,0.0,MIA,5000000
Sean Rodriguez,11500000,5750000,0.333,8,0.167,0.572,PIT,5750000
Carlos Gomez,11500000,11500000,0.648,51,0.255,0.804,TEX,11500000
Matt Joyce,11000000,5500000,0.87,68,0.243,0.808,OAK,5000000
Andrew Cashner,10000000,10000000,0.173,1,0.2,0.367,TEX,10000000
Mike Napoli,8500000,8500000,0.765,66,0.193,0.713,TEX,6000000
Jon Jay,8000000,8000000,0.87,34,0.296,0.749,CHC,8000000
R.A. Dickey,8000000,8000000,0.191,5,0.148,0.295,ATL,7500000
Rajai Davis,6000000,6000000,0.722,20,0.235,0.641,BOS,6000000
Jesse Chavez,5750000,5750000,0.235,0,0.0,0.0,LAA,6550000
Mitch Moreland,5500000,5500000,0.92,79,0.246,0.769,BOS,5500000
Trevor Plouffe,5250000,5250000,0.617,19,0.198,0.59,TB,5250000
Colby Rasmus,5000000,5000000,0.228,23,0.281,0.896,TB,5000000
Ben Revere,4000000,4000000,0.673,20,0.275,0.652,LAA,4000000
Jeff Mathis,4000000,2000000,0.37,11,0.215,0.6,ARI,2000000
Drew Butera,3800000,1900000,0.463,14,0.227,0.603,KC,1500000
Stephen Drew,3500000,3500000,0.284,17,0.253,0.66,WSH,3500000
Drew Storen,3000000,3000000,0.358,0,0.0,0.0,CIN,3150000
Andres Blanco,3000000,3000000,0.494,13,0.192,0.549,PHI,3000000
Franklin Gutierrez,2600000,2600000,0.216,8,0.232,0.657,LAD,2600000
A.J. Ellis,2500000,2500000,0.315,14,0.21,0.669,MIA,2500000
Edwin Jackson,2450000,2450000,0.136,0,0.095,0.19,WSH,1000000
Scott Feldman,2300000,2300000,0.13,0,0.029,0.059,CIN,3000000
Brian Duensing,2000000,2000000,0.42,0,0.0,0.0,CHC,2000000
Pedro Alvarez,2000000,2000000,0.086,4,0.313,0.79,BAL,2000000
Nick Hundley,2000000,2000000,0.624,35,0.244,0.691,SF,2000000
Alex Avila,2000000,2000000,0.691,49,0.261,0.828,CHC,2000000
Chase Utley,2000000,2000000,0.784,34,0.236,0.728,LAD,2250000
Jhoulys Chacin,1750000,1750000,0.21,4,0.222,0.481,SD,1750000
Clayton Richard,1750000,1750000,0.198,4,0.123,0.36,SD,2750000
Trevor Cahill,1750000,1750000,0.13,2,0.286,0.69,KC,1750000
Dustin McGowan,1750000,1750000,0.389,0,0.0,0.0,MIA,1750000
Adam Lind,1500000,1500000,0.716,59,0.303,0.875,WSH,1800000
Daniel Descalso,1500000,1500000,0.809,51,0.233,0.727,ARI,1350000
Kurt Suzuki,1500000,1500000,0.5,50,0.283,0.887,ATL,1600000
Chris Iannetta,1500000,1500000,0.549,43,0.254,0.865,ARI,1500000
Tom Milone,1250000,1250000,0.105,1,0.111,0.384,NYM,1250000
Alexi Amarista,1250000,1250000,0.593,19,0.238,0.62,COL,1100000
Adam Rosales,1250000,1250000,0.648,36,0.225,0.613,ARI,1250000
Michael Saunders,0,0,0.451,21,0.202,0.6,TOR,535000
