Jugador,Porcetnaje_juegos_2017,RBI_2017,Porcentaje_bateo_2017,OPS_2017,Equipo_2017,Sueldo_2017,Agente libre
Tyler White,0.136,10,0.279,0.853,HOU,535000,No
Pedro Florimon,0.093,6,0.348,0.866,PHI,535000,No
Mac Williamson,0.173,6,0.235,0.685,SF,539000,No
Marco Hernandez,0.13,2,0.276,0.628,BOS,548500,No
Jared Hoying,0.222,7,0.222,0.565,TEX,535000,No
Gavin Cecchini,0.198,7,0.208,0.529,NYM,535000,No
Cameron Perkins,0.259,8,0.182,0.51,PHI,535000,No
Jordan Luplow,0.167,11,0.205,0.66,PIT,535000,No
Phillip Ervin,0.173,10,0.259,0.766,CIN,535000,No
Jacob deGrom,0.228,4,0.211,0.5,NYM,4050000,No
Rob Refsnyder,0.321,0,0.171,0.463,TOR,535000,No
Brett Nicholas,0.136,11,0.238,0.658,TEX,537000,No
Victor Caratini,0.191,2,0.254,0.689,CHC,535000,No
Tzu-Wei Lin,0.154,2,0.268,0.709,BOS,535000,No
J.P. Crawford,0.142,6,0.214,0.656,PHI,535000,No
Jorge Soler,0.216,6,0.144,0.503,KC,3666667,No
Efren Navarro,0.142,2,0.23,0.696,DET,535000,No
Travis Jankowski,0.167,1,0.187,0.496,SD,544300,No
Richard Urena,0.13,4,0.206,0.579,TOR,535000,No
Franklin Barreto,0.154,6,0.197,0.602,OAK,535000,No
Garrett Cooper,0.08,6,0.326,0.822,NYY,535000,No
J.D. Davis,0.154,7,0.226,0.763,HOU,535000,No
Franklin Gutierrez,0.216,8,0.232,0.657,LAD,2600000,Si
Zack Greinke,0.204,4,0.21,0.52,ARI,34000000,No
Robbie Ray,0.173,2,0.245,0.569,ARI,570400,No
Austin Hays,0.124,8,0.217,0.555,BAL,535000,No
Alejandro De Aza,0.173,9,0.194,0.546,WSH,535000,No
Jhoulys Chacin,0.21,4,0.222,0.481,SD,1750000,Si
Taijuan Walker,0.173,5,0.231,0.553,ARI,2250000,No
Juan Centeno,0.136,4,0.231,0.632,HOU,535000,No
Raffy Lopez,0.148,12,0.222,0.769,TOR,535000,No
Carson Kelly,0.21,6,0.174,0.457,STL,535000,No
Adam Wainwright,0.161,11,0.262,0.731,STL,19500000,No
Carlos Martinez,0.21,11,0.177,0.429,STL,3700000,No
Christian Villanueva,0.074,7,0.344,1.094,SD,535000,No
Stuart Turner,0.228,7,0.134,0.426,CIN,535000,No
Max Scherzer,0.191,5,0.161,0.422,WSH,22242857,No
Pedro Alvarez,0.086,4,0.313,0.79,BAL,2000000,Si
Ty Blach,0.235,7,0.227,0.627,SF,536500,No
Phillip Evans,0.117,1,0.303,0.758,NYM,535000,No
Clayton Kershaw,0.167,2,0.184,0.449,LAD,35571428,No
R.A. Dickey,0.191,5,0.148,0.295,ATL,7500000,Si
Rob Brantly,0.086,5,0.29,0.905,CHW,535000,No
Rymer Liriano,0.13,6,0.22,0.646,CHW,535000,No
Gerrit Cole,0.21,3,0.164,0.415,PIT,3750000,No
Tyler Austin,0.124,8,0.225,0.708,NYY,544000,No
Andrew Stevenson,0.228,1,0.158,0.443,WSH,535000,No
Willie Calhoun,0.08,4,0.265,0.677,TEX,535000,No
Mitch Garver,0.142,3,0.196,0.636,MIN,535000,No
Tyler Wade,0.185,2,0.155,0.446,NYY,535000,No
Travis Taijeron,0.161,3,0.173,0.54,NYM,535000,No
Jon Lester,0.198,6,0.148,0.463,CHC,25000000,No
Geovany Soto,0.08,9,0.191,0.676,CHW,2000000,No
Andre Ethier,0.136,3,0.235,0.757,LAD,17500000,No
Jake Arrieta,0.198,5,0.131,0.358,CHC,15637500,No
Mike Leake,0.198,4,0.17,0.411,SEA,15000000,No
Julio Teheran,0.228,6,0.14,0.307,ATL,6466666,No
Ryan Flaherty,0.142,4,0.211,0.539,BAL,1800000,No
Will Middlebrooks,0.136,3,0.211,0.599,TEX,535000,No
Carlos Moncrief,0.173,5,0.211,0.493,SF,535000,No
Kyle Freeland,0.216,2,0.154,0.401,COL,535000,No
Chris Bostick,0.124,1,0.296,0.777,PIT,535000,No
German Marquez,0.179,5,0.178,0.4,COL,537000,No
Tony Kemp,0.105,4,0.216,0.5,HOU,535000,No
Miguel Gomez,0.136,2,0.242,0.538,SF,535000,No
Anthony Santander,0.08,2,0.267,0.625,BAL,535000,No
Homer Bailey,0.111,0,0.25,0.571,CIN,19000000,No
John Lackey,0.198,1,0.132,0.33,CHC,16000000,No
Clayton Richard,0.198,4,0.123,0.36,SD,2750000,Si
Stephen Strasburg,0.173,3,0.13,0.401,WSH,18333333,No
Madison Bumgarner,0.105,5,0.206,0.721,SF,12200000,No
Mike Morse,0.148,3,0.194,0.556,SF,535000,No
Patrick Corbin,0.216,0,0.125,0.37,ARI,3950000,No
Bryan Holaday,0.08,2,0.241,0.552,DET,535000,No
Chase Anderson,0.154,3,0.135,0.288,MIL,2450000,No
Philip Gosselin,0.247,2,0.146,0.368,TEX,559500,No
Jake Smolinski,0.099,0,0.259,0.607,OAK,545000,No
Orlando Calixte,0.179,6,0.143,0.348,SF,535000,No
Cesar Puello,0.105,3,0.206,0.514,TB,535000,No
Shane Robinson,0.124,1,0.194,0.451,LAA,535000,No
Jeff Samardzija,0.216,2,0.094,0.266,SF,19800000,No
Gio Gonzalez,0.198,5,0.091,0.234,WSH,12000000,No
Matt Moore,0.198,4,0.128,0.291,SF,7000000,No
Tyler Chatwood,0.216,2,0.154,0.354,COL,4400000,No
Mike Freeman,0.216,1,0.1,0.365,CHC,535000,No
Trayce Thompson,0.167,2,0.122,0.483,LAD,535000,No
Jimmy Nelson,0.179,2,0.105,0.226,MIL,547000,No
Vincent Velasquez,0.099,1,0.25,0.53,PHI,547000,No
Jameson Taillon,0.154,0,0.158,0.316,PIT,555500,No
Joe Ross,0.124,1,0.182,0.448,WSH,551000,No
Zach Davies,0.204,3,0.125,0.403,MIL,546200,No
Dan Vogelbach,0.099,2,0.214,0.54,SEA,535000,No
Chance Sisco,0.062,4,0.333,1.232,BAL,535000,No
Kyle Farmer,0.124,2,0.3,0.65,LAD,535000,No
Cameron Gallagher,0.08,5,0.25,0.75,KC,535000,No
Ben Lively,0.093,8,0.231,0.692,PHI,535000,No
Victor Robles,0.08,4,0.25,0.766,WSH,535000,No
Mike Tauchman,0.191,2,0.222,0.64,COL,535000,No
Rich Hill,0.154,4,0.111,0.279,LAD,12666666,Si
Edinson Volquez,0.105,1,0.192,0.407,MIA,9000000,Si
Matt Cain,0.167,2,0.156,0.375,SF,20833334,No
Luis Perdomo,0.179,3,0.109,0.432,SD,544300,No
Jaime Garcia,0.167,7,0.152,0.449,NYY,12000000,No
Mike Montgomery,0.272,3,0.185,0.519,CHC,570500,No
Kyle Hendricks,0.154,5,0.1,0.22,CHC,760500,No
Tanner Roark,0.198,0,0.091,0.216,WSH,4315000,No
Jose Urena,0.222,2,0.104,0.229,MIA,535000,No
Jerad Eickhoff,0.148,0,0.161,0.355,PHI,552000,No
Pedro Severino,0.105,3,0.172,0.433,WSH,535000,No
Tyler Glasnow,0.111,3,0.294,0.749,PIT,541000,No
Robert Gsellman,0.167,4,0.147,0.415,NYM,541750,No
Kenta Maeda,0.185,4,0.128,0.282,LAD,7375000,No
Jacob Stallings,0.031,3,0.357,0.938,PIT,535000,No
Chad Kuhl,0.204,3,0.104,0.268,PIT,550000,No
Alex Mejia,0.179,3,0.109,0.32,STL,535000,No
Bronson Arroyo,0.093,0,0.154,0.308,CIN,535000,No
Johnny Cueto,0.154,3,0.087,0.191,SF,23500000,No
Trevor Cahill,0.13,2,0.286,0.69,KC,1750000,Si
Vance Worley,0.161,3,0.182,0.364,MIA,535000,No
Lance Lynn,0.204,0,0.074,0.218,STL,8500000,No
Kris Negron,0.086,1,0.16,0.5,ARI,535000,No
Dan Straily,0.204,1,0.073,0.18,MIA,552100,No
Hyun-Jin Ryu,0.154,0,0.133,0.402,LAD,7833333,No
Joe Wendle,0.049,5,0.308,0.973,OAK,535000,No
Max Stassi,0.086,4,0.167,0.781,HOU,535000,No
Aaron Nola,0.167,1,0.083,0.237,PHI,544000,No
Alex Verdugo,0.093,1,0.174,0.544,LAD,535000,No
Antonio Senzatela,0.222,5,0.125,0.281,COL,535000,No
Seth Lugo,0.124,2,0.138,0.448,NYM,543500,No
Miguel Andujar,0.031,4,0.571,1.482,NYY,535000,No
Colin Moran,0.043,3,0.364,1.235,HOU,535000,No
Rob Segedin,0.08,1,0.2,0.5,LAD,535000,No
David Freitas,0.037,2,0.235,0.588,ATL,535000,No
Rafael Bautista,0.105,0,0.16,0.382,WSH,535000,No
Ildemaro Vargas,0.074,4,0.308,0.692,ARI,535000,No
Matt Garza,0.148,1,0.086,0.197,MIL,12500000,No
Gordon Beckham,0.068,0,0.177,0.399,SEA,535000,No
Jeremy Hellickson,0.185,2,0.091,0.348,BAL,17200000,No
Craig Stammen,0.37,0,0.5,1.292,SD,900000,No
Jordan Lyles,0.235,3,0.231,0.516,SD,535000,No
Tim Federowicz,0.08,3,0.231,0.978,SF,535000,No
Chris Rusin,0.37,0,0.333,0.667,COL,545000,No
Alex Wood,0.167,4,0.058,0.15,LAD,2800000,No
Jon Gray,0.124,3,0.079,0.26,COL,540000,No
Curt Casali,0.056,3,0.333,1.128,TB,535000,No
Steven Matz,0.105,1,0.143,0.286,NYM,562250,No
Christian Walker,0.068,2,0.25,1.233,ARI,535000,No
Adam Conley,0.136,0,0.125,0.317,MIA,537500,No
Renato Nunez,0.049,3,0.2,0.65,OAK,535000,No
Jeff Hoffman,0.142,1,0.091,0.212,COL,535000,No
Luke Weaver,0.093,1,0.158,0.358,STL,535000,No
Tim Adleman,0.185,2,0.103,0.241,CIN,535000,No
Zach Eflin,0.068,2,0.143,0.286,PHI,537000,No
Steven Brault,0.074,2,0.231,0.538,PIT,535000,No
Brent Suter,0.142,0,0.167,0.377,MIL,535000,No
Raudy Read,0.049,0,0.273,0.545,WSH,535000,No
Jacob Hannemann,0.068,1,0.15,0.45,SEA,535000,No
Nick Pivetta,0.161,0,0.068,0.136,PHI,535000,No
Tomas Nido,0.031,3,0.3,0.7,NYM,535000,No
Luis Castillo,0.093,1,0.1,0.229,CIN,535000,No
Dinelson Lamet,0.13,0,0.086,0.171,SD,535000,No
Ryan McMahon,0.105,1,0.158,0.544,COL,535000,No
Mike Marjama,0.031,1,0.333,1.111,SEA,535000,No
Taylor Davis,0.049,1,0.231,0.538,CHC,535000,No
Ervin Santana,0.204,5,0.2,0.5,MIN,13500000,No
Edwin Jackson,0.136,0,0.095,0.19,WSH,1000000,Si
Kenley Jansen,0.401,1,0.5,1.25,LAD,11333333,Si
Chris Archer,0.21,1,0.25,0.5,TB,4916666,No
Brad Peacock,0.21,2,0.286,0.804,HOU,541500,No
Erik Kratz,0.025,2,1.0,2.5,NYY,535000,No
Erasmo Ramirez,0.228,1,0.667,1.333,SEA,3125000,No
Jose Quintana,0.198,4,0.08,0.191,CHC,7000000,No
Matt Harvey,0.117,1,0.059,0.145,NYM,5125000,No
Charlie Culberson,0.093,1,0.154,0.497,LAD,550000,No
Zack Wheeler,0.111,0,0.074,0.218,NYM,800000,No
Michael Wacha,0.185,3,0.044,0.106,STL,2775000,No
Micah Johnson,0.111,0,0.2,0.4,ATL,535000,No
Michael Lorenzen,0.451,1,0.167,0.583,CIN,555000,No
Mike Foltynewicz,0.179,0,0.048,0.095,ATL,544000,No
Carlos Perez,0.068,3,0.1,0.393,LAA,547500,No
Odrisamer Despaigne,0.111,1,0.105,0.211,MIA,535000,No
Marcus Stroman,0.21,1,0.286,1.143,TOR,3400000,No
Rafael Montero,0.21,1,0.08,0.16,NYM,541400,No
A.J. Cole,0.068,0,0.143,0.393,WSH,535000,No
Noah Syndergaard,0.043,0,0.222,0.639,NYM,605500,No
Carlos Rodon,0.074,2,0.333,0.833,CHW,600000,No
Darrell Ceciliani,0.019,3,0.4,1.6,TOR,535000,No
Zack Godley,0.167,2,0.048,0.139,ARI,535000,No
Chris Stratton,0.08,0,0.143,0.286,SF,535000,No
Jake Thompson,0.074,0,0.167,0.481,PHI,535000,No
Trevor Williams,0.191,0,0.049,0.142,PIT,544000,No
Jackson Stephens,0.043,2,0.333,0.667,CIN,535000,No
Chris Flexen,0.086,0,0.154,0.385,NYM,535000,No
Mark Leiter Jr.,0.167,0,0.08,0.16,PHI,535000,No
Brandon Woodruff,0.049,0,0.2,0.473,MIL,535000,No
Ubaldo Jimenez,0.191,0,0.2,0.4,BAL,13500000,No
Justin Verlander,0.204,1,0.167,0.333,HOU,28000000,No
Yovani Gallardo,0.173,0,0.5,1.0,SEA,11000000,No
Ian Kennedy,0.185,0,0.333,0.833,KC,13500000,No
Brandon McCarthy,0.117,0,0.044,0.197,LAD,11500000,No
Brett Anderson,0.08,1,0.143,0.393,TOR,535000,No
Jason Vargas,0.198,0,0.25,0.5,KC,8000000,No
Scott Feldman,0.13,0,0.029,0.059,CIN,3000000,Si
Jordan Zimmermann,0.179,0,0.167,0.333,DET,18000000,No
Andrew Cashner,0.173,1,0.2,0.367,TEX,10000000,Si
Chris Sale,0.198,0,0.333,1.0,BOS,12000000,No
Fernando Salas,0.377,0,0.5,1.0,LAA,535000,No
Ivan Nova,0.191,0,0.02,0.039,PIT,8416666,Si
Wade LeBlanc,0.309,1,0.2,0.4,PIT,750000,No
David Price,0.099,0,1.0,2.0,BOS,30000000,No
Michael Pineda,0.105,0,0.333,0.667,NYY,7400000,No
Danny Duffy,0.148,0,0.5,1.0,KC,5000000,No
Tom Milone,0.105,1,0.111,0.384,NYM,1250000,Si
Wei-Yin Chen,0.056,0,0.125,0.25,MIA,15500000,No
Yu Darvish,0.191,0,0.059,0.17,LAD,11000000,No
Wade Miley,0.198,0,0.25,0.5,BAL,8916668,No
Jeurys Familia,0.161,0,1.0,4.0,NYM,7425000,No
Tom Koehler,0.167,0,0.048,0.095,TOR,5750000,No
Jake Odorizzi,0.173,1,0.333,0.667,TB,4100000,No
Hector Rondon,0.377,0,0.5,1.0,CHC,5800000,No
T.J. McFarland,0.265,0,0.2,0.4,ARI,535000,No
Andrew Albers,0.056,1,1.0,2.0,SEA,535000,No
Archie Bradley,0.389,1,0.25,0.5,ARI,544100,No
Blake Swihart,0.037,0,0.2,0.629,BOS,535000,No
Robert Stephenson,0.161,0,0.044,0.087,CIN,535000,No
Chad Bettis,0.056,1,0.091,0.258,COL,545000,No
Tom Murphy,0.074,1,0.042,0.199,COL,537000,No
Asher Wojciechowski,0.154,0,0.071,0.143,CIN,535000,No
John Ryan Murphy,0.031,1,0.143,0.429,ARI,535000,No
Raisel Iglesias,0.389,0,1.0,3.0,CIN,4214285,No
Andrew Susac,0.049,0,0.083,0.167,MIL,537400,No
A.J. Jimenez,0.043,0,0.083,0.167,TEX,535000,No
Amir Garrett,0.099,1,0.053,0.158,CIN,535000,No
Tyler Anderson,0.105,0,0.039,0.113,COL,540000,No
Alex Meyer,0.08,0,0.5,1.0,LAA,535000,No
Adam Morgan,0.228,0,0.5,1.167,PHI,539000,No
Sean Newcomb,0.117,0,0.037,0.14,ATL,535000,No
Daniel Gossett,0.111,0,0.2,0.4,OAK,535000,No
Matt Boyd,0.161,0,0.333,0.667,DET,544200,No
Luis Severino,0.191,0,0.2,0.4,NYY,550975,No
Marco Gonzales,0.068,0,0.5,1.0,SEA,535000,No
Rocky Gale,0.019,2,0.1,0.5,SD,535000,No
Sal Romano,0.099,0,0.042,0.163,CIN,535000,No
Jose Torres,0.383,0,1.0,2.0,SD,535400,No
Nolan Fontana,0.074,1,0.05,0.374,LAA,535000,No
Rookie Davis,0.043,0,0.167,0.619,CIN,535000,No
Jose Berrios,0.161,0,0.2,0.4,MIN,535000,No
Daniel Mengden,0.043,0,0.5,1.167,OAK,537500,No
Brock Stewart,0.105,1,0.25,0.5,LAD,537500,No
Rob Zastryzny,0.025,0,0.333,0.667,CHC,535000,No
Niko Goodrum,0.068,0,0.059,0.17,MIN,535000,No
Paolo Espino,0.074,0,0.25,0.5,TEX,535000,No
Lucas Sims,0.086,0,0.067,0.133,ATL,535000,No
Breyvic Valera,0.031,0,0.1,0.282,STL,535000,No
Sam Gaviglio,0.099,0,0.2,0.4,KC,535000,No
Kevin Shackelford,0.161,0,0.333,0.667,CIN,535000,No
Chad Wallach,0.037,0,0.091,0.182,CIN,535000,No
Tyler Mahle,0.025,0,0.143,0.393,CIN,535000,No
O'Koyea Dickson,0.043,0,0.143,0.476,LAD,535000,No
Zach Vincej,0.056,0,0.111,0.444,CIN,535000,No
Clay Buchholz,0.012,0,0.0,0.0,PHI,13500000,No
Ricky Nolasco,0.204,0,0.0,0.286,LAA,12000000,No
Anibal Sanchez,0.173,0,0.0,0.0,DET,16800000,No
C.C. Sabathia,0.167,0,0.0,0.25,NYY,25000000,No
Cole Hamels,0.148,1,0.0,0.0,TEX,22500000,No
Jason Hammel,0.198,0,0.0,0.0,KC,5000000,Si
Dustin McGowan,0.389,0,0.0,0.0,MIA,1750000,Si
Miguel Gonzalez,0.167,0,0.0,0.143,TEX,5900000,No
Bartolo Colon,0.173,0,0.0,0.0,MIN,535000,Si
Tony Sipp,0.284,0,0.0,0.0,HOU,6000000,No
Rick Porcello,0.204,0,0.0,0.0,BOS,20125000,No
J.A. Happ,0.154,0,0.0,0.0,TOR,13000000,No
Jesse Chavez,0.235,0,0.0,0.0,LAA,6550000,Si
Brett Cecil,0.451,0,0.0,0.0,STL,7750000,Si
Drew Storen,0.358,0,0.0,0.0,CIN,3150000,Si
Junichi Tazawa,0.34,0,0.0,0.0,MIA,5000000,Si
Juan Nicasio,0.469,0,0.0,0.0,STL,3650000,No
Jeremy Jeffress,0.377,0,0.0,0.0,MIL,2100000,No
Blake Wood,0.444,0,0.0,0.0,LAA,1275000,No
Brian Duensing,0.42,0,0.0,0.0,CHC,2000000,Si
Charlie Morton,0.154,0,0.0,0.0,HOU,8875000,Si
Doug Fister,0.111,0,0.0,0.0,BOS,2200000,No
Pedro Strop,0.426,0,0.0,0.0,CHC,5500000,No
George Kontos,0.401,0,0.0,0.0,PIT,1750000,No
Alex Cobb,0.179,0,0.0,0.0,TB,4200000,No
Henderson Alvarez,0.019,0,0.0,0.0,PHI,750000,No
Martin Perez,0.198,0,0.0,0.0,TEX,4650000,No
Randall Delgado,0.161,0,0.0,0.0,ARI,1775000,No
Cory Gearrin,0.42,0,0.0,0.0,SF,1050000,No
Brad Hand,0.444,0,0.0,0.0,SD,1375000,No
Marco Estrada,0.204,0,0.0,0.0,TOR,14500000,No
Michael Fiers,0.185,0,0.0,0.0,HOU,3450000,No
Tony Watson,0.438,0,0.0,0.0,LAD,5600000,No
Drew Pomeranz,0.198,0,0.0,0.0,BOS,4450000,No
Javy Guerra,0.099,0,0.0,0.0,MIA,535000,No
David Phelps,0.333,0,0.0,0.0,SEA,4600000,No
Quintin Berry,0.043,0,0.0,0.0,MIL,535000,No
Tyler Skaggs,0.099,0,0.0,0.0,LAA,555000,No
Luis Avilan,0.377,0,0.0,0.0,LAD,1500000,No
Justin Grimm,0.309,0,0.0,0.0,CHC,1825000,No
Sam Freeman,0.358,0,0.0,0.0,ATL,535000,No
Shelby Miller,0.025,0,0.0,0.333,ARI,4700000,No
Collin McHugh,0.074,0,0.0,0.0,HOU,3850000,No
Dallas Keuchel,0.142,0,0.0,0.0,HOU,9150000,No
Tony Sanchez,0.006,0,0.0,0.0,ATL,535000,No
Masahiro Tanaka,0.185,0,0.0,0.0,NYY,22000000,No
Kevin Gausman,0.21,0,0.0,0.0,BAL,3550000,No
Eduardo Rodriguez,0.154,0,0.0,0.0,BOS,584500,No
A.J. Schugel,0.198,0,0.0,0.5,PIT,535000,No
J.C. Ramirez,0.167,0,0.0,0.0,LAA,550000,No
Ian Krol,0.315,0,0.0,0.0,ATL,900000,No
Jarred Cosart,0.043,0,0.0,0.0,SD,566300,No
Scott Alexander,0.358,0,0.0,0.0,KC,535000,No
Matt Shoemaker,0.086,0,0.0,0.0,LAA,3325000,No
Ross Stripling,0.315,0,0.0,0.0,LAD,540000,No
A.J. Griffin,0.111,0,0.0,0.167,TEX,2000000,No
Pedro Baez,0.407,1,0.0,0.5,LAD,550000,No
Nick Martinez,0.142,0,0.0,0.5,TEX,540590,No
Tyler Lyons,0.309,0,0.0,0.5,STL,549800,No
Terrance Gore,0.074,0,0.0,0.2,KC,536500,No
Matt Grace,0.247,0,0.0,0.0,WSH,535000,No
Kendall Graveman,0.117,0,0.0,0.0,OAK,545000,No
Enny Romero,0.327,0,0.0,0.0,WSH,551000,No
Nik Turley,0.062,0,0.0,0.0,MIN,535000,No
Chasen Shreve,0.272,0,0.0,0.0,NYY,552425,No
Brandon Finnegan,0.031,0,0.0,0.0,CIN,567000,No
C.J. Edwards,0.457,0,0.0,0.0,CHC,556000,No
Michael Feliz,0.284,0,0.0,0.0,HOU,546200,No
Justin Nicolino,0.124,0,0.0,0.0,MIA,535000,No
Gabriel Ynoa,0.056,0,0.0,0.0,BAL,535000,No
Luke Jackson,0.265,0,0.0,0.0,ATL,535000,No
Ryan Tepera,0.451,0,0.0,0.0,TOR,542700,No
Josh Smoker,0.333,0,0.0,0.0,NYM,536625,No
Lance McCullers,0.136,0,0.0,0.0,HOU,548000,No
Josh Ravin,0.086,0,0.0,0.0,LAD,545000,No
Matt Wisler,0.124,0,0.0,0.0,ATL,535000,No
Erick Fedde,0.019,0,0.0,0.0,WSH,535000,No
Jack Flaherty,0.037,0,0.0,0.0,STL,535000,No
A.J. Reed,0.012,0,0.0,0.0,HOU,535000,No
Cody Reed,0.074,0,0.0,0.0,CIN,537000,No
Brian Ellington,0.259,0,0.0,0.0,MIA,535000,No
Kyle Barraclough,0.407,0,0.0,0.0,MIA,536500,No
John Gant,0.043,0,0.0,0.0,STL,536600,No
Michael Fulmer,0.154,0,0.0,0.0,DET,551900,No
Steven Okert,0.272,0,0.0,0.0,SF,536500,No
Edubray Ramos,0.37,0,0.0,0.0,PHI,540000,No
Blake Snell,0.148,0,0.0,0.167,TB,545000,No
Austin Brice,0.136,0,0.0,0.0,CIN,535000,No
Nick Wittgren,0.235,0,0.0,0.0,MIA,535000,No
Johnny Barbato,0.148,0,0.0,0.0,PIT,535000,No
Jharel Cotton,0.148,0,0.0,0.0,OAK,535000,No
Joe Musgrove,0.235,0,0.0,0.0,HOU,543400,No
Deck McGuire,0.037,1,0.0,0.0,CIN,535000,No
Joseph Biagini,0.272,1,0.0,0.0,TOR,535000,No
Braden Shipley,0.062,0,0.0,0.0,ARI,535000,No
Chris Smith,0.086,0,0.0,0.0,OAK,535000,No
Chris O'Grady,0.08,0,0.0,0.0,MIA,535000,No
Chris Devenski,0.383,0,0.0,0.0,HOU,554500,No
Sean Manaea,0.179,0,0.0,0.25,OAK,537500,No
Junior Guerra,0.13,0,0.0,0.0,MIL,546200,No
Albert Suarez,0.111,0,0.0,0.0,SF,535000,No
Edwin Diaz,0.407,0,0.0,0.0,SEA,545000,No
Ariel Miranda,0.198,0,0.0,0.0,SEA,540500,No
Alberto Rosario,0.019,0,0.0,0.0,STL,535000,No
James Hoyt,0.265,0,0.0,0.0,HOU,535000,No
Felix Pena,0.154,0,0.0,0.25,CHC,535000,No
Casey Lawrence,0.167,0,0.0,0.0,SEA,535000,No
Anthony Banda,0.049,0,0.0,0.0,ARI,535000,No
Max Fried,0.062,0,0.0,0.125,ATL,535000,No
Jake Junis,0.124,0,0.0,0.0,KC,535000,No
Ricardo Pinto,0.161,0,0.0,0.0,PHI,535000,No
Paul Blackburn,0.062,0,0.0,0.0,OAK,535000,No
Josh Hader,0.216,0,0.0,0.0,MIL,535000,No
Miguel Diaz,0.191,0,0.0,0.0,SD,535000,No
Dylan Covey,0.111,0,0.0,0.0,CHW,535000,No
Austin Bibens-Dirkx,0.148,0,0.0,0.0,TEX,535000,No
Hoby Milner,0.228,0,0.0,0.0,PHI,535000,No
Ariel Hernandez,0.117,0,0.0,0.0,CIN,535000,No
Paul Sewald,0.352,0,0.0,0.0,NYM,535000,No
Jordan Montgomery,0.179,0,0.0,0.4,NYY,535000,No
Emilio Pagan,0.21,0,0.0,0.0,SEA,535000,No
Hector Velazquez,0.049,0,0.0,0.0,BOS,535000,No
John Brebbia,0.309,0,0.0,0.0,STL,535000,No
Jimmy Yacabonis,0.086,1,0.0,0.0,BAL,535000,No
Chasen Bradford,0.173,0,0.0,0.0,NYM,535000,No
Yacksel Rios,0.08,0,0.0,0.0,PHI,535000,No
Dillon Peters,0.037,0,0.0,0.0,MIA,535000,No
Luiz Gohara,0.031,0,0.0,0.0,ATL,535000,No
Jen-Ho Tseng,0.012,1,0.0,0.0,CHC,535000,No
Aaron Wilkerson,0.019,0,0.0,0.0,MIL,535000,No
Tim Locastro,0.019,0,0.0,0.0,LAD,535000,No
