Jugador,Porcetnaje_juegos_2013,RBI_2013,Porcentaje_bateo_2013,OPS_2013,Equipo_2013,Sueldo_2013,Agente libre
Adrian Beltre,0.988,92,0.315,0.88,TEX,16000000,No
Matt Carpenter,0.969,78,0.318,0.873,STL,514000,No
Dustin Pedroia,0.988,84,0.301,0.787,BOS,10250000,No
Miguel Cabrera,0.914,137,0.348,1.078,DET,21000000,No
Robinson Cano,0.988,107,0.314,0.899,NYY,15000000,No
Mike Trout,0.969,97,0.323,0.988,LAA,510000,No
Daniel Murphy,0.994,78,0.286,0.733,NYM,2925000,No
Eric Hosmer,0.982,79,0.302,0.801,KC,528250,No
Manny Machado,0.963,71,0.283,0.744,BAL,520000,No
Adam Jones,0.988,108,0.285,0.811,BAL,8908333,No
Torii Hunter,0.889,84,0.304,0.8,DET,12000000,Si
Andrew McCutchen,0.969,84,0.316,0.91,PIT,4858333,No
Paul Goldschmidt,0.988,125,0.302,0.952,ARI,500000,No
Victor Martinez,0.982,83,0.299,0.781,DET,13000000,No
Alexei Ramirez,0.975,48,0.284,0.693,CHW,7000000,No
Hunter Pence,1.0,99,0.283,0.822,SF,13800000,No
Joey Votto,1.0,73,0.305,0.926,CIN,19050000,No
Jose Altuve,0.938,52,0.283,0.677,HOU,505700,No
Freddie Freeman,0.907,109,0.319,0.897,ATL,560000,No
Jed Lowrie,0.951,75,0.29,0.791,OAK,2400000,No
Prince Fielder,1.0,106,0.279,0.819,DET,23050000,No
Josh Donaldson,0.975,92,0.299,0.88,OAK,492500,No
Jean Segura,0.901,49,0.294,0.752,MIL,492000,No
Martin Prado,0.957,82,0.282,0.75,ARI,7000000,No
Nick Markakis,0.988,59,0.272,0.687,BAL,15350000,No
Jacoby Ellsbury,0.827,53,0.298,0.781,BOS,9000000,No
Adrian Gonzalez,0.969,100,0.293,0.803,LAD,21857142,No
Alex Rios,0.957,81,0.278,0.756,TEX,13000000,No
Norichika Aoki,0.957,37,0.286,0.725,MIL,2087500,No
Denard Span,0.944,47,0.279,0.707,WSH,4750000,No
Billy Butler,1.0,82,0.289,0.787,KC,8500000,No
Alex Gordon,0.963,81,0.265,0.749,KC,9050000,No
Ben Zobrist,0.963,71,0.275,0.756,TB,5640475,No
Elvis Andrus,0.957,67,0.271,0.659,TEX,5050000,No
Ian Desmond,0.975,80,0.28,0.784,WSH,3800000,No
Kendrys Morales,0.963,80,0.277,0.784,SEA,5250000,No
Chris Davis,0.988,138,0.285,1.004,BAL,3350000,No
Evan Longoria,0.982,88,0.269,0.842,TB,6000000,No
Chris Johnson,0.877,68,0.321,0.816,ATL,2287500,No
James Loney,0.969,75,0.299,0.778,TB,2000000,Si
Carlos Beltran,0.895,84,0.296,0.83,STL,13050000,No
Jay Bruce,0.988,109,0.262,0.807,CIN,7541666,No
Shin-Soo Choo,0.951,54,0.285,0.885,CIN,7375000,No
Michael Cuddyer,0.803,84,0.331,0.919,COL,10500000,No
Starlin Castro,0.994,44,0.243,0.627,CHC,5857142,No
Yadier Molina,0.84,80,0.319,0.836,STL,14300000,No
Gerardo Parra,0.963,48,0.268,0.726,ARI,2350000,No
David Ortiz,0.846,103,0.309,0.959,BOS,14550000,Si
Alejandro De Aza,0.944,62,0.264,0.728,CHW,2075000,No
Allen Craig,0.827,97,0.315,0.83,STL,1750000,No
Kyle Seager,0.988,69,0.261,0.767,SEA,510400,No
Brandon Phillips,0.932,103,0.261,0.706,CIN,10075000,No
Matt Holliday,0.87,94,0.3,0.879,STL,17000000,No
J.J. Hardy,0.982,75,0.261,0.736,BAL,7416667,No
Ryan Zimmerman,0.907,79,0.275,0.809,WSH,14275000,No
Marlon Byrd,0.907,88,0.291,0.847,PIT,700000,Si
Buster Posey,0.914,72,0.294,0.821,SF,3802777,No
Carlos Gomez,0.907,73,0.284,0.843,MIL,4300000,No
Jimmy Rollins,0.988,39,0.252,0.667,PHI,11000000,No
Ian Kinsler,0.834,72,0.277,0.757,TEX,13000000,No
Jon Jay,0.969,67,0.276,0.721,STL,524000,No
Andrelton Simmons,0.969,59,0.249,0.695,ATL,491250,No
Austin Jackson,0.796,49,0.272,0.754,DET,3500000,No
Erick Aybar,0.852,54,0.271,0.684,LAA,8750000,No
Alfonso Soriano,0.932,101,0.255,0.792,NYY,18000000,No
Justin Morneau,0.938,77,0.259,0.734,PIT,15000000,No
Justin Upton,0.92,70,0.263,0.818,ATL,9958333,No
Jayson Werth,0.796,82,0.318,0.931,WSH,16571428,No
Brett Gardner,0.895,52,0.273,0.759,NYY,3000000,No
Brandon Belt,0.926,67,0.289,0.841,SF,531500,No
Pablo Sandoval,0.87,79,0.278,0.758,SF,5700000,No
Jonathan Lucroy,0.907,82,0.28,0.795,MIL,2000000,No
Marco Scutaro,0.784,31,0.297,0.726,SF,6691667,Si
Mark Trumbo,0.982,100,0.234,0.747,LAA,540000,No
Salvador Perez,0.852,79,0.292,0.757,KC,1050000,No
Edwin Encarnacion,0.877,104,0.272,0.906,TOR,8000000,No
Joe Mauer,0.698,47,0.324,0.88,MIN,23050000,No
Josh Hamilton,0.932,79,0.25,0.739,LAA,17400000,Si
Zack Cozart,0.932,63,0.254,0.665,CIN,527500,No
Omar Infante,0.728,51,0.316,0.791,DET,4000000,No
Starling Marte,0.833,35,0.28,0.784,PIT,500000,No
Howie Kendrick,0.753,54,0.297,0.775,LAA,9100000,No
Alcides Escobar,0.975,52,0.234,0.559,KC,3000000,No
Anthony Rizzo,0.988,80,0.233,0.742,CHC,1035714,No
Troy Tulowitzki,0.778,82,0.312,0.931,COL,10025000,No
Shane Victorino,0.753,61,0.291,0.795,BOS,13000000,Si
Daniel Nava,0.827,66,0.304,0.831,BOS,505000,No
A.J. Pierzynski,0.822,70,0.272,0.722,TEX,7500000,Si
Nate McLouth,0.901,36,0.259,0.73,BAL,2000000,Si
Ichiro Suzuki,0.926,35,0.262,0.639,NYY,6500000,Si
Brian Dozier,0.907,66,0.244,0.726,MIN,497500,No
Chase Utley,0.809,69,0.284,0.823,PHI,15285714,No
Domonic Brown,0.858,83,0.272,0.818,PHI,500000,No
Coco Crisp,0.809,66,0.262,0.781,OAK,7000000,No
Adam Lind,0.883,67,0.288,0.854,TOR,5150000,No
Eric Young Jr.,0.914,32,0.249,0.645,NYM,492000,No
Desmond Jennings,0.853,54,0.252,0.748,TB,501800,No
Chris Denorfia,0.889,47,0.279,0.732,SD,2000000,No
Andre Ethier,0.877,52,0.272,0.783,LAD,13500000,No
David Wright,0.691,58,0.305,0.9,NYM,11100000,No
Matt Dominguez,0.938,77,0.241,0.69,HOU,491800,No
Wilin Rosario,0.747,79,0.292,0.801,COL,491000,No
Yunel Escobar,0.939,56,0.256,0.698,TB,5000000,No
Chase Headley,0.87,50,0.25,0.747,SD,8575000,No
Pedro Alvarez,0.938,100,0.233,0.771,PIT,700000,No
Nolan Arenado,0.821,52,0.268,0.706,COL,490000,No
Mike Napoli,0.858,92,0.259,0.842,BOS,13000000,Si
Will Venable,0.932,53,0.268,0.796,SD,2675000,No
J.B. Shuck,0.796,39,0.293,0.697,LAA,500000,No
Yoenis Cespedes,0.833,80,0.24,0.737,OAK,8500000,No
Jhonny Peralta,0.661,55,0.303,0.815,DET,6000000,No
Todd Frazier,0.926,73,0.234,0.721,CIN,527500,No
Brandon Crawford,0.92,43,0.249,0.674,SF,530000,No
Carl Crawford,0.716,31,0.283,0.736,LAD,20857142,No
Adeiny Hechavarria,0.914,42,0.227,0.565,MIA,2750000,No
Matt Wieters,0.914,79,0.235,0.703,BAL,5500000,No
Yasiel Puig,0.642,42,0.319,0.925,LAD,3714285,No
Adam LaRoche,0.938,62,0.237,0.735,WSH,10000000,Si
David Freese,0.852,60,0.262,0.721,STL,3150000,No
Trevor Plouffe,0.796,52,0.254,0.701,MIN,520000,No
Jedd Gyorko,0.772,63,0.249,0.745,SD,490000,No
Ryan Doumit,0.833,55,0.247,0.71,MIN,3500000,No
Gregor Blanco,0.87,41,0.266,0.69,SF,1350000,No
Neil Walker,0.821,53,0.251,0.757,PIT,3300000,No
Jason Castro,0.741,56,0.274,0.829,HOU,496600,No
Leonys Martin,0.902,49,0.26,0.698,TEX,3250000,No
A.J. Pollock,0.846,38,0.269,0.73,ARI,491000,No
Carlos Gonzalez,0.679,70,0.302,0.958,COL,7978571,No
Alberto Callaspo,0.84,58,0.259,0.703,OAK,4100000,No
Mark Ellis,0.778,48,0.27,0.674,LAD,5250000,No
Jose Bautista,0.728,73,0.259,0.858,TOR,14000000,No
Dayan Viciedo,0.765,56,0.265,0.731,CHW,2800000,No
Nate Schierholtz,0.846,68,0.252,0.772,CHC,2250000,Si
Jarrod Saltalamacchia,0.747,65,0.273,0.804,BOS,4500000,No
Bryce Harper,0.728,58,0.274,0.854,WSH,2000000,No
Adam Dunn,0.92,86,0.219,0.762,CHW,15000000,No
Colby Rasmus,0.728,66,0.276,0.84,TOR,4675000,No
Brandon Moss,0.895,87,0.256,0.859,OAK,1600000,No
Paul Konerko,0.778,54,0.244,0.669,CHW,13500000,No
Jose Reyes,0.574,37,0.297,0.782,TOR,10000000,No
Chris Carter,0.914,82,0.223,0.77,HOU,494000,No
D.J. LeMahieu,0.673,28,0.28,0.673,COL,490000,No
Stephen Drew,0.765,67,0.254,0.778,BOS,10000000,Si
Raul Ibanez,0.759,65,0.243,0.795,SEA,2750000,Si
Nelson Cruz,0.669,77,0.266,0.833,TEX,10800000,No
Mike Moustakas,0.84,42,0.233,0.651,KC,524500,No
Dexter Fowler,0.735,42,0.263,0.776,COL,3750000,No
Everth Cabrera,0.586,31,0.284,0.736,SD,1275000,No
Juan Uribe,0.815,50,0.278,0.769,LAD,7000000,No
Lyle Overbay,0.877,59,0.24,0.688,NYY,1250000,Si
Justin Smoak,0.809,50,0.237,0.745,SEA,514000,No
Mitch Moreland,0.902,60,0.232,0.736,TEX,502700,No
Giancarlo Stanton,0.716,62,0.249,0.845,MIA,537000,No
Jose Iglesias,0.673,29,0.303,0.735,DET,562500,No
Hanley Ramirez,0.531,57,0.345,1.04,LAD,15500000,No
Darwin Barney,0.87,41,0.208,0.57,CHC,562000,No
Welington Castillo,0.698,32,0.274,0.746,CHC,503000,No
Emilio Bonifacio,0.84,31,0.243,0.625,KC,2600000,No
Brett Lawrie,0.661,46,0.254,0.712,TOR,500000,No
Albert Pujols,0.611,64,0.258,0.767,LAA,16000000,No
Lorenzo Cain,0.71,46,0.251,0.658,KC,503175,No
Conor Gillaspie,0.827,40,0.245,0.695,CHW,490500,No
Russell Martin,0.784,55,0.226,0.703,PIT,7500000,Si
Gordon Beckham,0.636,24,0.267,0.694,CHW,2925000,No
Mark Reynolds,0.833,67,0.22,0.699,NYY,490000,Si
David DeJesus,0.753,38,0.251,0.729,TB,4250000,No
Eric Sogard,0.803,35,0.266,0.686,OAK,495000,No
Brandon Barnes,0.84,41,0.24,0.635,HOU,491700,No
Wil Myers,0.54,53,0.293,0.831,TB,490000,No
Jason Heyward,0.642,38,0.254,0.776,ATL,3650000,No
Matt Joyce,0.859,47,0.235,0.747,TB,2450000,No
Melky Cabrera,0.543,30,0.279,0.682,TOR,8000000,Si
David Murphy,0.871,45,0.22,0.656,TEX,5775000,No
Ben Revere,0.543,17,0.305,0.691,PHI,515000,No
Michael Saunders,0.815,46,0.238,0.723,SEA,512600,No
Miguel Montero,0.716,42,0.23,0.662,ARI,10000000,No
Aaron Hill,0.537,41,0.291,0.818,ARI,5500000,No
Dustin Ackley,0.698,31,0.249,0.654,SEA,2700000,No
Jordy Mercer,0.636,27,0.285,0.772,PIT,490000,No
Juan Lagares,0.747,34,0.242,0.633,NYM,490000,No
Justin Ruggiano,0.79,50,0.222,0.694,MIA,494500,No
Yonder Alonso,0.599,45,0.281,0.71,SD,1120000,No
Garrett Jones,0.889,51,0.234,0.71,PIT,4500000,No
Seth Smith,0.722,40,0.253,0.721,OAK,3675000,No
A.J. Ellis,0.71,52,0.239,0.682,LAD,2000000,No
Anthony Rendon,0.605,35,0.265,0.725,WSH,1800000,No
J.P. Arencibia,0.852,55,0.194,0.592,TOR,505600,No
Brian McCann,0.63,57,0.256,0.796,ATL,12000000,No
David Lough,0.593,33,0.286,0.724,KC,491625,No
Donovan Solano,0.63,34,0.249,0.621,MIA,491500,No
Didi Gregorius,0.636,28,0.252,0.704,ARI,491000,No
Ed Lucas,0.58,28,0.256,0.647,MIA,490000,No
Pedro Florimon,0.827,44,0.221,0.611,MIN,495000,No
Pete Kozma,0.883,35,0.217,0.548,STL,490000,No
Cody Ross,0.58,38,0.278,0.745,ARI,6000000,Si
Oswaldo Arcia,0.599,43,0.251,0.734,MIN,490000,No
John Buck,0.679,62,0.222,0.652,PIT,6500000,No
Delmon Young,0.636,38,0.261,0.715,TB,490000,Si
Nick Hundley,0.704,44,0.233,0.679,SD,3000000,No
Josh Reddick,0.704,56,0.226,0.686,OAK,510000,No
Jose Tabata,0.654,33,0.283,0.771,PIT,1166667,No
Alexi Amarista,0.901,32,0.236,0.619,SD,497400,No
Kelly Johnson,0.724,52,0.235,0.715,TB,2450000,Si
Aramis Ramirez,0.568,49,0.283,0.831,MIL,10000000,No
Maicer Izturis,0.661,32,0.236,0.597,TOR,3000000,Si
Rajai Davis,0.667,24,0.26,0.687,TOR,2500000,No
Evan Gattis,0.648,65,0.243,0.771,ATL,490000,No
Skip Schumaker,0.772,30,0.263,0.665,LAD,1500000,No
Matt Adams,0.667,51,0.284,0.839,STL,490000,No
Carlos Ruiz,0.568,37,0.268,0.688,PHI,5000000,No
Nick Franklin,0.63,45,0.225,0.686,SEA,490000,No
Josh Willingham,0.685,48,0.208,0.709,MIN,7000000,No
Brad Miller,0.469,36,0.265,0.737,SEA,490000,No
Dan Uggla,0.84,55,0.179,0.671,ATL,13200000,No
John Mayberry Jr.,0.827,39,0.227,0.677,PHI,517000,No
Angel Pagan,0.438,30,0.282,0.749,SF,8250000,Si
Juan Francisco,0.765,48,0.227,0.719,MIL,496250,No
Eduardo Nunez,0.556,28,0.26,0.679,NYY,533300,No
Will Middlebrooks,0.58,49,0.228,0.698,BOS,498000,No
Daniel Descalso,0.759,43,0.238,0.656,STL,511000,No
Wilson Ramos,0.482,59,0.272,0.777,WSH,501250,No
Jonny Gomes,0.716,52,0.248,0.773,BOS,5000000,Si
Devin Mesoraco,0.636,42,0.238,0.649,CIN,497500,No
Carlos Quentin,0.506,44,0.275,0.855,SD,9500000,No
Ryan Howard,0.494,43,0.266,0.784,PHI,20000000,No
Charlie Blackmon,0.506,22,0.309,0.803,COL,490000,No
Nick Punto,0.716,21,0.255,0.655,LAD,1500000,No
Alex Avila,0.63,47,0.227,0.693,DET,2950000,No
Steve Lombardozzi,0.728,22,0.259,0.616,WSH,501250,No
J.D. Martinez,0.531,36,0.25,0.65,HOU,497800,No
Chris Iannetta,0.71,39,0.225,0.731,LAA,5050000,No
Rickie Weeks,0.642,24,0.209,0.663,MIL,11000000,No
Melvin Upton,0.778,26,0.184,0.557,ATL,13050000,Si
