Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos_en_contra,Bateos_en_contra_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras_en_contra,Carreras_en_contra_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
BOS,6.5,2016,2023,7,0,227,51529,0,1,6,106,11236,102,10404,4.56,20.793599999999998,0.024154589371980676,0.0005834441877290019,0.11014492753623188,0.012131905061961773,3.99,15.920100000000001,30,30,Boston Red Sox,TOR,Massachusetts,93042498,230.0,52900.0,35,161,35,David Price,9,81,30000000,13,215.0,22,0.21739130434782608,SP,0.577639751552795,0,0,UFA,228,51984,30000000,30000000,0.144,30000000,29.72,883.2783999999999,217000000,31000000,230000000,217000000,31000000,93,2.88,8.2944,1.2,1.44,8,50,2500,17,289,17.216707939626428,17.216707939626428,17.216707939626428
ARI,6.2,2016,2022,6,0,161,25921,3000000,1,7,80,6400,77,5929,3.268292682926829,10.68173706127305,0.02870545403626689,0.0008240030914282311,0.0938178253868235,0.008801784360312504,4.37,19.0969,32,32,Arizona Diamondbacks,LAD,Arizona,143397172,158.7,25185.689999999995,27,161,26,Zack Greinke,7,49,24000000,1,200.0,5,0.16770186335403728,SP,0.422360248447205,0,0,UFA,134,17956,34000000,31000000,0.347,34000000,16.62,276.22440000000006,206500000,34416667,218750000,206500000,34416667,68,2.52,6.3504000000000005,1.27,1.6129,1,41,1681,13,169,17.341871082580436,17.24949776244942,17.341871082580436
DET,6.2,2016,2021,5,1,118,13924,0,1,11,63,3969,57,3249,2.5384615384615383,6.44378698224852,0.027434842249657067,0.0007526705692635685,0.0696422918645141,0.004850048816142166,4.87,23.716900000000003,30,29,Detroit Tigers,WSH,Michigan,51361000,105.3,11088.09,19,160,18,Jordan Zimmermann,7,49,18000000,11,225.0,16,0.11875,SP,0.5375,0,0,UFA,66,4356,18000000,18000000,0.09,18000000,8.57,73.4449,110000000,22000000,272257500,110000000,22000000,86,0.47,0.22089999999999999,1.37,1.8769000000000002,4,26,676,9,81,16.70588231586044,16.70588231586044,16.70588231586044
SF,5.721339712918669,2016,2021,5,1,190,36100,1800000,5,8,88,7744,86,7396,3.0925925925925926,9.564128943758574,0.02951303492375799,0.0008710192304109589,0.09127179319014046,0.00833054023214377,3.81,14.5161,31,30,San Francisco Giants,CHW,California,49675000,203.3,41330.89000000001,34,161,32,Jeff Samardzija,11,121,12000000,23,240.0,26,0.2111801242236025,SP,0.5341614906832298,0,0,UFA,167,27889,10800000,9000000,0.061,10800000,53.19,2829.1760999999997,90000000,18000000,251000000,90000000,18000000,86,2.6,6.760000000000001,1.2,1.44,8,54,2916,12,144,16.195056692094447,16.012735135300492,16.195056692094447
STL,5.721339712918669,2016,2021,5,0,203,41209,0,2,5,101,10201,92,8464,4.166666666666667,17.361111111111114,0.018864365214110546,0.00035586427493134403,0.0786015217254606,0.006178199217558055,4.69,21.996100000000002,28,28,St. Louis Cardinals,SF,Missouri,34362500,176.7,31222.889999999996,34,161,30,Mike Leake,12,144,12000000,23,170.0,28,0.2111801242236025,SP,0.5279503105590062,0,0,UFA,125,15625,12000000,12000000,0.08,12000000,19.12,365.5744,80000000,16000000,94000000,80000000,16000000,85,0.62,0.3844,1.32,1.7424000000000002,11,30,900,9,81,16.300417207752275,16.300417207752275,16.300417207752275
MIA,5.721339712918669,2016,2022,5,0,134,17956,6500000,2,10,69,4761,68,4624,4.166666666666667,17.361111111111114,0.021627466882941336,0.00046774732377272425,0.09011444534558889,0.008120613259943128,4.96,24.6016,30,30,Miami Marlins,BAL,Florida,21916000,123.3,15202.89,22,160,22,Wei-Yin Chen,5,25,3000000,2,200.0,2,0.1375,SP,0.49375,0,0,UFA,100,10000,12500000,6000000,0.161,12500000,8.52,72.59039999999999,80000000,16000000,84707500,80000000,16000000,79,1.2470400000000004,1.555108761600001,1.28,1.6384,2,24,576,5,25,16.34123920227253,15.60727002719233,16.34123920227253
KC,6.0,2016,2021,5,0,173,29929,0,2,10,81,6561,80,6400,2.787878787878788,7.7722681359045005,0.037529853292391675,0.0014084898881484423,0.10462868190606163,0.010947161077399828,3.68,13.5424,31,31,Kansas City Royals,SD,Missouri,32113700,195.4,38181.16,33,161,33,Ian Kennedy,11,121,7500000,4,205.0,9,0.20496894409937888,SP,0.5031055900621118,0,0,UFA,184,33856,7500000,7500000,0.053,7500000,54.05,2921.4024999999997,70000000,14000000,186750000,70000000,14000000,81,4.28,18.3184,1.22,1.4884,2,66,4356,11,121,15.830413578506539,15.830413578506539,15.830413578506539
LAD,6.0,2016,2019,3,1,133,17689,1666666,5,8,71,5041,69,4761,2.576923076923077,6.640532544378699,0.04239015244150974,0.001796925024014434,0.10923616206081356,0.011932539101776324,4.56,20.793599999999998,32,31,Los Angeles Dodgers,HOU,California,67847000,136.3,18577.690000000002,27,161,26,Scott Kazmir,6,36,8000000,25,185.0,30,0.16770186335403728,SP,0.5652173913043478,0,0,UFA,134,17956,12666666,11000000,0.048,12666666,15.53,241.18089999999998,48000000,16000000,79750000,48000000,16000000,91,0.46,0.2116,1.36,1.8496000000000004,6,52,2704,10,100,16.35448437639097,16.213405830762646,16.35448437639097
TOR,6.5,2016,2019,3,0,168,28224,0,1,13,72,5184,69,4761,2.716666666666667,7.380277777777779,0.03418803418803419,0.0011688216816421947,0.09287749287749288,0.00862622868320874,3.19,10.1761,33,33,Toronto Blue Jays,PIT,Toronto,30489000,195.0,38025.0,32,161,32,J.A. Happ,4,16,10000000,2,205.0,7,0.19875776397515527,SP,0.546583850931677,0,0,UFA,163,26569,10000000,10000000,0.066,10000000,86.31,7449.4161,36000000,12000000,65800000,36000000,12000000,88,4.47,19.9809,1.17,1.3688999999999998,2,60,3600,20,400,16.11809565095832,16.11809565095832,16.11809565095832
CHC,6.6,2016,2018,2,0,146,21316,0,2,15,74,5476,70,4900,3.3962264150943398,11.53435386258455,0.03127397179441789,0.0009780613117980458,0.10621348911311736,0.0112813052695823,3.35,11.2225,37,37,Chicago Cubs,STL,Illinois,137992500,188.3,35456.89000000001,29,160,29,John Lackey,8,64,16000000,17,235.0,18,0.18125,SP,0.6375,0,0,UFA,180,32400,16000000,16000000,0.087,16000000,72.18,5209.952400000001,32000000,16000000,291277500,32000000,16000000,102,2.85,8.1225,1.06,1.1236000000000002,3,53,2809,11,121,16.588099280204055,16.588099280204055,16.588099280204055
