"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Aramis Ramirez","2011","3B","CHC","$14,600,000","$0","$14,675,000","$14,675,000","0.105","$14,675,000","$15,000,000","5","$75,000,000","$100,650,000","0","2007","28",""
"","Ryan Dempster","2011","SP","CHC","$13,500,000","$1,000,000","$14,500,000","$14,500,000","0.104","$14,500,000","$13,000,000","4","$52,000,000","$61,670,000","2013","2009","31",""
"","David Wright","2011","3B","NYM","$14,000,000","$250,000","$14,250,000","$14,250,000","0.100","$14,000,000","$9,166,667","6","$55,000,000","$40,956,500","2014","2007","24",""
"","Tim Lincecum","2011","RP","SF","$13,000,000","$1,000,000","$14,100,000","$14,100,000","0.112","$13,100,000","$11,500,000","2","$23,000,000","$26,660,000","0","2010","25",""
"","Mark Buehrle","2011","SP","CHW","$14,000,000","$0","$14,025,000","$14,025,000","0.110","$14,025,000","$14,000,000","4","$56,000,000","$78,745,000","2012","2008","28",""
"","J.D. Drew","2011","RF","BOS","$14,000,000","$0","$14,000,000","$14,000,000","0.081","$14,000,000","$14,000,000","5","$70,000,000","$108,300,000","2012","2007","31",""
"","Rafael Furcal","2011","SS","STL","$13,000,000","$1,000,000","$14,000,000","$1,400,000","0.012","$1,400,000","$10,000,000","3","$30,000,000","$77,460,000","2012","2009","31",""
"","Chipper Jones","2011","3B","ATL","$13,000,000","$1,000,000","$14,000,000","$14,000,000","0.140","$0","$14,000,000","3","$42,000,000","$0","2014","2010","37",""
"","Aaron Rowand","2011","CF","SF","$12,000,000","$1,600,000","$13,600,000","$13,600,000","0.108","$13,600,000","$12,000,000","5","$60,000,000","$56,885,000","2013","2008","30",""
"","Zack Greinke","2011","SP","MIL","$13,500,000","$0","$13,500,000","$13,500,000","0.146","$13,500,000","$9,500,000","4","$38,000,000","$29,677,500","2013","2009","25",""
"","Justin Verlander","2011","SP","DET","$12,750,000","$166,666","$13,416,666","$13,416,666","0.120","$13,250,000","$16,000,000","5","$80,000,000","$29,191,000","2015","2010","26",""
"","Milton Bradley","2011","RF","SEA","$12,000,000","$1,333,334","$13,333,334","$13,333,334","0.132","$13,333,334","$10,000,000","3","$30,000,000","$46,972,300","2012","2009","30",""
"","Jorge Posada","2011","C","NYY","$13,100,000","$0","$13,100,000","$13,100,000","0.062","$13,100,000","$13,100,000","4","$52,400,000","$52,400,000","2012","0","-1,972",""
"","Carlos Guillen","2011","1B","DET","$13,000,000","$0","$13,000,000","$13,000,000","0.117","$13,000,000","$12,000,000","4","$48,000,000","$68,890,000","2012","0","-1,976",""
"","Dan Haren","2011","SP","LAA","$12,750,000","$0","$12,750,000","$12,750,000","0.087","$12,750,000","$11,187,500","4","$44,750,000","$35,523,500","2013","2009","28",""
"","David Ortiz","2011","DH","BOS","$12,500,000","$0","$12,650,000","$12,650,000","0.073","$12,650,000","$13,000,000","4","$52,000,000","$83,576,000","0","2008","32",""
"","Alex Rios","2011","RF","CHW","$12,000,000","$500,000","$12,500,000","$12,500,000","0.098","$12,000,000","$9,833,571","7","$68,835,000","$35,900,000","2015","2008","26",""
"","Gary Matthews Jr.","2011","CF","NYM","$12,000,000","$400,000","$12,400,000","$1,000,000","0.007","$1,000,000","$10,000,000","5","$50,000,000","$59,055,357","2012","2007","32",""
"","Kevin Youkilis","2011","3B","BOS","$12,000,000","$250,000","$12,250,000","$12,250,000","0.071","$12,250,000","$10,281,250","4","$41,125,000","$32,037,225","2013","2009","29",""
"","Francisco Cordero","2011","RP","CIN","$12,125,000","$125,000","$12,250,000","$12,250,000","0.150","$0","$11,500,000","4","$46,000,000","$0","2013","2008","32",""
"","Kyle Lohse","2011","SP","STL","$11,875,000","$312,500","$12,187,500","$12,187,500","0.102","$11,875,000","$10,250,000","4","$41,000,000","$45,365,000","2013","2009","30",""
"","Raul Ibanez","2011","DH","PHI","$11,500,000","$666,668","$12,166,668","$12,166,668","0.072","$12,166,668","$10,500,000","3","$31,500,000","$59,825,000","2012","2009","36",""
"","Francisco Rodriguez","2011","RP","MIL","$11,500,000","$666,667","$12,166,667","$2,450,819","0.027","$2,450,819","$12,333,333","3","$37,000,000","$57,069,166","0","2009","26",""
"","Brad Lidge","2011","RP","PHI","$11,500,000","$500,000","$12,000,000","$12,000,000","0.071","$12,000,000","$12,500,000","3","$37,500,000","$52,835,000","2012","2009","32",""
"","Scott Kazmir","2011","SP","LAA","$12,000,000","$0","$12,000,000","$12,000,000","0.082","$12,000,000","$9,500,000","3","$28,500,000","$33,047,000","2013","2009","24",""
"","Felix Hernandez","2011","SP","SEA","$11,000,000","$700,000","$11,950,000","$11,950,000","0.118","$11,950,000","$15,600,000","5","$78,000,000","$25,035,000","2015","2010","23",""
"","Brandon Phillips","2011","2B","CIN","$11,250,000","$187,500","$11,437,500","$11,437,500","0.140","$11,250,000","$6,750,000","4","$27,000,000","$28,632,200","2013","2008","26",""
"","Joe Nathan","2011","RP","MIN","$11,250,000","$0","$11,250,000","$11,250,000","0.099","$11,250,000","$11,750,000","4","$47,000,000","$57,925,000","2013","2008","33",""
"","Jose Reyes","2011","3B","NYM","$11,000,000","$0","$11,050,000","$11,050,000","0.078","$11,050,000","$5,812,500","4","$23,250,000","$35,213,000","2012","2007","23",""
"","Aaron Cook","2011","SP","COL","$9,875,000","$833,334","$10,708,334","$10,708,334","0.129","$10,708,334","$10,000,000","3","$30,000,000","$39,901,000","2013","2009","29",""
"","Nick Markakis","2011","RF","BAL","$10,250,000","$350,000","$10,675,000","$10,675,000","0.113","$10,325,000","$11,016,667","6","$66,100,000","$25,207,000","2016","2009","25",""
"","Todd Helton","2011","1B","COL","$6,000,000","$4,600,000","$10,600,000","$10,600,000","0.127","$0","$15,722,222","9","$141,500,000","$0","2012","2003","29",""
"","Michael Cuddyer","2011","LF","MIN","$10,500,000","$0","$10,525,000","$10,525,000","0.092","$10,525,000","$7,687,500","4","$30,750,000","$39,357,500","2012","2008","28",""
"","Joe Blanton","2011","RP","PHI","$8,500,000","$2,000,000","$10,500,000","$10,500,000","0.062","$10,500,000","$8,000,000","3","$24,000,000","$25,098,500","2013","2010","29",""
"","Daisuke Matsuzaka","2011","SP","BOS","$10,000,000","$333,333","$10,333,333","$10,333,333","0.060","$10,333,333","$8,666,667","6","$52,000,000","$41,666,665","2013","2007","26",""
"","Brian Roberts","2011","2B","BAL","$10,000,000","$0","$10,000,000","$10,000,000","0.106","$10,000,000","$10,000,000","4","$40,000,000","$42,310,000","2014","2010","32",""
"","Robinson Cano","2011","2B","NYY","$10,000,000","$0","$10,000,000","$10,000,000","0.047","$10,000,000","$7,500,000","4","$30,000,000","$29,021,800","2014","2008","25",""
"","Cole Hamels","2011","SP","PHI","$9,500,000","$0","$9,550,000","$9,550,000","0.056","$9,550,000","$6,833,333","3","$20,500,000","$23,777,000","0","2009","25",""
"","Andre Ethier","2011","CF","LAD","$9,250,000","$250,000","$9,500,000","$9,500,000","0.082","$9,500,000","$7,625,000","2","$15,250,000","$20,242,000","0","2010","27",""
"","Randy Wolf","2011","SP","MIL","$9,500,000","$0","$9,500,000","$9,500,000","0.103","$9,500,000","$9,916,667","3","$29,750,000","$62,962,104","2013","2010","33",""
"","Chone Figgins","2011","3B","SEA","$9,000,000","$500,000","$9,500,000","$9,500,000","0.094","$9,000,000","$9,000,000","4","$36,000,000","$35,985,000","2015","2010","31",""
"","Nick Swisher","2011","OF","NYY","$9,000,000","$100,000","$9,100,000","$9,100,000","0.043","$9,000,000","$5,350,000","5","$26,750,000","$28,181,500","2013","2007","26",""
"","Ryan Zimmerman","2011","1B","WSH","$8,925,000","$100,000","$9,025,000","$9,025,000","0.120","$8,925,000","$9,000,000","5","$45,000,000","$23,542,000","2014","2009","24",""
"","Bobby Abreu","2011","LF","LAA","$9,000,000","$0","$9,000,000","$9,000,000","0.061","$0","$9,500,000","2","$19,000,000","$0","2013","2010","35",""
"","Tim Hudson","2011","SP","ATL","$9,000,000","$0","$9,000,000","$9,000,000","0.090","$9,000,000","$9,333,333","3","$28,000,000","$79,200,000","2014","2010","34",""
"","Edwin Jackson","2011","SP","STL","$8,350,000","$400,000","$8,750,000","$3,007,796","0.025","$3,007,795","$6,675,000","2","$13,350,000","$17,247,999","2012","2010","26",""
"","Jimmy Rollins","2011","SS","PHI","$8,500,000","$0","$8,500,000","$8,500,000","0.050","$8,500,000","$8,000,000","5","$40,000,000","$54,080,000","2012","2006","27",""
"","Curtis Granderson","2011","RF","NYY","$8,250,000","$0","$8,325,000","$8,325,000","0.039","$8,325,000","$6,050,000","5","$30,250,000","$19,880,000","2014","2008","26",""
"","Joel Pineiro","2011","SP","LAA","$8,000,000","$0","$8,000,000","$8,000,000","0.055","$0","$8,000,000","2","$16,000,000","$0","2012","2010","31",""
"","Ervin Santana","2011","SP","LAA","$8,000,000","$0","$8,000,000","$8,000,000","0.055","$8,000,000","$7,500,000","4","$30,000,000","$20,036,000","2014","2009","26",""
"","Shane Victorino","2011","RF","PHI","$7,500,000","$0","$7,550,000","$7,550,000","0.044","$7,550,000","$7,333,333","3","$22,000,000","$16,995,000","2013","2010","29",""
"","Jason Marquis","2011","SP","WSH","$7,500,000","$0","$7,500,000","$7,500,000","0.100","$7,500,000","$7,500,000","2","$15,000,000","$36,000,000","2012","2010","31",""
"","Matt Cain","2011","RP","SF","$7,000,000","$333,333","$7,333,333","$7,333,333","0.058","$7,333,333","$9,083,333","3","$27,250,000","$18,119,666","2013","2010","25",""
"","Kenshin Kawakami","2011","SP","ATL","$6,667,000","$663,000","$7,330,000","$7,330,000","0.073","$7,333,667","$7,666,667","3","$23,000,000","$23,000,999","2012","2009","33",""
"","Huston Street","2011","RP","COL","$7,300,000","$0","$7,300,000","$7,300,000","0.088","$7,300,000","$7,500,000","3","$22,500,000","$17,115,625","2014","2010","26",""
"","Carlos Silva","2011","SP","CHC","$7,250,000","$0","$7,250,000","$7,250,000","0.052","$7,250,000","$12,000,000","4","$48,000,000","$54,875,000","2012","2008","28",""
"","Matt Kemp","2011","RF","LAD","$7,100,000","$0","$7,100,000","$7,100,000","0.062","$7,100,000","$5,475,000","2","$10,950,000","$12,486,000","2012","2010","25",""
"","Nate McLouth","2011","LF","ATL","$6,500,000","$500,000","$7,000,000","$7,000,000","0.070","$6,500,000","$5,250,000","3","$15,750,000","$16,462,000","2012","2009","27",""
"","Jonathan Broxton","2011","RP","LAD","$7,000,000","$0","$7,000,000","$7,000,000","0.061","$7,000,000","$5,500,000","2","$11,000,000","$15,147,500","0","2010","25",""
"","Jose Valverde","2011","RP","DET","$7,000,000","$0","$7,000,000","$7,000,000","0.063","$0","$7,000,000","2","$14,000,000","$0","2013","2010","31",""
"","Adam Wainwright","2011","SP","STL","$6,500,000","$187,500","$6,687,500","$6,687,500","0.056","$6,500,000","$3,750,000","4","$15,000,000","$17,853,000","2014","2008","26",""
"","Brian McCann","2011","C","ATL","$6,500,000","$166,666","$6,666,666","$6,666,666","0.067","$6,500,000","$4,466,667","6","$26,800,000","$19,199,500","2014","2007","22",""
"","Adrian Gonzalez","2011","1B","BOS","$6,300,000","$0","$6,375,000","$6,375,000","0.037","$6,375,000","$3,160,000","5","$15,800,000","$19,993,500","2012","2007","24",""
"","Paul Maholm","2011","RP","PIT","$5,750,000","$500,000","$6,250,000","$6,250,000","0.129","$5,750,000","$4,833,333","3","$14,500,000","$17,105,500","2013","2009","26",""
"","Ian Kinsler","2011","2B","TEX","$6,000,000","$200,000","$6,200,000","$6,200,000","0.060","$6,200,000","$4,400,000","5","$22,000,000","$15,147,708","2014","2008","25",""
"","David DeJesus","2011","LF","OAK","$6,000,000","$0","$6,000,000","$6,000,000","0.078","$6,000,000","$2,760,000","5","$13,800,000","$19,865,000","2012","2006","26",""
"","Mark Ellis","2011","2B","OAK","$6,000,000","$0","$6,000,000","$6,000,000","0.078","$6,000,000","$5,500,000","2","$11,000,000","$28,282,000","2012","2009","31",""
"","Freddy Sanchez","2011","2B","SF","$6,000,000","$0","$6,000,000","$6,000,000","0.048","$6,000,000","$6,000,000","2","$12,000,000","$26,417,000","0","2010","32",""
"","Mike Gonzalez","2011","RP","BAL","$6,000,000","$0","$6,000,000","$6,000,000","0.064","$6,000,000","$6,000,000","2","$12,000,000","$20,839,500","2012","2010","31",""
"","Jon Lester","2011","SP","BOS","$5,750,000","$0","$5,800,000","$5,800,000","0.034","$5,800,000","$6,000,000","5","$30,000,000","$12,602,403","2015","2009","24",""
"","Dustin Pedroia","2011","2B","BOS","$5,500,000","$250,000","$5,750,000","$5,750,000","0.033","$5,750,000","$6,750,000","6","$40,500,000","$12,815,984","0","2009","25",""
"","Coco Crisp","2011","CF","OAK","$5,750,000","$0","$5,750,000","$5,750,000","0.075","$5,750,000","$5,250,000","1","$5,250,000","$29,734,300","2012","2010","30",""
"","Marco Scutaro","2011","2B","BOS","$5,000,000","$500,000","$5,500,000","$5,500,000","0.032","$5,500,000","$6,250,000","2","$12,500,000","$15,090,000","2013","2010","34",""
"","Marlon Byrd","2011","LF","CHC","$5,500,000","$0","$5,500,000","$5,500,000","0.039","$5,500,000","$5,000,000","3","$15,000,000","$14,950,000","2013","2010","32",""
"","Fernando Rodney","2011","RP","LAA","$5,500,000","$0","$5,500,000","$5,500,000","0.038","$5,500,000","$5,500,000","2","$11,000,000","$17,407,500","2012","2010","32",""
"","Placido Polanco","2011","3B","PHI","$5,250,000","$166,667","$5,416,667","$5,416,667","0.032","$5,250,000","$6,000,000","3","$18,000,000","$43,035,000","2013","2010","34",""
"","Yadier Molina","2011","C","STL","$5,250,000","$62,500","$5,412,500","$5,412,500","0.045","$5,412,500","$3,875,000","4","$15,500,000","$16,673,500","2013","2008","25",""
"","Mark Reynolds","2011","3B","BAL","$5,000,000","$333,333","$5,333,333","$5,333,333","0.057","$5,333,333","$4,833,333","3","$14,500,000","$7,365,666","2013","2010","26",""
"","Casey Blake","2011","3B","LAD","$5,250,000","$0","$5,250,000","$5,250,000","0.046","$5,250,000","$5,833,333","3","$17,500,000","$32,082,400","2012","2009","34",""
"","Juan Rivera","2011","LF","LAD","$5,250,000","$0","$5,250,000","$2,237,704","0.019","$2,237,704","$4,250,000","3","$12,750,000","$18,752,000","2012","2009","30",""
"","Brandon Lyon","2011","RP","HOU","$5,250,000","$0","$5,250,000","$5,250,000","0.061","$5,250,000","$5,000,000","3","$15,000,000","$20,174,500","2013","2010","30",""
"","Jason Kubel","2011","LF","MIN","$5,250,000","$0","$5,250,000","$5,250,000","0.046","$5,250,000","$4,033,333","3","$12,100,000","$14,430,500","2012","2009","26",""
"","Chris Young","2011","RF","ARI","$5,000,000","$200,000","$5,200,000","$5,200,000","0.079","$5,200,000","$5,600,000","5","$28,000,000","$11,386,000","2014","2009","25",""
"","Ryan Doumit","2011","C","PIT","$5,100,000","$100,000","$5,200,000","$5,200,000","0.107","$5,200,000","$3,833,333","3","$11,500,000","$13,051,000","2014","2009","27",""
"","Adam Lind","2011","1B","TOR","$5,000,000","$150,000","$5,150,000","$5,150,000","0.070","$0","$4,500,000","4","$18,000,000","$2,628,200","2017","2010","26",""
"","Jack Wilson","2011","2B","ATL","$5,000,000","$0","$5,000,000","$1,612,021","0.016","$1,612,021","$5,000,000","2","$10,000,000","$40,067,000","2012","2010","32",""
"","Aaron Hill","2011","3B","TOR","$5,000,000","$0","$5,000,000","$5,000,000","0.068","$5,000,000","$3,000,000","4","$12,000,000","$14,406,300","2015","2008","25",""
"","Gavin Floyd","2011","RP","CHW","$5,000,000","$0","$5,000,000","$5,000,000","0.039","$5,000,000","$3,875,000","4","$15,500,000","$14,126,000","2014","2009","25",""
"","Juan Pierre","2011","LF","CHW","$5,000,000","$0","$5,000,000","$5,000,000","0.039","$5,000,000","$8,800,000","5","$44,000,000","$57,565,000","2012","2007","29",""
"","Scott Baker","2011","SP","MIN","$5,000,000","$0","$5,000,000","$5,000,000","0.044","$5,000,000","$3,812,500","4","$15,250,000","$10,798,500","2014","2009","27",""
"","Ryan Madson","2011","RP","PHI","$4,500,000","$333,333","$4,833,333","$4,833,333","0.028","$4,500,000","$4,000,000","3","$12,000,000","$15,900,000","2012","2009","28",""
"","John Grabow","2011","RP","CHC","$4,800,000","$0","$4,800,000","$4,800,000","0.034","$4,800,000","$3,750,000","2","$7,500,000","$12,736,250","2012","2010","31",""
"","Chris Snyder","2011","C","PIT","$4,250,000","$500,000","$4,750,000","$1,500,000","0.031","$1,500,000","$4,833,333","3","$14,500,000","$15,909,000","0","2009","27",""
"","Ben Zobrist","2011","2B","TB","$4,500,000","$140,475","$4,640,475","$4,640,475","0.101","$4,500,000","$4,500,000","4","$18,000,000","$6,760,100","2016","2010","28",""
"","Jeremy Affeldt","2011","RP","SF","$4,500,000","$0","$4,500,000","$4,500,000","0.036","$4,500,000","$4,750,000","2","$9,500,000","$21,863,000","2013","2010","30",""
"","David Aardsma","2011","RP","SEA","$4,500,000","$0","$4,500,000","$4,500,000","0.044","$0","$4,500,000","1","$4,500,000","$1,425,000","2012","0","-1,982",""
"","Justin Upton","2011","LF","ARI","$4,250,000","$208,333","$4,458,333","$4,458,333","0.068","$4,250,000","$8,583,333","6","$51,500,000","$13,285,000","2016","2010","22",""
"","Stephen Strasburg","2011","SP","WSH","$2,500,000","$1,875,000","$4,375,000","$4,375,000","0.058","$5,000,000","$3,775,000","4","$15,100,000","$12,100,000","0","2009","20",""
"","Yuniesky Betancourt","2011","1B","MIL","$4,000,000","$375,000","$4,375,000","$2,000,000","0.022","$2,000,000","$3,437,500","4","$13,750,000","$14,562,668","2012","2008","25",""
"","Franklin Gutierrez","2011","CF","SEA","$4,000,000","$312,500","$4,312,500","$4,312,500","0.043","$4,000,000","$5,062,500","4","$20,250,000","$9,134,300","2014","2010","26",""
"","James Shields","2011","SP","TB","$4,250,000","$0","$4,250,000","$4,250,000","0.092","$4,250,000","$2,812,500","4","$11,250,000","$9,844,900","2015","2008","26",""
"","LaTroy Hawkins","2011","RP/CL","MIL","$4,000,000","$250,000","$4,250,000","$4,250,000","0.046","$4,000,000","$3,750,000","2","$7,500,000","$35,750,000","2012","2010","37",""
"","Joakim Soria","2011","RP/CL","KC","$4,000,000","$0","$4,000,000","$4,000,000","0.076","$4,000,000","$2,916,667","3","$8,750,000","$8,806,500","2015","2009","24",""
"","Kei Igawa","2011","RP","NYY","$4,000,000","$0","$4,000,000","$4,000,000","0.019","$4,000,000","$4,000,000","5","$20,000,000","$20,000,000","2012","2007","27",""
"","Damaso Marte","2011","RP","NYY","$4,000,000","$0","$4,000,000","$4,000,000","0.019","$4,000,000","$4,000,000","3","$12,000,000","$20,757,499","2012","2009","33",""
"","Rafael Betancourt","2011","RP","COL","$3,775,000","$0","$3,775,000","$3,775,000","0.045","$0","$3,775,000","2","$7,550,000","$0","0","2010","34",""
"","Jason Kendall","2011","C","KC","$3,750,000","$0","$3,750,000","$3,750,000","0.071","$3,750,000","$3,000,000","2","$6,000,000","$84,793,998","2012","2010","35",""
"","Aroldis Chapman","2011","RP","CIN","$1,000,000","$2,708,333","$3,708,333","$3,708,333","0.045","$1,000,000","$5,041,667","6","$30,250,000","$18,250,000","0","2010","21",""
"","Ryan Franklin","2011","RP","STL","$3,500,000","$0","$3,500,000","$3,500,000","0.029","$3,500,000","$3,250,000","2","$6,500,000","$20,077,500","2012","2010","36",""
"","Yovani Gallardo","2011","RP","MIL","$3,250,000","$250,000","$3,500,000","$3,500,000","0.038","$3,250,000","$6,020,000","5","$30,100,000","$6,923,000","2016","2010","23",""
"","Jeff Samardzija","2011","SP","CHC","$3,000,000","$500,000","$3,500,000","$3,500,000","0.025","$3,500,000","$2,000,000","5","$10,000,000","$17,250,000","0","2007","21",""
"","Kurt Suzuki","2011","C","OAK","$3,400,000","$37,500","$3,437,500","$3,437,500","0.045","$3,400,000","$4,062,500","4","$16,250,000","$5,505,000","2014","2010","26",""
"","Maicer Izturis","2011","2B","LAA","$3,100,000","$166,667","$3,266,667","$3,266,667","0.022","$3,100,000","$3,333,333","3","$10,000,000","$10,107,000","2013","2010","29",""
"","Darren Oliver","2011","RP","TEX","$3,250,000","$0","$3,250,000","$3,250,000","0.031","$3,250,000","$3,500,000","1","$3,500,000","$34,615,000","2012","2010","39",""
"","Nick Blackburn","2011","SP","MIN","$3,000,000","$0","$3,000,000","$3,000,000","0.026","$3,000,000","$3,500,000","4","$14,000,000","$4,580,000","2015","2010","27",""
"","Adeiny Hechavarria","2011","SS","TOR","$2,000,000","$1,000,000","$3,000,000","$3,000,000","0.041","$2,000,000","$2,500,000","4","$10,000,000","$6,500,000","0","2010","20",""
"","Matt Thornton","2011","RP","CHW","$3,000,000","$0","$3,000,000","$3,000,000","0.024","$3,000,000","$1,083,333","3","$3,250,000","$8,678,000","2012","2007","30",""
"","Ivan Rodriguez","2011","C","WSH","$3,000,000","$0","$3,000,000","$3,000,000","0.040","$0","$3,000,000","2","$6,000,000","$0","2012","2010","38",""
"","Kelly Shoppach","2011","C","TB","$3,000,000","$0","$3,000,000","$3,000,000","0.065","$3,000,000","$2,775,000","2","$5,550,000","$9,052,000","0","2010","29",""
"","Colby Lewis","2011","SP","TEX","$3,000,000","$0","$3,000,000","$3,000,000","0.029","$3,000,000","$2,500,000","2","$5,000,000","$7,029,500","2013","2010","30",""
"","Carlos Ruiz","2011","C","PHI","$2,750,000","$0","$2,950,000","$2,950,000","0.017","$2,950,000","$2,950,000","3","$8,850,000","$6,238,000","2014","2010","30",""
"","Alexei Ramirez","2011","SS","CHW","$2,750,000","$125,000","$2,875,000","$2,875,000","0.023","$2,875,000","$1,187,500","4","$4,750,000","$6,400,000","2012","2008","26",""
"","Mike Wuertz","2011","RP","OAK","$2,800,000","$0","$2,800,000","$2,800,000","0.037","$2,800,000","$2,625,000","2","$5,250,000","$8,352,000","2012","2010","31",""
"","Danys Baez","2011","RP","PHI","$2,750,000","$0","$2,750,000","$2,750,000","0.016","$2,750,000","$2,625,000","2","$5,250,000","$47,250,000","2012","2010","32",""
"","Skip Schumaker","2011","LF","STL","$2,700,000","$0","$2,700,000","$2,700,000","0.023","$2,700,000","$2,350,000","2","$4,700,000","$6,708,000","2012","2010","29",""
"","Chris Iannetta","2011","C","COL","$2,550,000","$83,333","$2,633,333","$2,633,333","0.032","$2,633,333","$2,783,333","3","$8,350,000","$6,290,666","0","2010","26",""
"","Alex Gonzalez","2011","SS","ATL","$2,500,000","$0","$2,500,000","$2,500,000","0.025","$2,500,000","$2,750,000","1","$2,750,000","$31,350,000","2012","2010","32",""
"","Evan Longoria","2011","3B","TB","$2,500,000","$0","$2,500,000","$2,500,000","0.054","$2,500,000","$2,916,667","6","$17,500,000","$7,675,000","0","2008","22",""
"","Melvin Mora","2011","3B","ARI","$2,350,000","$0","$2,350,000","$2,350,000","0.036","$2,350,000","$2,400,000","1","$2,400,000","$20,476,914","2012","0","-1,973",""
