Acronimo,Acronimo_t_1,Acronimo_t_2,Altura,Altura_t_1,Altura_t_2,Anio_t_1,Anio_t_2,Anio_x,Anio_y,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Bateos_pitcher_2_t_1,Bateos_pitcher_2_t_2,Bateos_pitcher_t_1,Bateos_pitcher_t_2,Cantidad_agentes_libres,Cantidad_agentes_libres_t_1,Cantidad_agentes_libres_t_2,Carreras,Carreras_2,Carreras_2_t_1,Carreras_2_t_2,Carreras_ganadas,Carreras_ganadas_2,Carreras_ganadas_2_t_1,Carreras_ganadas_2_t_2,Carreras_ganadas_t_1,Carreras_ganadas_t_2,Carreras_t_1,Carreras_t_2,Comando,Comando_2,Comando_2_t_1,Comando_2_t_2,Comando_t_1,Comando_t_2,Control,Control_2,Control_2_t_1,Control_2_t_2,Control_t_1,Control_t_2,Dominio,Dominio_2,Dominio_2_t_1,Dominio_2_t_2,Dominio_t_1,Dominio_t_2,ERA,ERA_2,ERA_2_t_1,ERA_2_t_2,ERA_t_1,ERA_t_2,Edad,Edad_t_1,Edad_t_2,Equipo,Equipo_anterior,Equipo_t_1,Equipo_t_2,Inning_pitched,Inning_pitched_2,Inning_pitched_2_t_1,Inning_pitched_2_t_2,Inning_pitched_t_1,Inning_pitched_t_2,Juegos,Juegos_2,Juegos_2_t_1,Juegos_2_t_2,Juegos_iniciados,Juegos_iniciados_2,Juegos_iniciados_2_t_1,Juegos_iniciados_2_t_2,Juegos_iniciados_t_1,Juegos_iniciados_t_2,Juegos_t_1,Juegos_t_2,Juegos_totales,Juegos_totales_t_1,Juegos_totales_t_2,Jugador,Losses,Losses_2,Losses_2_t_1,Losses_2_t_2,Losses_t_1,Losses_t_2,Pennants_won,Pennants_won_t_1,Pennants_won_t_2,Peso,Peso_t_1,Peso_t_2,Playoffs,Playoffs_t_1,Playoffs_t_2,Posicion,Posicion_t_1,Posicion_t_2,Promedio_victorias,Promedio_victorias_t_1,Promedio_victorias_t_2,Saves,Saves_2,Saves_2_t_1,Saves_2_t_2,Saves_t_1,Saves_t_2,Status,Strike_outs,Strike_outs_2,Strike_outs_2_t_1,Strike_outs_2_t_2,Strike_outs_t_1,Strike_outs_t_2,Sueldo,Sueldo_base,Sueldo_base_t_1,Sueldo_base_t_2,Sueldo_regular,Sueldo_regular_t_1,Sueldo_regular_t_2,Sueldo_t_1,Sueldo_t_2,TVS,TVS_2,TVS_2_t_1,TVS_2_t_2,TVS_t_1,TVS_t_2,Valor_contrato,Valor_contrato_total,Valor_contrato_total_t_1,Valor_contrato_total_t_2,Valor_promedio_contrato,Victorias,Victorias_t_1,Victorias_t_2,WAR,WAR_2,WAR_2_t_1,WAR_2_t_2,WAR_t_1,WAR_t_2,WHIP,WHIP_2,WHIP_2_t_1,WHIP_2_t_2,WHIP_t_1,WHIP_t_2,WS_ganadas,WS_ganadas_t_1,WS_ganadas_t_2,Walks,Walks_2,Walks_2_t_1,Walks_2_t_2,Walks_t_1,Walks_t_2,Wins,Wins_2,Wins_2_t_1,Wins_2_t_2,Wins_t_1,Wins_t_2,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
NYY,NYY,BOS,6.5,6.5,6.5,10,11,2019,9,3,47,2209,400,5625,20,75,5,2,6,17,289,144,1849,14,196,144,1681,12,41,12,43,2.2,4.840000000000001,7.716049382716049,4.760330578512396,2.7777777777777777,2.1818181818181817,0.06703536115300822,0.004493739644914244,0.002986055122577562,0.003706715409974308,0.05464480874316939,0.06088280060882801,0.14747779453661808,0.021749699881384938,0.023040548785320695,0.017645190711943814,0.15179113539769276,0.13283520132835203,1.9,3.61,34.692099999999996,102.00999999999999,5.89,10.1,33,34,35,New York Yankees,COL,New York Yankees,Boston Red Sox,66.3,4395.69,334.89000000000004,6448.089999999999,18.3,80.3,73,5329,576,8649,0,0,0,0,0,0,24,93,162,60,162,Adam Ottavino,5,25,9,36,3,6,40,40,14,246,246,246,55,56,25,RP,RP,RP,0.6358024691358025,0.55,0.5679012345679012,2,4,0,121,0,11,UFA,88,7744,625,9216,25,96,9000000,8000000,8000000,7150000,9000000,3962963,7225044,9000000,7225044,56.66,3210.3555999999994,4.7089,193.4881,2.17,13.91,27000000,124555000,336500000,31850000,9000000,103,33,92,2.17,4.7089,0.019600000000000003,0.4760999999999999,-0.14,0.69,1.31,1.7161000000000002,2.4964000000000004,9.1809,1.58,3.03,27,27,9,40,1600,81,1936,9,44,6,36,4,81,2,9,16.012735135300492,15.89495209964411,16.012735135300492
STL,STL,STL,6.7,6.7,6.7,10,11,2021,9,1,181,32761,2916,49284,54,222,1,2,2,83,6889,625,9409,80,6400,529,8649,23,93,25,97,2.390625,5.715087890625,12.96,12.303905325443786,3.6,3.5076923076923077,0.041415906296512005,0.0017152772943614628,0.0006435269808983173,0.0007050239758212653,0.025367833587011668,0.026552287581699346,0.09900990099009901,0.00980296049406921,0.008340109672442192,0.008674548250672818,0.091324200913242,0.09313725490196079,4.19,17.556100000000004,9.9225,38.440000000000005,3.15,6.2,37,38,39,St. Louis Cardinals,STL,St. Louis Cardinals,St. Louis Cardinals,171.7,29480.889999999996,4316.490000000001,73984.0,65.7,272.0,32,1024,100,1936,32,1024,100,1764,10,42,10,44,162,58,161,Adam Wainwright,10,100,9,100,3,10,23,23,23,230,230,230,29,30,31,SP,SP,SP,0.5617283950617284,0.5172413793103449,0.5527950310559007,0,0,0,0,0,0,UFA,153,23409,2916,51984,54,228,10000000,2000000,5000000,8000000,10000000,2962963,8000000,6111111,8000000,67.2,4515.84,7347.9184,31456.569600000006,85.72,177.36,8000000,25000000,7000000,17000000,8000000,91,30,89,1.84,3.3856,0.2916,16.483599999999996,0.54,4.06,1.43,2.0448999999999997,1.1025,4.4521,1.05,2.11,11,11,11,64,4096,225,4225,15,65,14,196,25,484,5,22,16.11809565095832,14.508657738524219,16.11809565095832
BAL,BAL,LAA,6.3,6.3,6.3,10,11,2018,9,4,21,441,2704,18769,52,137,1,2,6,16,256,729,5329,15,225,625,4096,25,64,27,73,4.0,16.0,4.45679012345679,7.111111111111111,2.111111111111111,2.6666666666666665,0.018066847335140017,0.00032641097263125593,0.0014623677928117312,0.0015126422609950641,0.03824091778202677,0.03889270189887897,0.07226738934056007,0.005222575562100095,0.006517466335864628,0.010756567189298235,0.08073082642872317,0.10371387173034394,10.95,119.90249999999999,18.49,64.96360000000001,4.3,8.06,31,32,32,Baltimore Orioles,TB,Baltimore Orioles,Los Angeles Angels,12.3,151.29000000000002,2735.2899999999995,21228.489999999998,52.3,145.7,3,9,100,784,3,9,100,784,10,28,10,28,161,62,162,Alex Cobb,2,4,25,64,5,8,7,7,1,205,205,205,14,14,10,SP,SP,SP,0.3354037267080745,0.4354838709677419,0.4753086419753086,0,0,0,0,0,0,UFA,8,64,1444,18496,38,136,14000000,14000000,14000000,15000000,9500000,4582187,5000000,14000000,15000000,0.0,0.0,1190.9400999999998,8385.0649,34.51,91.57,57000000,800000,3800000,12625000,14250000,54,27,77,-0.41,0.16809999999999997,0.9603999999999999,7.3441,0.98,2.71,1.87,3.4969000000000006,1.7956000000000003,6.760000000000001,1.34,2.6,3,3,1,2,4,324,2601,18,51,0,0,4,100,2,10,16.454567887579532,16.454567887579532,16.06680235657077
CHW,CHW,MIN,6.1,6.1,6.1,10,11,2021,9,1,42,1764,169,6561,13,81,3,5,6,28,784,9,1936,19,361,4,1024,2,32,3,44,2.391304347826087,5.718336483931947,4.0,5.698231009365245,2.0,2.3870967741935485,0.04189435336976321,0.0017551368442705899,0.001588858526795478,0.0015567177644288826,0.03986048829098156,0.03945526282296042,0.10018214936247723,0.010036463050885696,0.006355434107181912,0.008870537438098399,0.07972097658196312,0.09418353060964746,2.8,7.839999999999999,0.6561000000000001,24.6016,0.81,4.96,30,31,31,Chicago White Sox,CHW,Chicago White Sox,Minnesota Twins,61.0,3721.0,497.29,7621.289999999999,22.3,87.3,62,3844,441,7744,0,0,0,0,0,0,21,88,161,60,163,Alex Colome,5,25,0,16,0,4,6,6,6,225,225,225,9,10,17,RP,RP,RP,0.4472049689440994,0.5833333333333334,0.4478527607361963,30,900,144,841,12,29,UFA,55,3025,256,5476,16,74,7325000,7325000,10532500,5000000,7325000,3900926,5000000,10532500,5000000,73.24,5364.097599999999,8071.225600000001,9500.4009,89.84,97.47,6250000,24500000,151500000,41750000,6250000,72,35,73,0.98,0.9603999999999999,0.9216,0.09,0.96,0.3,1.07,1.1449,0.8835999999999999,5.475599999999999,0.94,2.34,3,3,3,23,529,64,961,8,31,4,16,4,36,2,6,15.806803712867405,15.806803712867405,15.806803712867405
CIN,LAD,SF,6.4,6.4,6.4,10,11,2021,9,1,41,1681,289,20164,17,142,1,4,8,25,625,121,5476,23,529,81,4624,9,68,11,74,3.3333333333333335,11.111111111111112,6.25,13.772345679012346,2.5,3.7111111111111112,0.028011204481792715,0.0007846275765208043,0.0027555610666776887,0.0010920993600734591,0.05249343832020997,0.03304692663582287,0.09337068160597572,0.008718084183564494,0.017222256666735554,0.01504076990275985,0.13123359580052493,0.12264081662627598,5.8,33.64,40.96000000000001,104.6529,6.4,10.23,28,29,29,Cincinnati Reds,LAD,Los Angeles Dodgers,San Francisco Giants,35.7,1274.4900000000002,161.29,22891.690000000002,12.7,151.3,7,49,81,1225,7,49,4,784,2,28,9,35,162,59,163,Alex Wood,3,9,1,25,1,5,10,25,23,215,215,215,15,34,27,SP,RP,RP,0.4629629629629629,0.711864406779661,0.6625766871165644,0,0,0,0,0,0,UFA,30,900,225,27889,15,167,9650000,9650000,4000000,3000000,9650000,1481481,5000000,4000000,5000000,0.0,0.0,0.0,4643.0596000000005,0.0,68.14,3000000,2000000,15813500,36200000,3000000,75,42,108,-0.3,0.09,0.16000000000000003,1.2995999999999999,-0.4,1.14,1.4,1.9599999999999997,3.3124000000000002,9.0,1.82,3.0,5,7,8,9,81,36,2025,6,45,1,1,0,100,0,10,16.082468473315167,16.082468473315167,16.082468473315167
ARI,CHC,OAK,6.2,6.2,6.2,10,11,2021,9,1,52,2704,121,3136,11,56,4,4,5,23,529,49,441,22,484,49,441,7,21,7,21,3.7777777777777777,14.271604938271604,6.760000000000001,10.293402777777779,2.6,3.2083333333333335,0.03795066413662239,0.0014402529084107168,0.003280284571247125,0.0011598823516832163,0.057273768613974804,0.03405704555129843,0.14336917562724014,0.020554720520034427,0.022174723701630563,0.011939136220711436,0.14891179839633448,0.10926635447708245,3.76,14.137599999999999,42.5104,69.88959999999999,6.52,8.36,29,30,31,Arizona Diamondbacks,CHC,Chicago Cubs,Oakland Athletics,52.7,2777.2900000000004,94.08999999999999,6130.889999999999,9.7,78.3,78,6084,225,7396,0,0,0,0,0,0,15,86,162,58,162,Andrew Chafin,2,4,4,36,2,6,1,17,15,235,235,235,6,21,29,RP,RP,RP,0.5246913580246914,0.5517241379310345,0.5308641975308642,0,0,1,36,1,6,UFA,68,4624,169,5929,13,77,1945000,1945000,3045000,2250000,1945000,471324,822596,3045000,2750000,40.12,1609.6143999999997,0.0,6356.8729,0.0,79.73,2750000,11600000,2650000,21300000,2750000,85,32,86,0.72,0.5184,0.0256,1.7424000000000002,-0.16,1.32,1.33,1.7689000000000001,2.7224999999999997,6.708099999999999,1.65,2.59,1,3,9,18,324,25,576,5,24,2,4,1,9,1,3,14.480772535034683,14.480772535034683,14.480772535034683
SEA,TOR,MIA,6.2,6.2,6.2,10,11,2021,9,2,30,900,289,5184,17,72,3,3,2,20,400,169,2116,19,361,100,1296,10,36,13,46,2.5294117647058822,6.397923875432525,5.4444444444444455,5.730945821854913,2.3333333333333335,2.393939393939394,0.03935185185185185,0.0015485682441700962,0.0015140274644582052,0.0017762510826323749,0.038910505836575876,0.0421455938697318,0.09953703703703703,0.009907621742112483,0.008243038417605786,0.010179598720577273,0.09079118028534372,0.10089399744572158,3.56,12.6736,12.320099999999998,53.7289,3.51,7.33,31,32,32,Seattle Mariners,TOR,Toronto Blue Jays,Miami Marlins,48.0,2304.0,660.49,7569.0,25.7,87.0,45,2025,676,9216,0,0,0,1,0,1,26,96,162,61,162,Anthony Bass,4,16,9,144,3,12,0,2,2,200,200,200,4,8,3,RP,RP,RP,0.419753086419753,0.5245901639344263,0.4135802469135802,5,25,49,49,7,7,UFA,43,1849,441,6241,21,79,555000,555000,1500000,1000000,393888,555556,1000000,1500000,1000000,0.0,0.0,8101.800100000001,10504.200099999998,90.01,102.49,5000000,4450000,108000000,10000000,2500000,68,32,67,0.95,0.9025,0.3844,0.5328999999999999,0.62,0.73,0.98,0.9603999999999999,1.0201,5.289999999999999,1.01,2.3,0,2,2,17,289,81,1089,9,33,2,4,4,25,2,5,13.226723392728571,13.226723392728571,12.883821883910022
CIN,CIN,SF,6.1,6.1,6.1,10,11,2021,9,1,151,22801,1681,33124,41,182,1,4,8,77,5929,729,7744,72,5184,729,7396,27,86,27,88,3.4081632653061225,11.61557684298209,2.44140625,9.313020214030917,1.5625,3.0517241379310347,0.03266013463973872,0.001066684394685861,0.002782884261691565,0.0010249045436538028,0.05275304978569073,0.032014130374786114,0.11131107111910951,0.012390154553683455,0.006794151029520422,0.009544956732499997,0.08242664029014177,0.0976982944196059,3.89,15.132100000000001,52.1284,107.95210000000002,7.22,10.39,29,30,30,Cincinnati Reds,CIN,Cincinnati Reds,San Francisco Giants,166.7,27788.889999999996,1135.6900000000003,40521.69,33.7,201.3,31,961,81,1849,31,961,49,1444,7,38,9,43,162,59,163,Anthony DeSclafani,9,81,4,81,2,9,10,10,23,195,195,195,15,16,27,SP,RP,RP,0.4629629629629629,0.5254237288135594,0.6625766871165644,0,0,0,0,0,0,UFA,167,27889,625,31329,25,177,2125000,2125000,5900000,6000000,2125000,2212963,6125000,5900000,6125000,73.8,5446.44,0.0,7811.024399999999,0.0,88.38,6000000,2000000,144825000,36200000,6000000,75,31,108,2.87,8.2369,0.39690000000000003,11.902500000000002,-0.63,3.45,1.2,1.44,2.8560999999999996,7.728399999999999,1.69,2.78,5,5,8,49,2401,256,3364,16,58,9,81,1,196,1,14,14.569282360340654,14.569282360340654,14.569282360340654
ARI,CIN,PHI,6.4,6.4,6.4,10,11,2021,9,1,67,4489,289,4624,17,68,4,4,6,30,900,36,900,28,784,36,729,6,27,6,30,2.4166666666666665,5.840277777777777,36.0,5.3824,6.0,2.32,0.05578800557880055,0.0031123015664602815,0.000331783902508618,0.0016066768244631534,0.01821493624772313,0.04008337341670675,0.13482101348210132,0.018176705676340946,0.011944220490310247,0.008647777339990477,0.10928961748633878,0.09299342632675967,3.52,12.3904,8.7025,44.3556,2.95,6.66,26,27,28,Arizona Diamondbacks,CIN,Cincinnati Reds,Philadelphia Phillies,71.7,5140.89,334.89000000000004,4802.49,18.3,69.3,66,4356,256,4761,1,1,0,0,0,0,16,69,162,59,162,Archie Bradley,5,25,0,9,0,3,1,10,7,215,215,215,6,16,14,CL,RP,RP,0.5246913580246914,0.5254237288135594,0.5061728395061729,18,324,36,64,6,8,UFA,87,7569,324,3364,18,58,1830000,1830000,4100000,6000000,1830000,534592,6000000,4100000,6000000,0.0,0.0,0.0,336.3556,0.0,18.34,6000000,11600000,144825000,158800000,6000000,85,31,82,-0.01,0.0001,0.04409999999999999,0.8281000000000001,0.21,0.91,1.44,2.0736,1.1881000000000002,6.3504000000000005,1.09,2.52,1,5,2,36,1296,9,625,3,25,4,16,4,81,2,9,14.419826524817603,14.419826524817603,14.419826524817603
NYY,NYY,NYY,6.4,6.4,6.4,10,11,2017,9,5,38,1444,36,1764,6,42,5,2,4,18,324,16,729,14,196,16,625,4,25,4,27,3.4,11.559999999999999,30.25,8.027777777777779,5.5,2.8333333333333335,0.04873294346978557,0.0023748997792293162,0.001442989730422462,0.00470972702806613,0.03798670465337132,0.06862745098039216,0.16569200779727095,0.027453841447890898,0.043650439345279485,0.03780864197530864,0.20892687559354226,0.19444444444444445,2.21,4.8841,9.5481,41.6025,3.09,6.45,31,32,33,New York Yankees,CHC,New York Yankees,New York Yankees,57.0,3249.0,136.89,4624.0,11.7,68.0,60,3600,169,5476,0,0,0,0,0,0,13,74,162,60,162,Aroldis Chapman,2,4,1,25,1,5,40,40,40,218,218,218,55,56,57,RP,RP,RP,0.6358024691358025,0.55,0.5679012345679012,37,1369,9,1089,3,33,UFA,85,7225,484,14161,22,119,17200000,15000000,15000000,15000000,17200000,7755556,14838710,17200000,17200000,62.94,3961.4435999999996,0.0,327.61000000000007,0.0,18.1,86000000,124555000,336500000,111300000,17200000,103,33,92,1.52,2.3104,0.16809999999999997,3.7636,0.41,1.94,1.11,1.2321000000000002,0.7395999999999999,4.7089,0.86,2.17,27,27,27,25,625,16,1764,4,42,3,9,1,49,1,7,16.660419941783683,16.523560759066484,16.660419941783683
