Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,Bateos_pitcher,Bateos_pitcher_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Control,Dominio,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
PIT,6.4,2017,2016,2016,1,81,6561,0,2,10,51,2601,44,1936,1.525,0.054134524292867775,0.08255514954662337,4.82,23.232400000000002,38,38,Pittsburgh Pirates,SF,Pennsylvania,22750000,82.1,6740.409999999999,24,160,576,14,196,Ryan Vogelsong,7,49,9,215,17,SP,0.4875,0,0,UFA,61,3721,3225000,2000000,3225000,9.78,95.64839999999998,2000000,25150000,2000000,2000000,78,-0.09,0.0081,1.47,2.1609,5,40,1600,3,9,14.98644350821201,14.508657738524219,14.98644350821201
MIA,0.0,2017,2016,2016,1,54,2916,0,2,10,27,729,25,625,2.0,0.0629572911349328,0.1259145822698656,3.44,11.833599999999999,39,38,Miami Marlins,CHC,Florida,39807500,65.3,4264.089999999999,67,160,4489,0,0,Fernando Rodney,4,16,2,240,2,RP,0.49375,25,625,UFA,74,5476,830616,1600000,4100000,37.37,1396.5168999999999,2000000,84707500,2000000,2000000,79,-0.85,0.7224999999999999,1.39,1.9320999999999997,2,37,1369,2,4,13.629922873176499,14.28551418721001,15.226497531674536
CIN,6.6,2017,2016,2016,1,89,7921,0,2,8,64,4096,61,3721,1.2580645161290323,0.058678780995646405,0.07382169222032935,9.36,87.60959999999999,35,34,Cincinnati Reds,DET,Ohio,11591500,58.7,3445.6900000000005,15,161,225,11,121,Alfredo Simon,7,49,10,267,15,SP,0.422360248447205,0,0,UFA,39,1521,2000000,2000000,2000000,0.0,0.0,2000000,3400000,2000000,2000000,68,-2.14,4.5796,2.05,4.2025,5,31,961,2,4,14.508657738524219,14.508657738524219,14.508657738524219
ATL,6.3,2017,2016,2016,1,39,1521,0,1,13,25,625,22,484,2.0,0.04258614014711575,0.0851722802942315,6.91,47.7481,31,30,Atlanta Braves,NYM,Georgia,19625000,28.7,823.6899999999999,39,160,1521,0,0,Eric O'Flaherty,4,16,18,210,23,RP,0.41875,0,0,UFA,22,484,1750000,1750000,1750000,0.0,0.0,1750000,19157500,1750000,1750000,67,-0.83,0.6889,1.74,3.0276,3,11,121,1,1,14.375126345899696,14.375126345899696,14.375126345899696
MIL,6.2,2017,2016,2016,1,23,529,0,1,8,11,121,11,121,1.8,0.06944444444444445,0.125,4.13,17.0569,37,37,Milwaukee Brewers,NYY,Wisconsin,29399327,24.0,576.0,16,161,256,0,0,Chris Capuano,1,1,1,225,4,RP,0.4472049689440994,0,0,UFA,27,729,1500000,1500000,1500000,0.0,0.0,1500000,8100000,1500000,1500000,72,0.17,0.028900000000000006,1.58,2.4964000000000004,0,15,225,1,1,14.22097566607244,14.22097566607244,14.22097566607244
SD,6.2,2017,2016,2016,1,89,7921,0,5,13,50,2500,49,2401,4.357142857142857,0.021021021021021023,0.0915915915915916,5.96,35.5216,32,32,San Diego Padres,STL,California,19714000,74.0,5476.0,51,161,2601,0,0,Carlos Villanueva,2,4,2,215,5,RP,0.422360248447205,1,1,UFA,61,3721,1500000,1500000,1500000,4.18,17.472399999999997,1500000,12120000,1500000,1500000,68,-1.07,1.1449,1.39,1.9320999999999997,0,14,196,2,4,14.22097566607244,14.22097566607244,14.22097566607244
WSH,6.3,2017,2016,2016,1,43,1849,0,1,11,13,169,9,81,4.571428571428571,0.01698204754973314,0.07763221737020864,1.77,3.1329000000000002,36,35,Washington Nationals,STL,Washington DC,24924500,45.8,2097.64,40,161,1600,0,0,Matt Belisle,0,0,1,230,4,RP,0.5838509316770186,0,0,UFA,32,1024,1250000,1250000,1250000,0.0,0.0,1250000,68750000,1250000,1250000,94,1.18,1.3923999999999999,1.09,1.1881000000000002,0,7,49,0,0,14.038654109278484,14.038654109278484,14.038654109278484
LAA,6.3,2017,2016,2016,1,153,23409,0,5,9,81,6561,77,5929,2.1636363636363636,0.04243827160493827,0.09182098765432099,4.81,23.136099999999995,28,27,Los Angeles Angels,ARI,California,10564609,144.0,20736.0,34,161,1156,22,484,Jhoulys Chacin,8,64,1,215,10,SP,0.453416149068323,0,0,UFA,119,14161,877593,1100000,1100000,26.64,709.6896,1100000,12525000,1100000,1100000,73,-0.03,0.0009,1.44,2.0736,1,55,3025,6,36,13.68493821161235,13.9108207377686,13.9108207377686
TOR,6.4,2017,2016,2016,1,23,529,0,1,13,14,196,14,196,3.75,0.02867383512544803,0.10752688172043011,4.07,16.5649,33,32,Toronto Blue Jays,CLE,Toronto,39626000,31.0,961.0,28,161,784,0,0,Gavin Floyd,4,16,2,235,7,RP,0.546583850931677,0,0,UFA,30,900,1000000,1000000,1000000,0.0,0.0,1000000,65800000,1000000,1000000,88,0.22,0.0484,1.0,1.0,2,8,64,2,4,13.815510557964274,13.815510557964274,13.815510557964274
MIL,6.1,0,2016,2016,1,65,4225,0,1,8,26,676,25,625,2.6,0.04050222762251924,0.10530579181855003,2.73,7.4529,33,33,Milwaukee Brewers,ATL,Wisconsin,4040500,82.3,6773.29,72,161,5184,0,0,Carlos Torres,3,9,1,180,4,RP,0.4472049689440994,2,4,UFA,78,6084,950000,950000,950000,80.74,6518.9475999999995,950000,8100000,950000,950000,72,2.23,4.9729,1.15,1.3224999999999998,0,30,900,3,9,13.764217263576723,13.764217263576723,13.764217263576723
MIL,6.3,2017,2016,2016,1,80,6400,0,1,8,30,900,29,841,1.5294117647058822,0.02861952861952862,0.04377104377104377,3.96,15.6816,34,34,Milwaukee Brewers,MIN,Wisconsin,6079500,66.0,4356.0,61,161,3721,0,0,Blaine Boyer,4,16,1,225,4,RP,0.4472049689440994,1,1,UFA,26,676,950000,950000,950000,40.47,1637.8209,950000,8100000,950000,950000,72,0.6,0.36,1.47,2.1609,0,17,289,2,4,13.764217263576723,13.764217263576723,13.764217263576723
LAD,6.4,2017,2016,2016,1,45,2025,0,5,8,27,729,25,625,1.875,0.05555555555555555,0.10416666666666667,4.69,21.996100000000002,30,29,Los Angeles Dodgers,KC,California,3156098,48.0,2304.0,61,161,3721,0,0,Louis Coleman,1,1,25,205,30,RP,0.5652173913043478,0,0,UFA,45,2025,750000,750000,750000,13.52,182.79039999999998,750000,79750000,750000,750000,91,-0.36,0.1296,1.44,2.0736,6,24,576,2,4,13.527828485512494,13.527828485512494,13.527828485512494
CIN,6.5,0,2016,2016,1,72,5184,0,2,8,38,1444,34,1156,2.1315789473684212,0.055409740449110526,0.11811023622047243,4.02,16.160399999999996,30,30,Cincinnati Reds,PIT,Ohio,1160000,76.2,5806.4400000000005,70,161,4900,0,0,Blake Wood,5,25,10,233,15,RP,0.422360248447205,1,1,UFA,81,6561,600000,600000,600000,41.04,1684.2816,600000,3400000,600000,600000,68,0.53,0.28090000000000004,1.44,2.0736,5,38,1444,6,36,13.304684934198283,13.304684934198283,13.304684934198283
SD,6.4,0,2016,2016,1,34,1156,0,5,13,20,400,20,400,2.5161290322580645,0.054673721340388004,0.13756613756613756,2.86,8.179599999999999,29,28,San Diego Padres,LAD,California,516036,63.0,3969.0,67,161,4489,0,0,Ryan Buchter,0,0,2,232,5,RP,0.422360248447205,1,1,UFA,78,6084,485982,520000,520000,76.38,5833.904399999999,520000,12120000,520000,520000,68,1.37,1.8769000000000002,1.03,1.0609,0,31,961,3,9,13.093926865159705,13.16158409055761,13.16158409055761
SD,0.0,2017,2016,2016,1,92,8464,0,5,13,56,3136,55,3025,1.4878048780487805,0.05423280423280423,0.08068783068783068,5.89,34.692099999999996,32,32,San Diego Padres,ATL,California,81259061,84.0,7056.0,24,161,576,13,169,Edwin Jackson,7,49,2,210,5,SP,0.422360248447205,0,0,UFA,61,3721,216294,507500,507500,9.48,89.8704,507500,12120000,507500,507500,68,-0.19,0.0361,1.58,2.4964000000000004,0,41,1681,5,25,12.284393872305369,13.137251989898079,13.137251989898079
SF,6.4,2018,2016,2016,1,5,25,0,5,8,0,0,0,0,2.25,0.07054673721340389,0.15873015873015875,0.0,0.0,41,41,San Francisco Giants,DET,California,94858190,6.3,39.69,10,161,100,0,0,Joe Nathan,0,0,23,230,26,RP,0.5341614906832298,0,0,UFA,9,81,83190,507500,507500,0.0,0.0,507500,251000000,507500,507500,86,0.08,0.0064,1.42,2.0164,8,4,16,2,4,11.328882427277934,13.137251989898079,13.137251989898079
TEX,6.5,0,2016,2016,1,116,13456,0,2,10,68,4624,67,4489,2.3260869565217392,0.04295051353874883,0.09990662931839403,5.07,25.704900000000002,28,27,Texas Rangers,OAK,Texas,2502500,119.0,14161.0,23,161,529,23,529,A.J. Griffin,4,16,2,230,8,RP,0.5900621118012422,0,0,UFA,107,11449,493633,507500,507500,0.0,0.0,507500,20165000,507500,507500,95,0.93,0.8649000000000001,1.36,1.8496000000000004,0,46,2116,7,49,13.109547605092216,13.137251989898079,13.137251989898079
TB,6.3,2017,2016,2016,1,62,3844,0,2,4,35,1225,33,1089,1.6666666666666667,0.046948356807511735,0.07824726134585289,5.98,35.760400000000004,31,31,Tampa Bay Rays,MIN,Florida,13705636,49.7,2470.09,58,161,3364,0,0,Kevin Jepsen,6,36,1,235,4,RP,0.4161490683229814,7,49,UFA,35,1225,227386,507500,507500,5.3,28.09,0,5275000,507500,0,67,-0.58,0.3364,1.67,2.7889,0,21,441,2,4,12.33440429288003,13.137251989898079,13.137251989898079
WSH,6.6,2017,2016,2016,1,74,5476,0,1,11,40,1600,38,1444,1.4,0.047619047619047616,0.06666666666666667,4.89,23.912099999999995,28,28,Washington Nationals,CHW,Washington DC,26668329,70.0,4900.0,17,161,289,12,144,Mat Latos,3,9,1,245,4,SP,0.5838509316770186,0,0,UFA,42,1764,85963,507500,507500,28.38,805.4244,0,68750000,507500,0,94,0.36,0.1296,1.49,2.2201,0,30,900,7,49,11.361672250100924,13.137251989898079,13.137251989898079
CIN,6.4,2017,2016,2016,1,59,3481,0,2,8,35,1225,34,1156,2.125,0.05411804498562489,0.1150008455944529,4.66,21.715600000000002,33,33,Cincinnati Reds,TEX,Ohio,6201192,65.7,4316.490000000001,64,161,4096,0,0,Ross Ohlendorf,7,49,10,240,15,RP,0.422360248447205,2,4,UFA,68,4624,800000,800000,800000,23.49,551.7801,0,3400000,800000,0,68,0.23,0.0529,1.39,1.9320999999999997,5,32,1024,5,25,13.592367006650065,13.592367006650065,13.592367006650065
ATL,6.4,2017,2016,2016,1,36,1296,0,1,13,17,289,17,289,2.0625,0.04304546677428033,0.08878127522195318,3.7,13.690000000000001,30,29,Atlanta Braves,ARI,Georgia,5731687,41.3,1705.6899999999998,18,160,324,3,9,Josh Collmenter,0,0,18,245,23,RP,0.41875,0,0,UFA,33,1089,52687,507500,507500,0.0,0.0,0,19157500,507500,0,67,0.16,0.0256,1.26,1.5876000000000001,3,16,256,3,9,10.872124024782218,13.137251989898079,13.137251989898079
SD,6.3,2017,2016,2016,1,19,361,0,5,13,4,16,3,9,2.6666666666666665,0.020833333333333332,0.05555555555555555,1.69,2.8560999999999996,31,31,San Diego Padres,SD,California,29703450,16.0,256.0,18,161,324,0,0,Brandon Morrow,0,0,2,205,5,RP,0.422360248447205,0,0,UFA,8,64,138650,507500,607500,0.0,0.0,0,12120000,507500,0,68,0.44,0.1936,1.38,1.9043999999999996,0,3,9,1,1,11.839708051043925,13.137251989898079,13.31710745419684
BAL,6.0,2017,2016,2016,1,13,169,0,1,8,6,36,6,36,3.3333333333333335,0.02506265664160401,0.0835421888053467,4.05,16.4025,33,32,Baltimore Orioles,MIN,Maryland,8302500,13.3,176.89000000000001,14,161,196,0,0,Brian Duensing,0,0,7,200,14,RP,0.546583850931677,0,0,UFA,10,100,341079,507500,507500,0.0,0.0,0,220260000,507500,0,88,0.17,0.028900000000000006,1.2,1.44,3,3,9,1,1,12.739869400988196,13.137251989898079,13.137251989898079
BOS,6.1,0,2016,2016,1,40,1600,0,1,6,20,400,19,361,1.8636363636363635,0.05234356412086605,0.09754936949797763,3.66,13.395600000000002,30,30,Boston Red Sox,OAK,Massachusetts,3780020,46.7,2180.8900000000003,57,161,3249,0,0,Fernando Abad,6,36,13,220,22,RP,0.577639751552795,1,1,UFA,41,1681,174699,507500,507500,31.0,961.0,0,230000000,507500,0,93,-0.27,0.0729,1.33,1.7689000000000001,8,22,484,1,1,12.070819772007312,13.137251989898079,13.137251989898079
SD,6.4,0,2016,2016,1,131,17161,0,5,13,74,5476,69,4761,1.9230769230769231,0.044685056285984355,0.08593280054996992,4.8,23.04,28,28,San Diego Padres,COL,California,3462950,129.3,16718.49,24,161,576,23,529,Christian Friedrich,12,144,2,215,5,SP,0.422360248447205,0,0,UFA,100,10000,396539,507500,507500,38.8,1505.4399999999998,0,12120000,507500,0,68,0.4,0.16000000000000003,1.41,1.9880999999999998,0,52,2704,5,25,12.890529675875685,13.137251989898079,13.137251989898079
NYM,6.5,2017,2016,2016,1,35,1225,0,2,9,17,289,17,289,2.857142857142857,0.044444444444444446,0.12698412698412698,4.37,19.0969,33,33,New York Mets,MIL,New York,1991500,35.0,1225.0,44,161,1936,0,0,Jim Henderson,2,4,5,220,9,RP,0.5403726708074534,0,0,UFA,40,1600,507500,507500,507500,0.0,0.0,0,48757500,507500,0,87,0.12,0.0144,1.4,1.9599999999999997,2,14,196,2,4,13.137251989898079,13.137251989898079,13.137251989898079
CHW,6.1,0,2016,2016,1,132,17424,0,2,13,61,3721,55,3025,2.7142857142857144,0.02880658436213992,0.07818930041152264,3.67,13.4689,32,31,Chicago White Sox,BAL,Illinois,6384975,135.0,18225.0,24,161,576,23,529,Miguel Gonzalez,8,64,6,170,9,SP,0.484472049689441,0,0,UFA,95,9025,413177,507500,507500,70.28,4939.2784,0,17650000,507500,0,78,2.22,4.928400000000001,1.24,1.5376,3,35,1225,5,25,12.931631351561236,13.137251989898079,13.137251989898079
MIA,6.3,2017,2016,2016,1,49,2401,0,2,10,26,676,21,441,1.9090909090909092,0.05472636815920398,0.1044776119402985,2.82,7.952399999999999,34,33,Miami Marlins,PHI,Florida,8690196,67.0,4489.0,55,160,3025,0,0,Dustin McGowan,3,9,2,240,2,RP,0.49375,1,1,UFA,63,3969,1000000,1000000,1000000,54.44,2963.7135999999996,0,84707500,1000000,0,79,0.68,0.4624000000000001,1.22,1.4884,2,33,1089,1,1,13.815510557964274,13.815510557964274,13.815510557964274
