Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,WAR_2,TVS_2,Dominio_2,Control_2,Comando_2
Carlos Villanueva,2016,UFA,STL,1,1500000,1500000,San Diego Padres,13,12120000,SD,68,161,5,2,0,0.422360248447205,RP,51,0,74.0,89,50,49,14,61,2,2,1,1.39,5.96,-1.07,4.18,32,215,6.2,1500000,1500000,1500000,0.0915915915915916,0.021021021021021023,4.357142857142857,2601,0,5476.0,7921,2500,2401,196,3721,4,4,1,1.9320999999999997,35.5216,1.1449,17.472399999999997,0.008389019650280912,0.0004418833247662077,18.984693877551017
Matt Belisle,2016,UFA,STL,1,1250000,1250000,Washington Nationals,11,68750000,WSH,94,161,4,1,0,0.5838509316770186,RP,40,0,45.8,43,13,9,7,32,0,0,0,1.09,1.77,1.18,0.0,36,230,6.3,1250000,1250000,1250000,0.07763221737020864,0.01698204754973314,4.571428571428571,1600,0,2097.64,1849,169,81,49,1024,0,0,0,1.1881000000000002,3.1329000000000002,1.3923999999999999,0.0,0.006026761173815325,0.00028838993898139736,20.897959183673468
Jhoulys Chacin,2016,UFA,ARI,1,1100000,1100000,Los Angeles Angels,9,12525000,LAA,73,161,10,1,1,0.453416149068323,SP,34,22,144.0,153,81,77,55,119,6,8,0,1.44,4.81,-0.03,26.64,28,215,6.3,1100000,1100000,877593,0.09182098765432099,0.04243827160493827,2.1636363636363636,1156,484,20736.0,23409,6561,5929,3025,14161,36,64,0,2.0736,23.136099999999995,0.0009,709.6896,0.008431093773814968,0.00180100689681451,4.681322314049586
Gavin Floyd,2016,UFA,CLE,1,1000000,1000000,Toronto Blue Jays,13,65800000,TOR,88,161,7,2,2,0.546583850931677,RP,28,0,31.0,23,14,14,8,30,2,4,0,1.0,4.07,0.22,0.0,33,235,6.4,1000000,1000000,1000000,0.10752688172043011,0.02867383512544803,3.75,784,0,961.0,529,196,196,64,900,4,16,0,1.0,16.5649,0.0484,0.0,0.011562030292519367,0.0008221888208013771,14.0625
Carlos Torres,2016,UFA,ATL,1,950000,950000,Milwaukee Brewers,8,8100000,MIL,72,161,4,1,0,0.4472049689440994,RP,72,0,82.3,65,26,25,30,78,3,3,2,1.15,2.73,2.23,80.74,33,180,6.1,950000,950000,950000,0.10530579181855003,0.04050222762251924,2.6,5184,0,6773.29,4225,676,625,900,6084,9,9,4,1.3224999999999998,7.4529,4.9729,6518.9475999999995,0.011089309790531798,0.0016404304423863604,6.760000000000001
Blaine Boyer,2016,UFA,MIN,1,950000,950000,Milwaukee Brewers,8,8100000,MIL,72,161,4,1,0,0.4472049689440994,RP,61,0,66.0,80,30,29,17,26,2,4,1,1.47,3.96,0.6,40.47,34,225,6.3,950000,950000,950000,0.04377104377104377,0.02861952861952862,1.5294117647058822,3721,0,4356.0,6400,900,841,289,676,4,16,1,2.1609,15.6816,0.36,1637.8209,0.0019159042728066299,0.0008190774184040178,2.339100346020761
Louis Coleman,2016,UFA,KC,1,750000,750000,Los Angeles Dodgers,8,79750000,LAD,91,161,30,25,6,0.5652173913043478,RP,61,0,48.0,45,27,25,24,45,2,1,0,1.44,4.69,-0.36,13.52,30,205,6.4,750000,750000,750000,0.10416666666666667,0.05555555555555555,1.875,3721,0,2304.0,2025,729,625,576,2025,4,1,0,2.0736,21.996100000000002,0.1296,182.79039999999998,0.010850694444444446,0.0030864197530864196,3.515625
Blake Wood,2016,UFA,PIT,1,600000,600000,Cincinnati Reds,8,3400000,CIN,68,161,15,10,5,0.422360248447205,RP,70,0,76.2,72,38,34,38,81,6,5,1,1.44,4.02,0.53,41.04,30,233,6.5,600000,600000,600000,0.11811023622047243,0.055409740449110526,2.1315789473684212,4900,0,5806.4400000000005,5184,1444,1156,1444,6561,36,25,1,2.0736,16.160399999999996,0.28090000000000004,1684.2816,0.013950027900055796,0.003070239336637795,4.543628808864267
Ryan Buchter,2016,UFA,LAD,1,520000,520000,San Diego Padres,13,12120000,SD,68,161,5,2,0,0.422360248447205,RP,67,0,63.0,34,20,20,31,78,3,0,1,1.03,2.86,1.37,76.38,29,232,6.4,520000,520000,485982,0.13756613756613756,0.054673721340388004,2.5161290322580645,4489,0,3969.0,1156,400,400,961,6084,9,0,1,1.0609,8.179599999999999,1.8769000000000002,5833.904399999999,0.018924442204865482,0.0029892158052063984,6.330905306971904
Edwin Jackson,2016,UFA,ATL,1,507500,507500,San Diego Padres,13,12120000,SD,68,161,5,2,0,0.422360248447205,SP,24,13,84.0,92,56,55,41,61,5,7,0,1.58,5.89,-0.19,9.48,32,210,0.0,507500,507500,216294,0.08068783068783068,0.05423280423280423,1.4878048780487805,576,169,7056.0,8464,3136,3025,1681,3721,25,49,0,2.4964000000000004,34.692099999999996,0.0361,89.8704,0.006510526021108031,0.0029411970549536683,2.2135633551457468
Joe Nathan,2016,UFA,DET,1,507500,507500,San Francisco Giants,8,251000000,SF,86,161,26,23,8,0.5341614906832298,RP,10,0,6.3,5,0,0,4,9,2,0,0,1.42,0.0,0.08,0.0,41,230,6.4,507500,507500,83190,0.15873015873015875,0.07054673721340389,2.25,100,0,39.69,25,0,0,16,81,4,0,0,2.0164,0.0,0.0064,0.0,0.025195263290501393,0.004976842131457065,5.0625
A.J. Griffin,2016,UFA,OAK,1,507500,507500,Texas Rangers,10,20165000,TEX,95,161,8,2,0,0.5900621118012422,RP,23,23,119.0,116,68,67,46,107,7,4,0,1.36,5.07,0.93,0.0,28,230,6.5,507500,507500,493633,0.09990662931839403,0.04295051353874883,2.3260869565217392,529,529,14161.0,13456,4624,4489,2116,11449,49,16,0,1.8496000000000004,25.704900000000002,0.8649000000000001,0.0,0.00998133458176299,0.0018447466132422469,5.410680529300568
Kevin Jepsen,2016,UFA,MIN,0,0,0,Tampa Bay Rays,4,5275000,TB,67,161,4,1,0,0.4161490683229814,RP,58,0,49.7,62,35,33,21,35,2,6,7,1.67,5.98,-0.58,5.3,31,235,6.3,507500,507500,227386,0.07824726134585289,0.046948356807511735,1.6666666666666667,3364,0,2470.09,3844,1225,1089,441,1225,4,36,49,2.7889,35.760400000000004,0.3364,28.09,0.006122633908126203,0.0022041482069254333,2.777777777777778
Mat Latos,2016,UFA,CHW,0,0,0,Washington Nationals,11,68750000,WSH,94,161,4,1,0,0.5838509316770186,SP,17,12,70.0,74,40,38,30,42,7,3,0,1.49,4.89,0.36,28.38,28,245,6.6,507500,507500,85963,0.06666666666666667,0.047619047619047616,1.4,289,144,4900.0,5476,1600,1444,900,1764,49,9,0,2.2201,23.912099999999995,0.1296,805.4244,0.0044444444444444444,0.0022675736961451243,1.9599999999999997
Ross Ohlendorf,2016,UFA,TEX,1,0,0,Cincinnati Reds,8,3400000,CIN,68,161,15,10,5,0.422360248447205,RP,64,0,65.7,59,35,34,32,68,5,7,2,1.39,4.66,0.23,23.49,33,240,6.4,800000,800000,800000,0.1150008455944529,0.05411804498562489,2.125,4096,0,4316.490000000001,3481,1225,1156,1024,4624,25,49,4,1.9320999999999997,21.715600000000002,0.0529,551.7801,0.013225194487439196,0.0029287627930661194,4.515625
Josh Collmenter,2016,UFA,ARI,0,0,0,Atlanta Braves,13,19157500,ATL,67,160,23,18,3,0.41875,RP,18,3,41.3,36,17,17,16,33,3,0,0,1.26,3.7,0.16,0.0,30,245,6.4,507500,507500,52687,0.08878127522195318,0.04304546677428033,2.0625,324,9,1705.6899999999998,1296,289,289,256,1089,9,0,0,1.5876000000000001,13.690000000000001,0.0256,0.0,0.007882114830036199,0.001852912209815672,4.25390625
Brandon Morrow,2016,UFA,SD,1,0,0,San Diego Padres,13,12120000,SD,68,161,5,2,0,0.422360248447205,RP,18,0,16.0,19,4,3,3,8,1,0,0,1.38,1.69,0.44,0.0,31,205,6.3,507500,607500,138650,0.05555555555555555,0.020833333333333332,2.6666666666666665,324,0,256.0,361,16,9,9,64,1,0,0,1.9043999999999996,2.8560999999999996,0.1936,0.0,0.0030864197530864196,0.00043402777777777775,7.111111111111111
Brian Duensing,2016,UFA,MIN,1,0,0,Baltimore Orioles,8,220260000,BAL,88,161,14,7,3,0.546583850931677,RP,14,0,13.3,13,6,6,3,10,1,0,0,1.2,4.05,0.17,0.0,33,200,6.0,507500,507500,341079,0.0835421888053467,0.02506265664160401,3.3333333333333335,196,0,176.89000000000001,169,36,36,9,100,1,0,0,1.44,16.4025,0.028900000000000006,0.0,0.006979297310388195,0.0006281367579349375,11.111111111111112
Fernando Abad,2016,UFA,OAK,1,0,0,Boston Red Sox,6,230000000,BOS,93,161,22,13,8,0.577639751552795,RP,57,0,46.7,40,20,19,22,41,1,6,1,1.33,3.66,-0.27,31.0,30,220,6.1,507500,507500,174699,0.09754936949797763,0.05234356412086605,1.8636363636363635,3249,0,2180.8900000000003,1600,400,361,484,1681,1,36,1,1.7689000000000001,13.395600000000002,0.0729,961.0,0.009515879489452967,0.0027398487048752155,3.473140495867768
Christian Friedrich,2016,UFA,COL,1,0,0,San Diego Padres,13,12120000,SD,68,161,5,2,0,0.422360248447205,SP,24,23,129.3,131,74,69,52,100,5,12,0,1.41,4.8,0.4,38.8,28,215,6.4,507500,507500,396539,0.08593280054996992,0.044685056285984355,1.9230769230769231,576,529,16718.49,17161,5476,4761,2704,10000,25,144,0,1.9880999999999998,23.04,0.16000000000000003,1505.4399999999998,0.00738444621036091,0.00199675425528159,3.698224852071006
Jim Henderson,2016,UFA,MIL,1,0,0,New York Mets,9,48757500,NYM,87,161,9,5,2,0.5403726708074534,RP,44,0,35.0,35,17,17,14,40,2,2,0,1.4,4.37,0.12,0.0,33,220,6.5,507500,507500,507500,0.12698412698412698,0.044444444444444446,2.857142857142857,1936,0,1225.0,1225,289,289,196,1600,4,4,0,1.9599999999999997,19.0969,0.0144,0.0,0.016124968505920885,0.0019753086419753087,8.16326530612245
Miguel Gonzalez,2016,UFA,BAL,1,0,0,Chicago White Sox,13,17650000,CHW,78,161,9,6,3,0.484472049689441,SP,24,23,135.0,132,61,55,35,95,5,8,0,1.24,3.67,2.22,70.28,32,170,6.1,507500,507500,413177,0.07818930041152264,0.02880658436213992,2.7142857142857144,576,529,18225.0,17424,3721,3025,1225,9025,25,64,0,1.5376,13.4689,4.928400000000001,4939.2784,0.006113566698843334,0.0008298193026130841,7.367346938775511
Dustin McGowan,2016,UFA,PHI,1,0,0,Miami Marlins,10,84707500,MIA,79,160,2,2,2,0.49375,RP,55,0,67.0,49,26,21,33,63,1,3,1,1.22,2.82,0.68,54.44,34,240,6.3,1000000,1000000,1000000,0.1044776119402985,0.05472636815920398,1.9090909090909092,3025,0,4489.0,2401,676,441,1089,3969,1,9,1,1.4884,7.952399999999999,0.4624000000000001,2963.7135999999996,0.010915571396747604,0.002994975371896735,3.6446280991735542
