Jugador,Valor_contrato,Valor_promedio_contrato,Juegos,Wins,Saves,WHIP,ERA,Equipo,Sueldo
Yu Darvish,126000000,21000000,8,1,0,1.42,4.95,CHC,25000000
Jake Arrieta,75000000,25000000,31,10,0,1.29,3.96,PHI,30000000
Alex Cobb,57000000,14250000,28,5,0,1.41,4.9,BAL,14000000
Wade Davis,52000000,17333333,69,3,43,1.06,4.13,COL,16000000
Tyler Chatwood,38000000,12666667,25,4,0,1.8,5.3,CHC,12500000
Mike Minor,28000000,9333333,28,12,0,1.12,4.19,TEX,8333333
Jake McGee,27000000,9000000,61,2,1,1.46,6.49,COL,7000000
Bryan Shaw,27000000,9000000,61,4,0,1.79,5.93,COL,7500000
Brandon Morrow,21000000,10500000,35,0,22,1.08,1.47,CHC,9000000
Tommy Hunter,18000000,9000000,65,5,4,1.25,3.8,PHI,9000000
Juan Nicasio,17000000,8500000,46,1,1,1.38,6.0,SEA,7750000
Addison Reed,16750000,8375000,55,1,0,1.43,4.5,MIN,8250000
Pat Neshek,16200000,8100000,30,3,5,1.15,2.59,PHI,7750000
Andrew Cashner,16000000,8000000,30,5,0,1.58,5.29,BAL,9500000
Jason Vargas,16000000,8000000,21,6,0,1.41,5.77,NYM,6000000
Jhoulys Chacin,15500000,7750000,36,15,0,1.16,3.5,MIL,8750000
Joe Smith,15000000,7500000,56,5,0,1.01,3.75,HOU,7000000
Greg Holland,14000000,14000000,56,2,3,1.62,4.66,WSH,545000
Anthony Swarzak,14000000,7000000,29,0,4,1.6,6.15,NYM,5500000
Steve Cishek,13000000,6500000,81,4,4,1.04,2.18,CHC,7500000
Lance Lynn,12000000,12000000,31,10,0,1.53,4.77,NYY,12000000
Luke Gregerson,11000000,5500000,17,0,0,1.58,7.11,STL,5000000
Yusmeiro Petit,10000000,5000000,74,7,0,1.01,3.0,OAK,3500000
C.C. Sabathia,10000000,10000000,29,9,0,1.31,3.65,NYY,10500000
Jaime Garcia,10000000,10000000,33,3,0,1.54,5.82,CHC,545000
Brandon Kintzler,10000000,5000000,70,3,2,1.47,4.6,CHC,5000000
Tony Watson,9000000,3000000,72,4,0,1.03,2.59,SF,3000000
Hector Rondon,8500000,4250000,63,2,15,1.32,3.2,HOU,4000000
Alex Avila,8250000,4125000,81,0,0,0.5,0.0,ARI,4000000
Brian Duensing,7000000,3500000,49,3,1,1.88,7.65,CHC,3500000
Michael Fiers,6000000,6000000,31,12,0,1.18,3.56,OAK,6000000
Matt Albers,5000000,2500000,34,3,1,1.66,7.34,MIL,2500000
David Hernandez,5000000,2500000,57,5,0,0.98,2.53,CIN,2800000
Miguel Gonzalez,4750000,4750000,3,0,0,2.43,12.41,CHW,4750000
Jared Hughes,4500000,2250000,72,4,7,1.02,1.95,CIN,2875000
Fernando Rodney,4500000,4500000,68,4,25,1.46,3.36,OAK,5900000
Craig Stammen,4500000,2250000,73,8,0,1.04,2.73,SD,3250000
Francisco Liriano,4000000,4000000,27,5,0,1.5,4.58,DET,4000000
Doug Fister,4000000,4000000,12,1,0,1.39,4.5,TEX,3500000
Carlos Gomez,4000000,4000000,118,0,0,12.0,81.0,TB,4400000
Bud Norris,3000000,3000000,64,3,28,1.25,3.59,STL,3000000
Sergio Romo,2500000,2500000,73,3,25,1.26,4.14,TB,2500000
Anibal Sanchez,2500000,2500000,25,7,0,1.08,2.83,ATL,1000000
Seung-Hwan Oh,2000000,2000000,73,6,3,1.01,2.63,COL,2750000
Jose Reyes,2000000,2000000,110,0,0,7.0,54.0,NYM,2000000
Wily Peralta,1525000,1525000,37,1,14,1.49,3.67,KC,1500000
Clay Buchholz,1500000,1500000,17,7,0,1.04,2.01,ARI,1500000
Tony Barnette,1500000,1500000,22,2,0,0.91,2.39,TEX,1500000
Jesse Chavez,1500000,1500000,63,5,5,1.06,2.55,CHC,1500000
Trevor Cahill,1500000,1500000,21,7,0,1.19,3.76,OAK,1500000
Justin Grimm,1250000,1250000,21,1,0,1.9,10.39,SEA,545000
Jordan Lyles,1000000,1000000,37,3,0,1.27,4.11,MIL,750000
Yovani Gallardo,750000,750000,21,8,0,1.63,6.39,TEX,2300000
Dan Jennings,750000,750000,73,4,1,1.38,3.22,MIL,750000
Peter Moylan,575000,575000,39,0,0,1.76,4.45,ATL,575000
