Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos_en_contra,Bateos_en_contra_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras_en_contra,Carreras_en_contra_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
NYM,6.3,2022,2025,3,0,108,11664,0,2,6,39,1521,37,1369,7.208333333333333,51.96006944444444,0.018352833218628125,0.00033682648715078,0.1322933394509444,0.017501527663082803,2.29,5.2441,37,37,New York Mets,LAD,New York,197908333,145.3,21112.090000000004,23,162,22,Max Scherzer,5,25,43333333,5,208,10,SP,0.6234567901234568,0,0,UFA,173,29929,43333333,43333333,0.162,43333333,56.65,3209.2225,130000000,43333333,259270000,130000000,43333333,101,5.25,27.5625,0.91,0.8281000000000001,2,24,576,11,121,17.58443271205944,17.58443271205944,17.58443271205944
SEA,6.2,2022,2027,5,0,163,26569,0,1,2,80,6400,78,6084,3.4193548387096775,11.691987513007284,0.036449147560258674,0.001328540357869511,0.12463256907701352,0.015533277274736546,3.71,13.7641,30,30,Seattle Mariners,TOR,Washington,44458723,189.0,35721.0,32,162,32,Robbie Ray,12,144,21000000,0,215,5,SP,0.5555555555555556,0,0,UFA,212,44944,21000000,21000000,0.181,21000000,31.72,1006.1583999999999,115000000,23000000,115700000,115000000,23000000,90,2.02,4.0804,1.19,1.4161,0,62,3844,12,144,16.860032995687696,16.860032995687696,16.860032995687696
TOR,6.3,2022,2027,5,1,188,35344,0,1,6,72,5184,65,4225,7.321428571428571,53.60331632653061,0.01780830630286841,0.00031713577337678277,0.1303822425745723,0.01699952917877461,3.35,11.2225,31,30,Toronto Blue Jays,SF,Toronto,63094346,174.7,30520.089999999997,31,162,31,Kevin Gausman,10,100,21000000,2,190,9,SP,0.5679012345679012,0,0,UFA,205,42025,21000000,21000000,0.119,21000000,46.54,2165.9716,110000000,22000000,157000000,110000000,22000000,92,3.05,9.302499999999998,1.24,1.5376,2,28,784,12,144,16.860032995687696,16.860032995687696,16.860032995687696
DET,6.2,2022,2027,5,1,87,7569,0,1,4,49,2401,41,1681,2.1176470588235294,4.484429065743945,0.04151404151404151,0.001723415642829562,0.08791208791208792,0.007728535201062675,4.06,16.483599999999996,29,28,Detroit Tigers,BOS,Michigan,33436088,91.0,8281.0,17,162,17,Eduardo Rodriguez,5,25,14000000,11,231,16,SP,0.4074074074074074,0,0,UFA,72,5184,14000000,14000000,0.103,14000000,19.27,371.3329,77000000,15400000,235500000,77000000,15400000,66,0.13,0.016900000000000002,1.33,1.7689000000000001,4,34,1156,5,25,16.454567887579532,16.454567887579532,16.454567887579532
CHC,5.7,2022,2025,3,1,123,15129,0,2,11,61,3721,54,2916,3.3055555555555554,10.926697530864196,0.028839221341023794,0.0008317006875565622,0.09532964832171754,0.009087741849142345,3.51,12.320099999999998,31,30,Chicago Cubs,NYM,Illinois,65463544,138.7,19237.689999999995,25,162,25,Marcus Stroman,7,49,25000000,17,180,21,SP,0.4567901234567901,0,0,UFA,119,14161,25000000,25000000,0.166,25000000,28.41,807.1281,71000000,23666667,109707000,71000000,23666667,74,2.55,6.5024999999999995,1.15,1.3224999999999998,3,36,1296,7,49,17.034386382832476,17.034386382832476,17.034386382832476
ATL,6.2,2022,2026,4,1,46,2116,0,1,6,20,400,17,289,5.571428571428571,31.04081632653061,0.025089605734767026,0.0006294883159260544,0.13978494623655913,0.019539831194357725,2.47,6.100900000000001,32,31,Atlanta Braves,LAA,Georgia,45458323,62.0,3844.0,67,162,0,Raisel Iglesias,6,36,3516480,18,190,28,RP/CL,0.6234567901234568,17,289,UFA,78,6084,3516480,10000000,0.019,10000000,14.65,214.6225,58000000,14500000,61250000,58000000,14500000,101,0.13,0.016900000000000002,0.97,0.9409,4,14,196,2,4,15.072971047240696,16.11809565095832,16.11809565095832
TEX,6.4,2022,2026,4,0,105,11025,0,2,8,61,3721,56,3136,3.4358974358974357,11.805391190006572,0.03404032469232783,0.001158743705159104,0.11695906432748537,0.013679422728360861,3.96,15.6816,30,30,Texas Rangers,COL,Texas,32530988,127.3,16205.289999999999,24,162,24,Jon Gray,7,49,15000000,2,225,8,SP,0.419753086419753,0,0,UFA,134,17956,15000000,15000000,0.1,15000000,36.74,1349.8276,56000000,14000000,580700000,56000000,14000000,68,1.33,1.7689000000000001,1.13,1.2768999999999997,0,39,1521,7,49,16.523560759066484,16.523560759066484,16.523560759066484
HOU,6.5,2022,2024,2,1,116,13456,0,2,3,43,1849,34,1156,6.379310344827586,40.69560047562426,0.018412698412698412,0.0003390274628369866,0.11746031746031746,0.013796926177878558,1.75,3.0625,39,38,Houston Astros,HOU,Texas,299588222,175.0,30625.0,28,162,28,Justin Verlander,4,16,25000000,5,225,16,SP,0.654320987654321,0,0,UFA,185,34225,25000000,25000000,0.136,25000000,94.25,8883.0625,50000000,25000000,69100000,50000000,25000000,106,5.5,30.25,0.83,0.6889,2,29,841,18,324,17.034386382832476,17.034386382832476,17.034386382832476
SF,6.3,2022,2023,2,0,131,17161,0,5,7,59,3481,57,3249,4.5576923076923075,20.77255917159763,0.03245942571785269,0.0010536143179327964,0.14794007490636704,0.02188626576330149,2.88,8.2944,29,29,San Francisco Giants,CHW,California,40811276,178.0,31684.0,31,162,31,Carlos Rodon,8,64,21500000,23,245,27,SP,0.5,0,0,UFA,237,56169,21500000,21500000,0.133,21500000,81.03,6565.860900000001,44000000,22000000,140700000,44000000,22000000,81,5.31,28.196099999999994,1.03,1.0609,8,52,2704,14,196,16.883563493097892,16.883563493097892,16.883563493097892
STL,6.2,2022,2026,4,1,50,2500,500000,2,4,28,784,28,784,5.4,29.160000000000004,0.023148148148148147,0.0005358367626886145,0.125,0.015625,5.25,27.5625,31,30,St. Louis Cardinals,TOR,Missouri,22538438,48.0,2304.0,15,162,10,Steven Matz,3,9,10000000,23,201,32,RP,0.5740740740740741,0,0,UFA,54,2916,8500000,8000000,0.054,8500000,0.0,0.0,44000000,11000000,52700000,44000000,11000000,93,-0.37,0.1369,1.25,1.5625,11,10,100,5,25,15.955576721460545,15.89495209964411,15.955576721460545
