Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,At-bats_2_t,At-bats_t,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_promedio_2_t,Bateos_promedio_2_t_1,Bateos_promedio_t,Bateos_promedio_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad de equipos_t,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Dobles_2_t,Dobles_2_t_1,Dobles_t,Dobles_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_anterior,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home-runs_2_t,Home-runs_t,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos totales_t,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Pago_efectivo_t,Pago_efectivo_t_1,Pennants won_t,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_On-base-plus-slugging_2_t,Porcentaje_On-base-plus-slugging_t,Porcentaje_On_base_plus_slugging_2_t,Porcentaje_On_base_plus_slugging_2_t_1,Porcentaje_On_base_plus_slugging_t,Porcentaje_On_base_plus_slugging_t_1,Porcentaje_juegos_iniciados_2_t,Porcentaje_juegos_iniciados_2_t_1,Porcentaje_juegos_iniciados_t,Porcentaje_juegos_iniciados_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Porcentaje_on-base_2_t,Porcentaje_on-base_t,Porcentaje_on_base_2_t,Porcentaje_on_base_2_t_1,Porcentaje_on_base_t,Porcentaje_on_base_t_1,Porcentaje_slugging_2_t,Porcentaje_slugging_2_t_1,Porcentaje_slugging_t,Porcentaje_slugging_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Runs-batted-in_2_t,Runs-batted-in_t,Runs_batted_in_2_t,Runs_batted_in_2_t_1,Runs_batted_in_t,Runs_batted_in_t_1,Status_agente_libre,Sueldo_ajustado_norm_t,Sueldo_ajustado_norm_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_norm_t,Sueldo_base_norm_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_norm_t,Sueldo_regular_norm_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Triples_2_t,Triples_2_t_1,Triples_t,Triples_t_1,Valor_contrato,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS ganadas_t,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t,id,Y_Sueldo_ajustado_norm_t,Y_Sueldo_regular_norm_t,Y_Sueldo_base_norm_t,Y_TVS_t,Y_ln_Sueldo_ajustado_t,Y_ln_Sueldo_regular_t,X_At_bats_2_t_1,X_At_bats_t_1,X_Bateos_2_t_1,X_Bateos_promedio_2_t_1,X_Bateos_promedio_t_1,X_Bateos_t_1,X_Dobles_2_t_1,X_Dobles_t_1,X_Home_runs_2_t_1,X_Home_runs_t_1,X_Juegos_iniciados_2_t_1,X_Juegos_iniciados_t_1,X_Porcentaje_On_base_plus_slugging_2_t_1,X_Porcentaje_On_base_plus_slugging_t_1,X_Porcentaje_on_base_2_t_1,X_Porcentaje_on_base_t_1,X_Porcentaje_slugging_2_t_1,X_Porcentaje_slugging_t_1,X_Runs_batted_in_2_t_1,X_Runs_batted_in_t_1,X_Triples_2_t_1,X_Triples_t_1,X_WAR_2_t_1,X_WAR_t_1
TEX,CHW,6.3,6.3,0,0.0,2013,1,2.0,0,1.0,0.0,0.0,253009.0,229441.0,503.0,479.0,18769,17689.0,0.07398400000000001,0.07728400000000002,0.272,0.278,137,133.0,0,0.0,0.0,12,1.0,2.0,2.0,576,324.0,24,18.0,36,34.0,36,CHW,Texas Rangers,Chicago White Sox,Texas,50425000,42925000.0,0.0,0.0,289.0,729.0,17.0,27.0,0.0,15129,15876.0,123,126.0,134,135.0,162.0,162.0,A.J. Pierzynski,7500000,6000000.0,0.0,2.0,6.0,250.0,250.0,6,9.0,0.0,0.0,0.521284,0.6839289999999999,0.722,0.827,0.570025,0.605284,0.755,0.778,0.822,0.833,0.0,0.0,0.088209,0.10627600000000001,0.297,0.326,0.18062499999999998,0.251001,0.425,0.501,C,C,0.5617283950617284,0.5246913580246914,0.0,0.0,4900.0,5929.0,70.0,77.0,UFA,0.25828231293103715,0.18692520693848005,7500000,6000000.0,0.25992779783393505,0.19118741096793224,7500000,6000000.0,0.054,0.055,0.24614305750350635,0.18519586120864473,7500000,6000000.0,802.0224000000001,4891.6035999999995,28.32,69.94,1,16.0,1,4.0,7500000,7500000,4000000.0,33750000,900000.0,7500000,8000000.0,7500000,91,85.0,3.1684,10.6276,1.78,3.26,0.0,0.0,3.0,15.830413578506539,15.830413578506539,15.830413578506539,0,-0.4285944998573565,-0.4192611177974319,-0.45775034725937047,-1.8202255982577094,-0.510464465373746,-0.510464465373746,351.90337423312883,18.75908777721158,102.2485549132948,-0.15456800000000004,0.3931513703397204,10.111802752887083,-8.307692307692308,-2.8823067684915684,-16.2,4.024922359499621,98.6086956521739,9.930191118612669,0.6839289999999999,0.827,-0.21255200000000002,0.46103362133362896,0.46654460966542743,0.6830407086443878,58.127450980392155,7.624136080920392,4.0,2.0,-1.4658758620689654,-1.2107336049143782
STL,TEX,6.3,6.3,0,0.0,2014,1,1.0,0,0.0,0.0,0.0,114244.0,253009.0,338.0,503.0,7225,18769.0,0.063504,0.07398400000000001,0.252,0.272,85,137.0,0,0.0,0.0,5,12.0,2.0,2.0,144,576.0,12,24.0,37,36.0,37,BOS,St. Louis Cardinals,Texas Rangers,Missouri,58842539,50425000.0,0.0,0.0,25.0,289.0,5.0,17.0,0.0,7225,15129.0,85,123.0,102,134.0,161.0,162.0,A.J. Pierzynski,167539,7500000.0,0.0,23.0,2.0,250.0,250.0,27,6.0,0.0,0.0,0.390625,0.521284,0.625,0.722,0.275625,0.570025,0.525,0.755,0.63,0.822,0.0,0.0,0.08294399999999999,0.088209,0.288,0.297,0.11356900000000002,0.18062499999999998,0.337,0.425,C,C,0.5527950310559007,0.5617283950617284,0.0,0.0,1369.0,4900.0,37.0,70.0,UFA,0.006339396893550507,0.25828231293103715,167539,7500000.0,0.002712409638554217,0.25992779783393505,167539,7500000.0,0.001,0.054,0.005908527668744708,0.24614305750350635,167539,7500000.0,150.3076,802.0224000000001,12.26,28.32,1,1.0,1,1.0,500000,500000,7500000.0,59750000,33750000.0,500000,7500000.0,500000,89,91.0,3.772757983627079,3.1684,1.9423588709677413,1.78,0.0,11.0,0.0,12.028971438966101,12.028971438966101,12.028971438966101,0,0.19153729863775987,0.1843067029418387,0.19424624161722112,3.6462986314010535,0.3646005694459391,0.3646005694459391,503.0,22.427661492005804,137.0,0.2441716171617162,0.4941372452686766,11.704699910719624,19.2,4.381780460041329,13.136363636363637,3.624412178045377,123.0,11.090536506409416,0.6198382877526754,0.7872980933246793,0.2244503816793893,0.473761946212852,0.34602490421455934,0.588238815630658,70.0,8.366600265340756,-0.14285714285714285,-0.3779644730092272,-0.7940852130325814,-0.8911145902927308
ATL,STL,6.3,6.3,0,0.0,2015,1,1.0,0,0.0,0.0,0.0,165649.0,114244.0,407.0,338.0,15129,7225.0,0.091204,0.063504,0.302,0.252,123,85.0,0,0.0,0.0,18,5.0,1.0,2.0,576,144.0,24,12.0,38,37.0,38,STL,Atlanta Braves,St. Louis Cardinals,Georgia,61242539,58842539.0,0.0,0.0,81.0,25.0,9.0,5.0,0.0,11025,7225.0,105,85.0,113,102.0,160.0,161.0,A.J. Pierzynski,2400000,167539.0,0.0,18.0,23.0,250.0,250.0,23,27.0,0.0,0.0,0.599076,0.390625,0.774,0.625,0.419904,0.275625,0.648,0.525,0.698,0.63,0.0,0.0,0.11696400000000001,0.08294399999999999,0.342,0.288,0.18662399999999998,0.11356900000000002,0.432,0.337,C,C,0.40625,0.5527950310559007,0.0,0.0,2401.0,1369.0,49.0,37.0,UFA,0.07352645937856066,0.006339396893550507,2400000,167539.0,0.060677011005812624,0.002712409638554217,2000000,167539.0,0.022,0.001,0.06821167585764246,0.005908527668744708,2400000,167539.0,2610.1881000000003,150.3076,51.09,12.26,1,1.0,1,1.0,2000000,2000000,500000.0,69107500,59750000.0,2000000,500000.0,2000000,65,89.0,1.9599999999999997,3.772757983627079,1.4,1.9423588709677413,0.0,3.0,11.0,14.690979295318174,14.508657738524219,14.690979295318174,0,0.025743031506708147,0.01202787328256677,-0.02862946096166194,-7.147726911403373,0.0311388747975454,0.0311388747975454,-177.95015576323988,13.339795941589207,-39.054054054054056,0.18788165680473373,0.4334531771768823,-6.249324287797365,-3.3488372093023258,-1.829982843991256,-0.8333333333333334,-0.9128709291752769,-44.598765432098766,6.678230711206282,-0.36609653233364575,0.605059114743052,-0.19244547563805103,0.43868607869187165,-0.1785676100628931,0.4225726092198749,-14.720430107526882,-3.8367212705025735,-0.1111111111111111,-0.3333333333333333,-1.1753140135909903,1.084119003426741
ATL,ATL,6.3,6.3,0,0.0,2016,1,1.0,0,0.0,0.0,0.0,61009.0,165649.0,247.0,407.0,3025,15129.0,0.049729,0.091204,0.223,0.302,55,123.0,1000000,0.0,0.0,13,18.0,1.0,1.0,256,576.0,16,24.0,39,38.0,39,ATL,Atlanta Braves,Atlanta Braves,Georgia,64292539,61242539.0,0.0,0.0,4.0,81.0,2.0,9.0,0.0,3481,11025.0,59,105.0,81,113.0,160.0,160.0,A.J. Pierzynski,3050000,2400000.0,0.0,18.0,18.0,250.0,250.0,23,23.0,0.0,0.0,0.31248100000000006,0.599076,0.559,0.774,0.134689,0.419904,0.367,0.648,0.503,0.698,0.0,0.0,0.061009,0.11696400000000001,0.247,0.342,0.097344,0.18662399999999998,0.312,0.432,C,C,0.41875,0.40625,0.0,0.0,529.0,2401.0,23.0,49.0,UFA,0.08815000178630034,0.07352645937856066,3050000,2400000.0,0.04739223624672541,0.060677011005812624,2000000,2000000.0,0.032,0.022,0.074639072745809,0.06821167585764246,3050000,2400000.0,0.0,2610.1881000000003,0.0,51.09,0,1.0,0,1.0,3000000,3000000,2000000.0,19157500,69107500.0,3000000,2000000.0,3000000,67,65.0,3.0175853971921485,1.9599999999999997,1.7371198568872985,1.4,0.0,3.0,3.0,14.930652148583594,14.508657738524219,14.930652148583594,0,0.025743031506708147,0.01202787328256677,-0.02862946096166194,-7.147726911403373,0.0311388747975454,0.0311388747975454,-258.0202492211838,16.06300872256452,-81.77837837837838,0.2698343195266272,0.519455791696105,9.043139851753836,-13.395348837209303,3.659965687982512,-2.7,-1.6431676725154982,-68.05555555555556,8.249579113843055,0.5614582942830366,0.7493052076977956,0.2713781902552205,0.5209397184465977,-0.2934339622641509,0.5416954515815606,-25.817204301075268,5.081063304179084,-0.1111111111111111,-0.3333333333333333,-0.6105919003115264,-0.7814038010603266
DET,DET,6.0,6.0,2018,2013.0,2013,5,1.0,1,1.0,0.0,0.0,16.0,900.0,4.0,30.0,0,9.0,0.0,0.010000000000000002,0.0,0.1,0,3.0,800000,0.0,0.0,4,3.0,1.0,1.0,0,0.0,0,0.0,28,27.0,29,DET,Detroit Tigers,Detroit Tigers,Michigan,25987701,13987701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841,961.0,29,31.0,29,31.0,162.0,162.0,Anibal Sanchez,12000000,3147540.0,0.0,11.0,11.0,205.0,205.0,15,14.0,0.0,0.0,0.04000000000000001,0.08761599999999999,0.2,0.296,0.032041,0.036481,0.179,0.191,0.179,0.191,0.0,0.0,0.04000000000000001,0.016641,0.2,0.129,0.0,0.027889000000000004,0.0,0.167,RP,RP,0.5740740740740741,0.5432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,UFA,0.3031303591259047,0.0977227713917007,8800000,3147540.0,0.2779783393501805,0.2558924180904977,8000000,8000000.0,0.057,0.022,0.29172510518934086,0.2478731026541336,8800000,8000000.0,6528.639999999999,2546.2116,80.8,50.46,0,1.0,0,1.0,80000000,16000000,8000000.0,107775000,221000000.0,80000000,8000000.0,16000000,93,88.0,37.209999999999994,1.6900000000000002,6.1,1.3,0.0,4.0,4.0,15.990262279448435,15.89495209964411,15.990262279448435,1,-0.3829050775099734,-0.42527841787444787,-0.4083941850374917,0.22795040598590965,-0.28186041082327185,-0.28186041082327185,-1.6605166051660516,-1.2886103387626733,-0.05389221556886228,-0.031948881789137386,-0.17874250135079062,-0.23214696976024105,-0.0,-0.0,-0.0,-0.0,-6.582191780821918,-2.5655782546673405,-0.10607263922518159,-0.32568794762038955,-0.04559178082191781,-0.21352231925941093,-0.05645546558704454,-0.23760358917121716,-0.0,-0.0,-0.3333333333333333,-0.5773502691896258,-0.3158878504672898,-0.562039011517252
ATL,DET,6.0,6.0,2019,2018.0,2018,1,5.0,1,5.0,0.0,0.0,1681.0,4.0,41.0,2.0,1,0.0,0.000576,0.0,0.024,0.0,1,0.0,0,800000.0,0.0,4,1.0,1.0,1.0,0,0.0,0,0.0,33,28.0,34,DET,Atlanta Braves,Detroit Tigers,Georgia,95390927,88987701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,289.0,24,17.0,25,28.0,162.0,162.0,Anibal Sanchez,1000000,16000000.0,0.0,18.0,11.0,205.0,205.0,24,16.0,0.0,0.0,0.005183999999999999,0.0,0.072,0.0,0.021903999999999996,0.011024999999999998,0.148,0.105,0.154,0.173,0.0,0.0,0.002304,0.0,0.048,0.0,0.000576,0.0,0.024,0.0,SP,RP,0.5555555555555556,0.3950617283950617,0.0,0.0,0.0,0.0,0.0,0.0,UFA,0.028112450250802414,0.4721590418759182,1000000,16800000.0,0.014123498624725207,0.48401195878166114,1000000,16000000.0,0.008,0.089,0.013187630239865711,0.4714942831124608,1000000,16800000.0,7216.5025000000005,0.0,84.95,0.0,0,0.0,0,0.0,2500000,1000000,16000000.0,2900000,2000000.0,1000000,80000000.0,2500000,90,64.0,10.6929,3.009561375376984,3.27,1.7348087431693973,0.0,3.0,4.0,13.815510557964274,13.815510557964274,13.815510557964274,1,0.23196822241574344,0.37868446766394825,0.34606806799779966,-0.8102873585127952,0.23368156591883382,0.29781262816589127,-0.006230529595015576,-0.07893370379638584,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.7839506172839505,-1.3356461422412564,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9375580608651041,-0.9682758185894678
WSH,ATL,6.0,6.0,2022,2019.0,2019,2,1.0,1,1.0,0.0,0.0,2704.0,1681.0,52.0,41.0,36,1.0,0.013225,0.000576,0.115,0.024,6,1.0,0,0.0,0.0,7,4.0,1.0,1.0,0,0.0,0,0.0,34,33.0,35,ATL,Washington Nationals,Atlanta Braves,Washington DC,105390927,95390927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,576.0,30,24.0,30,25.0,162.0,162.0,Anibal Sanchez,10000000,1000000.0,0.0,1.0,18.0,205.0,205.0,6,24.0,0.0,0.0,0.053361000000000006,0.005183999999999999,0.231,0.072,0.034225,0.021903999999999996,0.185,0.148,0.185,0.154,0.0,0.0,0.013225,0.002304,0.115,0.048,0.013225,0.000576,0.115,0.024,SP,SP,0.5740740740740741,0.5555555555555556,0.0,0.0,1.0,0.0,1.0,0.0,UFA,0.15970885291275908,0.028112450250802414,6000000,1000000.0,0.21614167513427202,0.014123498624725207,8000000,1000000.0,0.035,0.008,0.24356384160289093,0.013187630239865711,10000000,1000000.0,4994.2489000000005,7216.5025000000005,70.67,84.95,0,0.0,0,0.0,19000000,9500000,1000000.0,184550000,2900000.0,19000000,1000000.0,9500000,93,90.0,9.8596,10.6929,3.14,3.27,0.0,1.0,3.0,15.60727002719233,15.89495209964411,16.11809565095832,1,0.23196822241574344,0.37868446766394825,0.34606806799779966,-0.8102873585127952,0.23368156591883382,0.29781262816589127,-2.643081761006289,-1.6257557507221954,-0.005813953488372093,-0.001674418604651163,-0.04091966036822842,-0.07624928516630233,-0.0,-0.0,-0.0,-0.0,-3.6226415094339623,-1.903323805723546,-0.005366459627329192,-0.07325612348008316,-0.005832911392405063,-0.07637349928087007,-0.0010069930069930072,-0.031733153120876705,-0.0,-0.0,-0.0,-0.0,-1.8596347826086956,1.363684267933269
TB,WSH,6.0,6.0,2016,2015.0,2015,1,2.0,0,1.0,0.0,0.0,255025.0,305809.0,505.0,553.0,17956,17689.0,0.07022500000000001,0.058080999999999994,0.265,0.241,134,133.0,0,0.0,0.0,7,8.0,2.0,1.0,784,961.0,28,31.0,29,27.0,29,WSH,Tampa Bay Rays,Washington Nationals,Florida,31879600,24379600.0,0.0,0.0,225.0,196.0,15.0,14.0,0.0,17956,20164.0,134,142.0,143,146.0,161.0,162.0,Asdrubal Cabrera,7500000,0.0,0.0,1.0,1.0,235.0,235.0,4,3.0,0.0,0.0,0.553536,0.48163599999999995,0.744,0.694,0.6839289999999999,0.769129,0.827,0.877,0.883,0.901,0.0,0.0,0.09922500000000001,0.094249,0.315,0.307,0.18489999999999998,0.149769,0.43,0.387,2B,2B,0.4906832298136646,0.5925925925925926,0.0,0.0,3364.0,3721.0,58.0,61.0,UFA,0.23013207503484784,0.3845507150982172,7500000,10000000.0,0.24518688384395657,0.3975903614457832,7500000,10000000.0,0.098,0.07,0.2257156711317814,0.384283845147387,7500000,10000000.0,1925.4544000000003,1182.6721,43.88,34.39,25,16.0,5,4.0,7500000,7500000,8250000.0,9000000,14150000.0,7500000,16500000.0,7500000,79,96.0,2.6895999999999995,1.6384,1.64,1.28,0.0,0.0,0.0,15.830413578506539,15.830413578506539,15.830413578506539,2,0.008720868499705103,0.0016573570470955201,0.000671346423328778,1.0497839525081911,0.011959442752978333,0.011959442752978333,524.5437392795883,22.902919885455397,107.85975609756098,-0.1891889250814332,0.4349585325998712,10.385555165592304,29.12121212121212,5.396407334626633,-8.909090909090908,2.9848100289785457,133.53642384105962,11.555796114550464,-0.48552016129032255,0.6967927678229177,0.23740302267002517,0.48724021044042043,-0.2517126050420168,0.5017096820293753,46.5125,6.8200073313743586,4.0,2.0,-0.4804692082111437,-0.6931588621745695
NYM,TB,6.0,6.0,2019,2016.0,2016,2,1.0,0,0.0,0.0,0.0,271441.0,255025.0,521.0,505.0,21316,17956.0,0.07840000000000001,0.07022500000000001,0.28,0.265,146,134.0,0,0.0,0.0,9,7.0,2.0,2.0,900,784.0,30,28.0,30,29.0,30,TB,New York Mets,Tampa Bay Rays,New York,40129600,31879600.0,0.0,0.0,576.0,225.0,24.0,15.0,0.0,18225,17956.0,135,134.0,141,143.0,161.0,161.0,Asdrubal Cabrera,8250000,7500000.0,0.0,5.0,1.0,235.0,235.0,9,4.0,0.0,0.0,0.6658559999999999,0.553536,0.816,0.744,0.693889,0.6839289999999999,0.833,0.827,0.87,0.883,0.0,0.0,0.11289600000000001,0.09922500000000001,0.336,0.315,0.2304,0.18489999999999998,0.48,0.43,2B,2B,0.5403726708074534,0.4906832298136646,0.0,0.0,3844.0,3364.0,62.0,58.0,UFA,0.23857529313767054,0.23013207503484784,8250000,7500000.0,0.24585218702865763,0.24518688384395657,8250000,7500000.0,0.056,0.098,0.22729322349436623,0.2257156711317814,8250000,7500000.0,3468.0321,1925.4544000000003,58.89,43.88,1,25.0,1,5.0,18500000,9250000,7500000.0,48757500,9000000.0,18500000,7500000.0,9250000,87,79.0,11.1556,2.6895999999999995,3.34,1.64,0.0,2.0,0.0,15.925723758310864,15.925723758310864,15.925723758310864,2,-0.424731967138295,-0.4767527907567676,-0.49583483845798654,-0.43036413659008677,-0.5253975911444075,-0.3538484180775283,427.8942953020134,20.685605993105774,112.93081761006289,0.2280032467532468,0.47749685522864627,10.626891248623132,21.18918918918919,4.603171644550004,-7.258064516129032,-2.694079530401624,118.91390728476821,10.904765347533536,0.6177857142857143,0.7859934568975204,-0.26043307086614176,-0.5103264355940634,0.3449626865671641,0.5873352420612644,-33.97979797979798,5.82921932850343,3.5714285714285716,1.889822365046136,-0.6528155339805825,-0.8079700080947203
WSH,PHI,6.0,6.0,2020,2019.0,2019,1,2.0,0,2.0,0.0,0.0,199809.0,298116.0,447.0,546.0,13456,20449.0,0.06760000000000001,0.06864400000000001,0.26,0.262,116,143.0,0,0.0,0.0,7,4.0,1.0,2.0,625,1296.0,25,36.0,33,30.0,33,PHI,Washington Nationals,Philadelphia Phillies,Washington DC,63554332,56629600.0,0.0,0.0,324.0,529.0,18.0,23.0,0.0,14884,17424.0,122,132.0,132,148.0,162.0,162.0,Asdrubal Cabrera,164120,2883075.0,0.0,1.0,7.0,235.0,235.0,6,14.0,0.0,0.0,0.613089,0.599076,0.783,0.774,0.567009,0.664225,0.753,0.815,0.815,0.914,0.0,0.0,0.11696400000000001,0.099856,0.342,0.316,0.19448100000000001,0.209764,0.441,0.458,2B,2B,0.5740740740740741,0.4938271604938271,0.0,0.0,8281.0,5625.0,91.0,75.0,UFA,0.004058929909846543,0.08105030250683216,164120,2883075.0,0.0,0.23575465009668617,555000,8250000.0,0.001,0.028,0.0,0.22013278971551634,555000,8250000.0,2753.1009,1417.5224999999998,52.47,37.65,1,1.0,1,1.0,3500000,555000,9250000.0,184550000,169200000.0,555000,18500000.0,3500000,93,80.0,3.2142294591705185,3.0276,1.7928272251308877,1.74,0.0,1.0,2.0,12.008353146556122,13.226723392728571,13.226723392728571,2,0.1388606788853773,0.2722179977267796,0.26260441746446006,-0.40110372276738104,0.26573894930812125,0.21063530630089033,468.7358490566038,21.650308290105336,118.88953488372093,0.19954651162790701,0.44670629235316023,10.903647778781234,34.10526315789474,5.839971160707452,-16.03030303030303,4.003786086981051,109.58490566037736,10.468280931479502,0.6201614906832299,0.7875033274108941,0.25279999999999997,0.5027922035990614,0.36672027972027976,0.6055743387233972,56.25,7.5,-0.25,-0.5,-0.5265391304347826,-0.7256301609186202
