Jugador,Valor_contrato,Valor_promedio_contrato,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Bryce Harper,330000000,25384615,0.969,114,0.26,0.882,PHI,11538462
Manny Machado,300000000,30000000,0.963,85,0.256,0.796,SD,12000000
Patrick Corbin,140000000,23333333,0.204,4,0.092,0.24,WSH,12916666
Nathan Eovaldi,68000000,17000000,0.142,0,0.0,0.0,BOS,17000000
A.J. Pollock,60000000,12000000,0.531,47,0.266,0.795,LAD,4000000
Andrew McCutchen,50000000,16666667,0.364,29,0.256,0.834,PHI,10000000
J.A. Happ,34000000,17000000,0.198,0,0.0,0.0,NYY,17000000
Michael Brantley,32000000,16000000,0.914,90,0.311,0.875,HOU,16000000
Charlie Morton,30000000,15000000,0.204,0,0.0,0.0,TB,15000000
Lance Lynn,30000000,10000000,0.204,0,0.0,0.0,TEX,9333333
Joe Kelly,25000000,8333333,0.34,0,0.0,0.0,LAD,3000000
Daniel Murphy,24000000,12000000,0.815,78,0.279,0.78,COL,10000000
D.J. LeMahieu,24000000,12000000,0.895,102,0.327,0.893,NYY,12000000
Josh Donaldson,23000000,23000000,0.969,94,0.259,0.9,ATL,23000000
Dallas Keuchel,21210000,21210000,0.117,2,0.132,0.312,ATL,21210000
Marwin Gonzalez,21000000,10500000,0.716,55,0.264,0.736,MIN,12000000
Jed Lowrie,20000000,10000000,0.056,0,0.0,0.125,NYM,8500000
Wilson Ramos,19000000,9500000,0.877,72,0.288,0.768,NYM,7750000
Anibal Sanchez,19000000,9500000,0.185,1,0.115,0.231,WSH,10000000
Yasmani Grandal,18250000,18250000,0.944,77,0.246,0.848,MIL,16000000
Garrett Richards,15500000,7750000,0.019,0,0.0,0.0,SD,7000000
Nelson Cruz,14300000,14300000,0.741,108,0.311,1.031,MIN,14000000
Kurt Suzuki,10000000,5000000,0.525,63,0.264,0.809,WSH,4000000
Mike Moustakas,10000000,10000000,0.883,87,0.254,0.845,MIL,7050000
Brian Dozier,9000000,9000000,0.833,50,0.238,0.771,WSH,9000000
Trevor Cahill,9000000,9000000,0.241,0,0.333,0.667,LAA,9000000
Ian Kinsler,8000000,4000000,0.537,22,0.217,0.646,SD,3750000
Jesse Chavez,8000000,4000000,0.296,0,0.5,1.0,TEX,4000000
Jonathan Schoop,7500000,7500000,0.753,59,0.256,0.777,MIN,7500000
Derek Holland,7000000,7000000,0.327,0,0.071,0.205,CHC,6500000
Nick Markakis,6000000,6000000,0.716,62,0.285,0.776,ATL,4000000
Robinson Chirinos,5750000,5750000,0.704,58,0.238,0.79,HOU,5750000
Jordy Mercer,5250000,5250000,0.46,22,0.271,0.75,DET,5250000
Billy Hamilton,5250000,5250000,0.735,15,0.218,0.564,ATL,4450000
Daniel Descalso,5000000,2500000,0.506,15,0.173,0.521,CHC,1500000
Freddy Galvis,5000000,5000000,0.914,70,0.26,0.734,CIN,4000000
Wade Miley,4500000,4500000,0.204,0,0.0,0.2,HOU,5000000
Wilmer Flores,4250000,4250000,0.549,37,0.317,0.848,ARI,3750000
Matt Adams,4000000,4000000,0.685,56,0.226,0.741,WSH,3000000
Martin Perez,4000000,4000000,0.198,0,0.0,0.0,MIN,3500000
Jon Jay,4000000,4000000,0.292,9,0.267,0.626,CHW,4000000
Asdrubal Cabrera,3500000,3500000,0.815,91,0.26,0.783,WSH,555000
Avisail Garcia,3500000,3500000,0.778,72,0.282,0.796,TB,4500000
Chris Owings,3000000,3000000,0.414,14,0.139,0.443,BOS,555000
Adam Jones,3000000,3000000,0.846,67,0.26,0.728,ARI,4500000
Martin Maldonado,2500000,2500000,0.654,27,0.213,0.671,HOU,2500000
James McCann,2500000,2500000,0.739,60,0.273,0.789,CHW,2500000
Justin Bour,2500000,2500000,0.321,26,0.172,0.623,LAA,2500000
Jordan Lyles,2050000,2050000,0.173,4,0.089,0.217,MIL,2050000
Robbie Grossman,2000000,2000000,0.852,38,0.241,0.684,OAK,2000000
Brian McCann,2000000,2000000,0.525,45,0.249,0.734,ATL,2000000
Gio Gonzalez,2000000,2000000,0.117,0,0.04,0.117,MIL,2000000
Neil Walker,2000000,2000000,0.71,38,0.261,0.738,MIA,2000000
Tim Beckham,1750000,1750000,0.549,47,0.237,0.753,SEA,1800000
Drew Pomeranz,1500000,1500000,0.284,0,0.0,0.0,MIL,1500000
Brett Anderson,1500000,1500000,0.198,0,0.5,1.0,OAK,1500000
Jeremy Hellickson,1300000,1300000,0.056,0,0.111,0.384,WSH,1900000
Caleb Joseph,1100000,1100000,0.124,3,0.211,0.513,ARI,1100000
Joe Panik,0,0,0.877,39,0.244,0.651,NYM,555000
Francisco Cervelli,0,0,0.296,12,0.213,0.649,ATL,555000
Blake Parker,0,0,0.37,0,0.0,0.0,PHI,555000
Brad Brach,0,0,0.364,1,0.25,0.5,NYM,555000
Adeiny Hechavarria,0,0,0.519,33,0.241,0.742,ATL,1000000
Travis d'Arnaud,0,0,0.636,69,0.251,0.745,TB,555000
Jonathan Lucroy,0,0,0.63,36,0.232,0.66,CHC,555000
