"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Payroll Salary2022","Cash2022","AAV2022","Earnings2022","Age","Weight","Height",""
"","Justin Verlander","SP","HOU","34","34","223.0","137","66","64","42","300","21","6","0","0.80","2.58","7.82","91.44","$25,000,000","$25,000,000","$25,000,000","$299,588,222","36","225","6'5""",""
"","Trevor Bauer","SP","CIN","34","34","213.0","184","118","106","82","253","11","13","0","1.25","4.48","1.89","43.44","$35,333,333","$4,301,075","$34,000,000","$82,178,389","28","205","6'1""",""
"","Gerrit Cole","SP","HOU","34","33","212.3","142","66","59","48","326","20","5","0","0.89","2.50","6.91","97.99","$36,000,000","$36,000,000","$36,000,000","$120,222,046","28","220","6'4""",""
"","Stephen Strasburg","SP","WSH","34","33","209.0","161","79","77","56","251","18","6","0","1.04","3.32","6.29","89.97","$35,000,000","$23,571,428","$35,000,000","$172,648,014","30","235","6'5""",""
"","Zack Greinke","SP","HOU","36","33","208.7","175","73","68","30","187","18","5","0","0.98","2.93","4.22","73.73","$13,000,000","$13,000,000","$13,000,000","$277,455,276","35","200","6'2""",""
"","Mike Minor","SP","TEX","33","32","208.3","190","86","83","68","200","14","10","0","1.24","3.59","7.78","94.78","$10,000,000","$10,000,000","$9,000,000","$61,414,609","31","210","6'4""",""
"","Lance Lynn","SP","TEX","33","33","208.3","195","89","85","59","246","16","11","0","1.22","3.67","7.61","94.84","$18,500,000","$18,500,000","$19,000,000","$80,085,704","32","270","6'5""",""
"","Madison Bumgarner","SP","SF","37","34","207.7","191","99","90","43","203","9","9","0","1.13","3.90","2.51","72.95","$23,000,000","$23,000,000","$17,000,000","$105,782,222","29","257","6'4""",""
"","Jacob deGrom","SP","NYM","34","32","204.0","154","59","55","44","255","11","8","0","0.97","2.43","7.30","93.13","$36,000,000","$18,500,000","$27,500,000","$72,659,998","31","180","6'4""",""
"","Eduardo Rodriguez","SP","BOS","34","34","203.3","195","88","86","75","213","19","6","0","1.33","3.81","5.97","93.10","$14,000,000","$14,000,000","$15,400,000","$33,715,093","26","231","6'2""",""
"","Marco Gonzales","SP","SEA","35","35","203.0","210","106","90","56","147","16","13","0","1.31","3.99","3.21","81.68","$5,750,000","$5,500,000","$7,500,000","$15,342,977","27","195","6'1""",""
"","Aaron Nola","SP","PHI","34","34","202.3","176","91","87","80","229","12","7","0","1.26","3.87","3.65","74.35","$15,500,000","$15,000,000","$11,250,000","$40,856,353","26","195","6'2""",""
"","Patrick Corbin","SP","WSH","33","33","202.0","169","81","73","70","238","14","7","0","1.18","3.25","5.66","80.28","$23,416,666","$23,000,000","$23,333,333","$85,475,037","29","220","6'4""",""
"","Jose Berrios","SP","MIN","32","32","200.3","194","94","82","51","195","14","8","0","1.22","3.68","3.32","87.23","$10,714,285","$15,000,000","$18,714,286","$26,070,943","25","205","6'0""",""
"","Noah Syndergaard","SP","NYM","32","32","197.7","194","101","94","50","202","10","8","0","1.23","4.28","2.26","73.58","$21,000,000","$7,384,640","$21,000,000","$45,418,904","26","240","6'6""",""
"","Sandy Alcantara","SP","MIA","33","32","197.3","179","94","85","81","151","6","14","0","1.32","3.88","3.12","77.88","$3,800,000","$5,000,000","$11,200,000","$6,835,343","23","200","6'5""",""
"","Mike Leake","SP","ARI","32","32","197.0","227","114","94","27","127","12","11","0","1.29","4.29","1.72","32.96","$0","$0","$0","$0","31","170","0'0""",""
"","Jack Flaherty","SP","STL","38","33","196.3","135","62","60","55","231","11","8","0","0.97","2.75","5.87","97.66","$5,000,000","$5,000,000","$5,000,000","$12,210,242","23","225","6'4""",""
"","Zack Wheeler","SP","NYM","31","31","195.3","196","93","86","50","195","11","8","0","1.26","3.96","3.45","87.10","$26,000,000","$26,000,000","$23,600,000","$70,305,242","29","195","6'4""",""
"","Charlie Morton","SP","TB","33","33","194.7","154","71","66","57","240","16","6","0","1.08","3.05","5.06","88.46","$20,000,000","$20,000,000","$20,000,000","$100,434,056","35","215","6'5""",""
"","Luis Castillo","SP","CIN","32","32","190.7","139","76","72","79","226","15","8","0","1.14","3.40","4.72","95.56","$7,350,000","$2,705,795","$7,350,000","$13,443,241","26","200","6'2""",""
"","Ivan Nova","SP","CHW","34","34","187.0","225","107","98","47","114","11","12","0","1.46","4.72","2.12","39.86","$0","$0","$0","$0","32","250","6'5""",""
"","Matt Boyd","SP","DET","33","32","185.3","178","101","94","50","238","9","12","0","1.23","4.57","3.48","64.82","$5,200,000","$1,828,544","$5,200,000","$17,904,495","28","234","6'3""",""
"","Michael Fiers","SP","OAK","34","32","184.7","166","82","80","53","126","14","4","0","1.19","3.90","2.88","72.15","$0","$0","$0","$0","34","211","6'2""",""
"","Marcus Stroman","SP","NYM","32","32","184.3","183","77","66","58","159","10","13","0","1.31","3.22","3.21","77.80","$25,000,000","$25,000,000","$23,666,667","$65,463,544","28","180","5'7""",""
"","Miles Mikolas","SP","STL","32","32","184.0","193","90","85","32","144","9","14","0","1.22","4.16","1.84","40.81","$16,750,000","$15,750,000","$17,000,000","$58,484,870","30","220","6'5""",""
"","Reynaldo Lopez","SP","CHW","33","33","184.0","203","119","110","65","169","10","15","0","1.46","5.38","0.53","32.51","$2,625,000","$2,625,000","$2,625,000","$6,346,102","25","220","6'1""",""
"","Merrill Kelly","RP","ARI","32","32","183.3","184","95","90","57","158","13","14","0","1.32","4.42","1.39","60.98","$5,583,333","$6,250,000","$9,000,000","$13,611,111","30","202","6'2""",""
